layer,gap,mean_grad_l2,scalar_fit_to_g1,cosine_to_g1,direction_residual,gradient_variance_trace,normalized_noise_scale
model.dec.16x16_block0.affine,0.9,0.13627212296161234,1.1142845725738875,0.9997290693229486,0.023276338858834168,0.04469703943347916,2.4069369524640294
model.dec.16x16_block0.affine,1.0,0.12226248663605316,1.0,1.0,0.0,0.03624051212473638,2.424420107612983
model.dec.16x16_block0.affine,1.2,0.10009557979916599,0.8181283795895811,0.9993089632613371,0.037169825740133784,0.025113310255656884,2.506537249181507
model.dec.16x16_block0.affine,1.3,0.0917825820686083,0.7497659616651127,0.99875432573607,0.049897863917092646,0.02132414207154305,2.5313431642383812
model.dec.16x16_block0.conv0,0.9,0.1353203691957544,1.1162633027832023,0.9989854952617446,0.04503310178798361,0.4385983251543138,23.95193590965186
model.dec.16x16_block0.conv0,1.0,0.12110322511092864,1.0,1.0,0.0,0.3538451927699601,24.126919863699253
model.dec.16x16_block0.conv0,1.2,0.0995154633891433,0.8205439690191914,0.9985435188596717,0.05395220980964892,0.24460961239096102,24.699739914500224
model.dec.16x16_block0.conv0,1.3,0.09146927345448169,0.7538222196278204,0.9980433702978636,0.06252544285714114,0.20769293823700283,24.823971924808998
model.dec.16x16_block0.conv1,0.9,0.07875714268207441,1.1165662502224305,0.9988610561293788,0.04771363063215827,0.1505924776120187,24.27858521694287
model.dec.16x16_block0.conv1,1.0,0.07045479182402095,1.0,1.0,0.0,0.1215645991350583,24.48984578252127
model.dec.16x16_block0.conv1,1.2,0.057819407631819905,0.8193264242564823,0.9983753729282712,0.05697907274022192,0.08403445934758084,25.136808374856592
model.dec.16x16_block0.conv1,1.3,0.05303764395213072,0.7511015458057376,0.9977574248246304,0.06693370755696965,0.07136450010367172,25.36960941360767
model.dec.16x16_block0.norm0,0.9,0.4010001092056055,1.1178434641305026,0.999712933152417,0.02395936743302914,0.9092648573383177,5.654593952105636
model.dec.16x16_block0.norm0,1.0,0.35862355350460245,1.0,1.0,0.0,0.7351032115759858,5.715716782026471
model.dec.16x16_block0.norm0,1.2,0.2942985903285526,0.8199788063668264,0.999201909222342,0.03994426875568498,0.5066979871342843,5.850228312889851
model.dec.16x16_block0.norm0,1.3,0.27010450458588475,0.7521399431787938,0.9986323610895632,0.05228199866764705,0.4300665714719547,5.894840146308222
model.dec.16x16_block0.norm1,0.9,0.46255962969247755,1.1174271715980977,0.9997720057408344,0.021352670487528858,0.49631707511324247,2.3196569547018386
model.dec.16x16_block0.norm1,1.0,0.4138562051350544,1.0,1.0,0.0,0.4017255462381305,2.3454733765056233
model.dec.16x16_block0.norm1,1.2,0.33867710793124856,0.817894251827814,0.9994493378393533,0.03318163788118344,0.2770474244280927,2.415363126727632
model.dec.16x16_block0.norm1,1.3,0.3103728986720687,0.7491922212418224,0.9989849336924264,0.04504555755608572,0.23529993738320915,2.4426105418195285
model.dec.16x16_block0.skip,0.9,1.4775811742533231,1.1198028941211562,0.9992335922937833,0.03914368444157497,30.368428004430125,13.909759250554758
model.dec.16x16_block0.skip,1.0,1.3184898453165381,1.0,1.0,0.0,24.511141254452273,14.09970265818737
model.dec.16x16_block0.skip,1.2,1.0765998323575783,0.8155462313053295,0.9987828272344617,0.04932407142091472,16.929225312997147,14.60590492693635
model.dec.16x16_block0.skip,1.3,0.9849886046862026,0.7457157853239831,0.9982031119589984,0.05992117551726921,14.364735560479765,14.805914023127398
model.dec.16x16_block1.affine,0.9,0.22105246043859586,1.1218856203642915,0.9997320476326104,0.023148065498184225,0.06666196220496337,1.3642293434545225
model.dec.16x16_block1.affine,1.0,0.19698374317048875,1.0,1.0,0.0,0.05391976535415799,1.3895917335446935
model.dec.16x16_block1.affine,1.2,0.15955764064731495,0.8093496341326379,0.999192014987942,0.04019100874992523,0.03734198145288411,1.4667704340204608
model.dec.16x16_block1.affine,1.3,0.1454272653719846,0.7371850470469478,0.9985298809352073,0.0542040301040489,0.03173374656803418,1.5004781434050498
model.dec.16x16_block1.conv0,0.9,0.17319580902343887,1.1208409511070017,0.9992787883073477,0.03797240101704267,0.42476621255317254,14.160389733226621
