layer,gap,mean_grad_l2,scalar_fit_to_g1,cosine_to_g1,direction_residual
model.dec.16x16_block0.affine,0.9,0.14684153680368253,1.113011453297913,0.9999442396445305,0.010560189473762948
model.dec.16x16_block0.affine,1.0,0.13192438265780423,1.0,1.0,0.0
model.dec.16x16_block0.affine,1.2,0.10936301799887477,0.8288671362614343,0.9998607139550311,0.016689897822794005
model.dec.16x16_block0.affine,1.3,0.10076182898173301,0.7635407534682592,0.9996805690539415,0.025273698898015264
model.dec.16x16_block0.conv0,0.9,0.25483415574777235,1.1113898640118751,0.9998154734219563,0.019209870015955595
model.dec.16x16_block0.conv0,1.0,0.22925090494645825,1.0,1.0,0.0
model.dec.16x16_block0.conv0,1.2,0.19053310520777933,0.8309616219000249,0.9998194465398311,0.019001955709493906
model.dec.16x16_block0.conv0,1.3,0.1755937212230727,0.7657376084348865,0.999728455337092,0.023302694893762004
model.dec.16x16_block0.conv1,0.9,0.154529036545101,1.1110975004190644,0.9998259744097903,0.01865531815632368
model.dec.16x16_block0.conv1,1.0,0.13905363343904498,1.0,1.0,0.0
model.dec.16x16_block0.conv1,1.2,0.11556842290032858,0.830964244950586,0.9998284532961559,0.01852198637880195
model.dec.16x16_block0.conv1,1.3,0.10654851010404447,0.7660449318977488,0.9997449148179529,0.02258551074569413
model.dec.16x16_block0.norm0,0.9,0.4540068778595308,1.1136121357374964,0.999870010024041,0.016123369825326736
model.dec.16x16_block0.norm0,1.0,0.40763551953909233,1.0,1.0,0.0
model.dec.16x16_block0.norm0,1.2,0.33692864052339977,0.8262870755838436,0.9996893135021713,0.02492541814207692
model.dec.16x16_block0.norm0,1.3,0.3096426263742509,0.7590791348969264,0.9993056225760154,0.03725953150486839
model.dec.16x16_block0.norm1,0.9,0.4667334096689337,1.1135843045396332,0.9999246957604008,0.012272033591460731
model.dec.16x16_block0.norm1,1.0,0.419095582401694,1.0,1.0,0.0
model.dec.16x16_block0.norm1,1.2,0.3467761668672863,0.8273018993333442,0.9998339114689713,0.01822496849537481
model.dec.16x16_block0.norm1,1.3,0.31922575046835866,0.7614252526496931,0.9996372762735817,0.026931689221706703
model.dec.16x16_block0.skip,0.9,2.434862861491743,1.1112893112913103,0.9998556123169258,0.01699277841747644
model.dec.16x16_block0.skip,1.0,2.190708821320061,1.0,1.0,0.0
model.dec.16x16_block0.skip,1.2,1.818090185743098,0.8297699646291281,0.9998317990130359,0.018340492969291328
model.dec.16x16_block0.skip,1.3,1.6752625533030003,0.7645057036361262,0.9997294964917919,0.023257984527213643
model.dec.16x16_block1.affine,0.9,0.2378708518234088,1.1110858822942793,0.9999620071492092,0.008716894981851572
model.dec.16x16_block1.affine,1.0,0.21408049388627598,1.0,1.0,0.0
model.dec.16x16_block1.affine,1.2,0.1779784966071153,0.8312615691305031,0.9998785845515701,0.015582559326029798
model.dec.16x16_block1.affine,1.3,0.16418632630969313,0.76673124282813,0.9997312616220815,0.023181987307413707
model.dec.16x16_block1.conv0,0.9,0.28568294828777074,1.1110006547076,0.999859203703967,0.01678013016842492
model.dec.16x16_block1.conv0,1.0,0.2571040115741329,1.0,1.0,0.0
model.dec.16x16_block1.conv0,1.2,0.21356395815811763,0.8305202401540663,0.9998413930829572,0.017809791630773567
model.dec.16x16_block1.conv0,1.3,0.19691533718529083,0.765699249982515,0.9997410645802901,0.02275530250004212
model.dec.16x16_block1.conv1,0.9,0.14657639756767948,1.1113696348907063,0.9998646334196144,0.01645341413385847
model.dec.16x16_block1.conv1,1.0,0.1318702179913239,1.0,1.0,0.0
model.dec.16x16_block1.conv1,1.2,0.1095794930760632,0.8308438351973477,0.9998545766968432,0.017053605436293185
model.dec.16x16_block1.conv1,1.3,0.10104750600494299,0.7660896442980853,0.9997714183024216,0.02138015775349796
model.dec.16x16_block1.norm0,0.9,0.6719872152824419,1.1167450288033496,0.9999128703722723,0.013200441806368826
model.dec.16x16_block1.norm0,1.0,0.6016849396737796,1.0,1.0,0.0
model.dec.16x16_block1.norm0,1.2,0.4943257651874897,0.8213016351061689,0.9996744243857147,0.025515587962849005
model.dec.16x16_block1.norm0,1.3,0.45342879093676164,0.7530642291142537,0.9992912102669823,0.03764408430483869
model.dec.16x16_block1.norm1,0.9,0.5481147262477353,1.1109910192410763,0.9999433923182085,0.010640120260289
model.dec.16x16_block1.norm1,1.0,0.49332864915337066,1.0,1.0,0.0
model.dec.16x16_block1.norm1,1.2,0.4091160247788353,0.8291793237975228,0.999857964341706,0.016853816851369552
model.dec.16x16_block1.norm1,1.3,0.3772336365821489,0.7644236262082947,0.9996777549186996,0.025384765524005207
model.dec.16x16_block1.skip,0.9,2.742087938146795,1.1115927869236266,0.9998991752445864,0.014199976943496126
model.dec.16x16_block1.skip,1.0,2.4665610465044234,1.0,1.0,0.0
model.dec.16x16_block1.skip,1.2,2.0486471346514827,0.8304654709147958,0.9998763312520688,0.01572648091289617
model.dec.16x16_block1.skip,1.3,1.888484495689511,0.7654742232550603,0.9997905227677265,0.0204673052412023
model.dec.16x16_block2.affine,0.9,0.34558169708321584,1.1127285120466432,0.9999715418431365,0.007544236466353517
model.dec.16x16_block2.affine,1.0,0.3105626023992683,1.0,1.0,0.0
model.dec.16x16_block2.affine,1.2,0.25770914607033885,0.8297435607363183,0.9999153055901766,0.013014670433915554
model.dec.16x16_block2.affine,1.3,0.2374923553607211,0.7645628729069602,0.999799067836091,0.020045546988887924
model.dec.16x16_block2.conv0,0.9,0.34509624983701775,1.111750677891393,0.9999148290292303,0.013051233177189765
model.dec.16x16_block2.conv0,1.0,0.3103815131544446,1.0,1.0,0.0
model.dec.16x16_block2.conv0,1.2,0.25763520518603783,0.829967471545155,0.9998888137245706,0.014911746660631725
model.dec.16x16_block2.conv0,1.3,0.23755037201438303,0.7651971958454757,0.999800848527724,0.019956534850600498
model.dec.16x16_block2.conv1,0.9,0.17327165270255407,1.1118732860948786,0.9999175438703032,0.012841552101695769
model.dec.16x16_block2.conv1,1.0,0.1558247397068065,1.0,1.0,0.0
model.dec.16x16_block2.conv1,1.2,0.12939651994103707,0.8303149943148452,0.9999002903843652,0.014121235401432222
model.dec.16x16_block2.conv1,1.3,0.11929604710911425,0.7654491302591439,0.999831212951563,0.018372414316201506
model.dec.16x16_block2.norm0,0.9,0.8742349543125081,1.1138481245847687,0.9999477455643476,0.010222824501020918
model.dec.16x16_block2.norm0,1.0,0.7848370458802288,1.0,1.0,0.0
model.dec.16x16_block2.norm0,1.2,0.6487245153354707,0.8264080700379878,0.9998013841742847,0.01992968146219011
model.dec.16x16_block2.norm0,1.3,0.5970947265095301,0.7604321188777146,0.99953201941887,0.03058990285103617
model.dec.16x16_block2.norm1,0.9,0.9566846373963825,1.1129372744245591,0.9999807482754095,0.006205084894828574
model.dec.16x16_block2.norm1,1.0,0.8595868262763191,1.0,1.0,0.0
model.dec.16x16_block2.norm1,1.2,0.7124653176842919,0.828794711400625,0.9999378186197543,0.011151631897066864
model.dec.16x16_block2.norm1,1.3,0.6560478653331429,0.7630976614411386,0.9998488396940014,0.01738671224122389
model.dec.16x16_block2.skip,0.9,3.647211521210346,1.1117812071997806,0.9999402153832362,0.010934608329840879
model.dec.16x16_block2.skip,1.0,3.280315812544537,1.0,1.0,0.0
model.dec.16x16_block2.skip,1.2,2.723037824240068,0.8300428387914358,0.9999136350361822,0.01314239204743978
model.dec.16x16_block2.skip,1.3,2.509651563620034,0.7649444301707593,0.9998437019629705,0.017679695839651465
model.dec.16x16_block3.affine,0.9,0.5332649606539354,1.111282330684486,0.9999779147338429,0.006646054811317076
model.dec.16x16_block3.affine,1.0,0.47985392067459026,1.0,1.0,0.0
model.dec.16x16_block3.affine,1.2,0.3993728354005398,0.8322303938218568,0.999940361440608,0.01092124361170543
model.dec.16x16_block3.affine,1.3,0.3684331533179756,0.7676986779915751,0.9998644726008806,0.016463184095516777
model.dec.16x16_block3.conv0,0.9,0.4485676470595063,1.1114912059080961,0.999947071785004,0.010288519261586578
model.dec.16x16_block3.conv0,1.0,0.4035514656260181,1.0,1.0,0.0
model.dec.16x16_block3.conv0,1.2,0.3353048857233464,0.830819227879636,0.9999207627345327,0.012588417390213089
model.dec.16x16_block3.conv0,1.3,0.309273447309899,0.7662638753631444,0.9998495268467619,0.017347151475284858
model.dec.16x16_block3.conv1,0.9,0.2655423125608256,1.1122739382490852,0.9999592776359354,0.00902458142065537
model.dec.16x16_block3.conv1,1.0,0.23872850915494095,1.0,1.0,0.0
model.dec.16x16_block3.conv1,1.2,0.19816734393212512,0.8300469391667631,0.9999420912851024,0.01076169486541832
model.dec.16x16_block3.conv1,1.3,0.1826794894039333,0.7651358363057337,0.999891876741549,0.014704925238275152
model.dec.16x16_block3.norm0,0.9,1.5623821821449426,1.1104700213052405,0.999962424600311,0.00866887463672429
model.dec.16x16_block3.norm0,1.0,1.4069028834957964,1.0,1.0,0.0
model.dec.16x16_block3.norm0,1.2,1.169394173159769,0.8310802161277315,0.9998759864922518,0.01574838519170408
model.dec.16x16_block3.norm0,1.3,1.0786503686560796,0.7664705352614302,0.9997211677750764,0.023613273861067305
model.dec.16x16_block3.norm1,0.9,1.165729522656146,1.1110416634647724,0.9999750732799552,0.00706065285566497
model.dec.16x16_block3.norm1,1.0,1.0491959961316495,1.0,1.0,0.0
model.dec.16x16_block3.norm1,1.2,0.8721616184058907,0.8312146896097342,0.9999375182989073,0.011178528446200224
model.dec.16x16_block3.norm1,1.3,0.8049326539704978,0.7670746712681614,0.9998497015354703,0.017337079899209733
model.dec.16x16_block3.skip,0.9,5.116542077195295,1.1122220062639694,0.9999644765395274,0.008428858702644442
model.dec.16x16_block3.skip,1.0,4.600125056958069,1.0,1.0,0.0
model.dec.16x16_block3.skip,1.2,3.817845938333954,0.8298997664001531,0.9999467688963242,0.01031791518676964
model.dec.16x16_block3.skip,1.3,3.5187815082294325,0.7648538457697583,0.9998982126647001,0.014267596501801413
model.dec.16x16_block4.affine,0.9,1.2677674728000228,1.1121699052896648,0.9999873538758104,0.005029124024593349
model.dec.16x16_block4.affine,1.0,1.1398900783283938,1.0,1.0,0.0
model.dec.16x16_block4.affine,1.2,0.9461624230477367,0.8300281520353032,0.9999772049608845,0.006752004044513494
model.dec.16x16_block4.affine,1.3,0.8718424147772188,0.764807723647885,0.9999476066301705,0.010236405355113772
