arm,k,next_k,space,block,coordinate_count,b_norm,R_norm,delta_norm,cos_b_R,cos_b_delta,cos_R_delta,R_over_b_diagnostic,closure_l2,closure_relative,closure_max_abs,closure_pass
B,0,1,state,theta,55732739,0.0017402857558004362,0.0,0.0017402857558004362,,0.9999999999999999,,0.0,0.0,0.0,0.0,True
B,0,1,state,EMA,55732771,1.420134842651573e-05,0.0,1.420134842651573e-05,,0.9999999999999999,,0.0,0.0,0.0,0.0,True
B,0,1,state,m,55732739,5.793186261713652,0.0,5.793186261713652,,1.0,,0.0,0.0,0.0,0.0,True
B,0,1,state,v,55732739,0.34325523413825704,0.0,0.34325523413825704,,1.0,,0.0,0.0,0.0,0.0,True
B,0,1,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,0,1,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,0,1,observable,residual,393216,0.1686073553794147,0.0,0.1686073553794147,,0.9999999999999999,,0.0,0.0,0.0,0.0,True
B,0,1,observable,feature,49152,0.03683943670608457,0.0,0.03683943670608457,,0.9999999999999999,,0.0,0.0,0.0,0.0,True
C,0,1,state,theta,55732739,0.001686035969038221,0.0,0.001686035969038221,,0.9999999999999999,,0.0,0.0,0.0,0.0,True
C,0,1,state,EMA,55732771,1.3772990281233456e-05,0.0,1.3772990281233456e-05,,0.9999999999999999,,0.0,0.0,0.0,0.0,True
C,0,1,state,m,55732739,5.603700672395438,0.0,5.603700672395438,,1.0,,0.0,0.0,0.0,0.0,True
C,0,1,state,v,55732739,0.3464789521208402,0.0,0.3464789521208402,,1.0,,0.0,0.0,0.0,0.0,True
C,0,1,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,0,1,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,0,1,observable,residual,393216,0.1649967391496615,0.0,0.1649967391496615,,0.9999999999999999,,0.0,0.0,0.0,0.0,True
C,0,1,observable,feature,49152,0.036790777035365464,0.0,0.036790777035365464,,1.0,,0.0,0.0,0.0,0.0,True
D,0,1,state,theta,55732739,0.0007561632664733321,0.0,0.0007561632664733321,,1.0,,0.0,0.0,0.0,0.0,True
D,0,1,state,EMA,55732771,9.642786655341546e-06,0.0,9.642786655341546e-06,,1.0,,0.0,0.0,0.0,0.0,True
D,0,1,state,m,55732739,2.0156382907960735,0.0,2.0156382907960735,,1.0,,0.0,0.0,0.0,0.0,True
D,0,1,state,v,55732739,0.2384841656458956,0.0,0.2384841656458956,,1.0,,0.0,0.0,0.0,0.0,True
D,0,1,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,0,1,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,0,1,observable,residual,393216,0.16090471273316662,0.0,0.16090471273316662,,1.0,,0.0,0.0,0.0,0.0,True
D,0,1,observable,feature,49152,0.038124967776847575,0.0,0.038124967776847575,,1.0,,0.0,0.0,0.0,0.0,True
B,1,2,state,theta,55732739,0.0010969332034286398,0.0034581535862938623,0.00359314863161161,-0.033133074499894895,0.27339641182092683,0.9523148546205541,3.1525653298531315,0.0,0.0,0.0,True
B,1,2,state,EMA,55732771,1.1825839990539849e-05,2.4858834652407462e-05,2.5251517651290488e-05,-0.20439213133891773,0.26710829370637246,0.8887278112062756,2.102077710529944,0.0,0.0,0.0,True
B,1,2,state,m,55732739,4.798421161749341,5.571633416740478,8.135172552325496,0.2265395190562509,0.7449892767920445,0.8185032826438432,1.1611388890068268,0.0,0.0,0.0,True
B,1,2,state,v,55732739,1.7187333706857386,0.3427013649619251,1.7967924356935772,0.13325225919310088,0.9819715770978306,0.31819282973310264,0.19939181423189242,0.0,0.0,0.0,True
B,1,2,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,1,2,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,1,2,observable,residual,393216,0.17022398475168787,0.17600952240121692,0.17564545355372008,-0.485701254257763,0.48242603065265793,0.531363138722079,1.0339877935413664,0.0,0.0,0.0,True
B,1,2,observable,feature,49152,0.03444407336708549,0.03694067008154791,0.03762502033390442,-0.44615553552308246,0.4774160589113212,0.5733752670804427,1.0724826209680574,0.0,0.0,0.0,True
C,1,2,state,theta,55732739,0.0009253484603491439,0.003394653937718167,0.0034046668711646844,-0.12545828712221677,0.14669893145213245,0.9629609676819977,3.668514168637972,0.0,0.0,0.0,True
C,1,2,state,EMA,55732771,1.0715983043521258e-05,2.4341876480109444e-05,2.4399330354485075e-05,-0.21474631330216784,0.22495104295155727,0.9033304729223115,2.271548618661376,0.0,0.0,0.0,True
C,1,2,state,m,55732739,2.2139075590405164,5.327067885746588,5.369950825013684,-0.1883501885714686,0.22543098767092454,0.9143618143857011,2.4061835210749636,0.0,0.0,0.0,True
C,1,2,state,v,55732739,0.35700114362622404,0.66556828962723,0.9305068239562597,0.6216356106144445,0.8283035372887162,0.9537736754707467,1.8643309734718165,0.0,0.0,0.0,True
C,1,2,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,1,2,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,1,2,observable,residual,393216,0.16681254195167647,0.17042045783105703,0.17075607789598152,-0.48740072266409573,0.49046270375857653,0.521890086914864,1.0216285648379229,0.0,0.0,0.0,True
C,1,2,observable,feature,49152,0.0348754319484896,0.036598467100107356,0.036319829461851874,-0.4844193797150106,0.4720954220158146,0.5425171946091593,1.0494054139361673,0.0,0.0,0.0,True
D,1,2,state,theta,55732739,0.0006568881791544234,0.001756767216653774,0.0018931086147523052,0.02865126330517109,0.3735769695058921,0.9379218281509435,2.6743778810499608,0.0,0.0,0.0,True
D,1,2,state,EMA,55732771,9.152927410309459e-06,1.785667978598291e-05,1.843036711123187e-05,-0.19260375971980148,0.3100135614734737,0.8732214316288343,1.95092553294697,0.0,0.0,0.0,True
D,1,2,state,m,55732739,4.944673250846384,2.960850090136713,6.027503841007536,0.10636212228616325,0.8725992863615214,0.5784776124714208,0.5987959041843466,0.0,0.0,0.0,True
D,1,2,state,v,55732739,1.945246547407887,0.286198752912746,1.9988457991302053,0.11629635413976305,0.9898364445080957,0.2563598625277777,0.14712723859816967,0.0,0.0,0.0,True
D,1,2,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,1,2,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,1,2,observable,residual,393216,0.1683830598762997,0.17404538596730196,0.18571283023057272,-0.4121195840161698,0.5204570286905772,0.5635121130068448,1.0336276469566594,0.0,0.0,0.0,True
D,1,2,observable,feature,49152,0.036698932059598524,0.03684032425179319,0.037079677080310104,-0.4915377609338467,0.501366868015878,0.5070543985006444,1.0038527604009035,0.0,0.0,0.0,True
B,2,3,state,theta,55732739,0.0012200110482335994,0.005576371186548675,0.005666337974845815,-0.035053659097179724,0.1808114585132675,0.976575234257832,4.570754662117576,0.0,0.0,0.0,True
