arm,k,next_k,space,block,coordinate_count,delta_k_norm,b_norm,R_norm,delta_norm,feedback_gain_G,cos_R_delta_k,cos_b_R,cos_b_delta,cos_R_delta,R_over_b_diagnostic,carryover_rule,carryover_retention_min,carryover_retention_max,carryover_norm,corrected_R_norm,corrected_R_over_delta_k,corrected_R_over_b,cos_corrected_R_delta_k,cos_corrected_R_b,cos_corrected_R_R,closure_l2,closure_relative,closure_max_abs,closure_pass
B,0,1,state,theta,55732739,0.0,0.0017402857558004362,0.0,0.0017402857558004362,0.0,,,0.9999999999999999,,0.0,identity_parameter_carryover,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
B,0,1,state,EMA,55732771,0.0,1.420134842651573e-05,0.0,1.420134842651573e-05,0.0,,,0.9999999999999999,,0.0,ema_transition_carryover_counterfactual_map,0.9993,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
B,0,1,state,m,55732739,0.0,5.793186261713652,0.0,5.793186261713652,0.0,,,1.0,,0.0,radam_beta1_per_parameter_group,0.9,0.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
B,0,1,state,v,55732739,0.0,0.34325523413825704,0.0,0.34325523413825704,0.0,,,1.0,,0.0,radam_beta2_per_parameter_group,0.999,0.999,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
B,0,1,state,net_buffer,32,0.0,0.0,0.0,0.0,0.0,,,,,,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
B,0,1,state,scaler,1,0.0,0.0,0.0,0.0,0.0,,,,,,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
B,0,1,observable,residual,393216,0.0,0.1686073553794147,0.0,0.1686073553794147,0.0,,,0.9999999999999999,,0.0,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
B,0,1,observable,feature,49152,0.0,0.03683943670608457,0.0,0.03683943670608457,0.0,,,0.9999999999999999,,0.0,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
C,0,1,state,theta,55732739,0.0,0.001686035969038221,0.0,0.001686035969038221,0.0,,,0.9999999999999999,,0.0,identity_parameter_carryover,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
C,0,1,state,EMA,55732771,0.0,1.3772990281233456e-05,0.0,1.3772990281233456e-05,0.0,,,0.9999999999999999,,0.0,ema_transition_carryover_counterfactual_map,0.9993,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
C,0,1,state,m,55732739,0.0,5.603700672395438,0.0,5.603700672395438,0.0,,,1.0,,0.0,radam_beta1_per_parameter_group,0.9,0.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
C,0,1,state,v,55732739,0.0,0.3464789521208402,0.0,0.3464789521208402,0.0,,,1.0,,0.0,radam_beta2_per_parameter_group,0.999,0.999,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
C,0,1,state,net_buffer,32,0.0,0.0,0.0,0.0,0.0,,,,,,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
C,0,1,state,scaler,1,0.0,0.0,0.0,0.0,0.0,,,,,,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
C,0,1,observable,residual,393216,0.0,0.1649967391496615,0.0,0.1649967391496615,0.0,,,0.9999999999999999,,0.0,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
C,0,1,observable,feature,49152,0.0,0.036790777035365464,0.0,0.036790777035365464,0.0,,,1.0,,0.0,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
D,0,1,state,theta,55732739,0.0,0.0007561632664733321,0.0,0.0007561632664733321,0.0,,,1.0,,0.0,identity_parameter_carryover,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
D,0,1,state,EMA,55732771,0.0,9.642786655341546e-06,0.0,9.642786655341546e-06,0.0,,,1.0,,0.0,ema_transition_carryover_counterfactual_map,0.9993,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
D,0,1,state,m,55732739,0.0,2.0156382907960735,0.0,2.0156382907960735,0.0,,,1.0,,0.0,radam_beta1_per_parameter_group,0.9,0.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
D,0,1,state,v,55732739,0.0,0.2384841656458956,0.0,0.2384841656458956,0.0,,,1.0,,0.0,radam_beta2_per_parameter_group,0.999,0.999,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
D,0,1,state,net_buffer,32,0.0,0.0,0.0,0.0,0.0,,,,,,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
D,0,1,state,scaler,1,0.0,0.0,0.0,0.0,0.0,,,,,,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
D,0,1,observable,residual,393216,0.0,0.16090471273316662,0.0,0.16090471273316662,0.0,,,1.0,,0.0,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
D,0,1,observable,feature,49152,0.0,0.038124967776847575,0.0,0.038124967776847575,0.0,,,1.0,,0.0,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
B,1,2,state,theta,55732739,0.0017402857558004362,0.0010969332034286398,0.0034581535862938623,0.00359314863161161,1.9871182504181912,0.9555228163373184,-0.033133074499894895,0.27339641182092683,0.9523148546205541,3.1525653298531315,identity_parameter_carryover,1.0,1.0,0.0017402857558003672,0.001867193849245273,1.0729237098113613,1.702194667286085,0.8376521264432945,-0.056373806674015405,0.9614806948970149,0.0,0.0,0.0,True
B,1,2,state,EMA,55732771,1.420134842651573e-05,1.1825839990539849e-05,2.4858834652407462e-05,2.5251517651290488e-05,1.7504559360006158,0.5811196728572582,-0.20439213133891773,0.26710829370637246,0.8887278112062756,2.102077710529944,ema_transition_carryover_counterfactual_map,0.9993,1.0,1.4191407525956181e-05,2.0232171352381813e-05,1.4246655137765487,1.7108443348266726,0.012581463967956905,-0.25140424340742296,0.8210650386560832,0.0,0.0,0.0,True
