seed,DA,DD,AA,end_attempt,successful_optimizer_steps,process_gpuh,error
50,PASS,PASS,PASS,8000,7988,2.028424270129245,
51,PASS,PASS,PASS,8000,7988,1.965639046996625,
52,PASS,PASS,PASS,8000,7987,2.1100928168557584,
53,PASS,PASS,PASS,8000,7988,1.9678581232463734,
54,PASS,PASS,PASS,8000,7988,2.078428616169323,
55,PASS,PASS,PASS,8000,7987,2.0478680518031536,
56,PASS,PASS,PASS,8000,7988,2.0306441678355136,
57,PASS,PASS,PASS,8000,7988,1.9867536407931605,
58,PASS,PASS,NO_ENDPOINT,8000,7987,2.020641603676033,
59,PASS,PASS,PASS,8000,7987,1.9878613939508796,
60,PASS,PASS,PASS,8000,7988,2.023422360278459,
61,PASS,PASS,PASS,8000,7987,2.0950943776665047,
62,PASS,PASS,PASS,8000,7987,2.0989794573591403,
63,PASS,PASS,PASS,8000,7987,2.247328819198948,
64,PASS,PASS,PASS,8000,7988,2.172875571787978,
65,PASS,PASS,NO_ENDPOINT,8000,7987,2.784603162744703,
