layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.08806333571450914,0.08805428323796817,0.9114084155669435,0.9113147272773253,0.911502113488246,0.41146067646767404,0.4134281941138649,0.0,131328,131328,1.0,1.0,0.9113147272773253,0.41146067646767404,0.995466368247474,1.0,1.0001743845280755,131328,0.9113296487891114,0.4116773875330701,0.9999999974649756,0.01040103063224303,3.1475455188454094e-05,0.0,0.08806349641006958,0.08805442158018129,0.9113149190630006,0.911502767756309,0.4114596353082876,0.41342734247169904,0.0
model.dec.16x16_block0.conv0,0.26400632626130544,0.2639977334858766,0.9016489947477593,0.9016196482262676,0.9016783422244411,0.43245452450867056,0.433510051123094,0.0,1179898,1179904,0.9999949148405294,1.0000000000000002,0.9016196482262674,0.432448656242286,0.9803222612753868,1.0,1.0001226091221187,1179886,0.9016367007183613,0.43249423085664496,0.9999999970774333,0.006616363399035777,5.16679155956601e-05,1.0747294221278786e-07,0.26400757144847636,0.26399918623887736,0.9016214566138743,0.9016787325855636,0.43245257253127334,0.43350780668237954,1.0748097482319905e-07
model.dec.16x16_block0.conv1,0.18669190836873778,0.18668706899851922,0.8998701648767162,0.8998468387191205,0.8998934916389814,0.43614656267633145,0.4370715703246767,0.0,590076,590080,0.9999932212581345,1.0,0.8998468387191205,0.4361388043797444,-0.9423386900193873,1.0,1.000122624156959,590070,0.8998693269023743,0.43615959761347306,0.9999999970612028,0.006549071314964114,5.97236887579259e-05,7.165873079625948e-08,0.18669389121104008,0.18668922408971858,0.8998502487014999,0.8998952407228392,0.4361416432277728,0.4370663866612229,7.166234385090821e-08
model.dec.16x16_block0.norm0,0.007779097108831926,0.007779079424276408,0.9355530280862944,0.9355509012534199,0.935555154924004,0.353185453385605,0.35892182241644727,0.0,1024,1024,1.0,1.0,0.9355509012534199,0.353185453385605,1.0,1.0,1.0,1024,0.9355507813493363,0.35319220672726304,0.9999999989024918,5.810057769072088e-05,1.9661600974750918e-05,0.0,0.007779380626608795,0.0077793530507917754,0.9355478676024669,0.9355545001700767,0.35318988939898366,0.35892653308084443,0.0
model.dec.16x16_block0.norm1,0.005500940944063367,0.0055009567470372615,0.8867149266954635,0.8867174740292709,0.8867123793689741,0.4623179282835683,0.4625620298890944,0.0,512,512,1.0,1.0,0.8867174740292709,0.4623179282835683,-1.0,1.0,1.0,512,0.8867203444486105,0.46230620535851513,0.9999999954120682,4.5970234891321226e-05,3.89674357007033e-05,0.0,0.005500852710704172,0.00550085180315301,0.8867226655931836,0.88672295818287,0.4623013999069215,0.4625472635022808,0.0
model.dec.16x16_block0.skip,0.08809722651998446,0.08809725718593225,0.8974264711314842,0.8974267835185412,0.897426158744536,0.4411642147861368,0.4419166646319334,0.0,131327,131328,0.9999923854775828,0.9999999999999997,0.8974267835185413,0.4411555842601441,-0.9991679003568273,1.0,1.0000023943460248,131326,0.8974362443885575,0.44114417971497505,0.9999999972832334,0.0007438424274708747,1.1780365247227588e-05,1.795481433291726e-08,0.08809741905080938,0.08809745686836065,0.897427347275732,0.8974265767995201,0.44116325198411016,0.4419157036006074,1.7954777358507363e-08
model.dec.16x16_block1.affine,0.08806872234053147,0.08807140937976346,0.9248534512752125,0.924881669210495,0.9248252342008529,0.38033527355342944,0.38402380363144356,0.0,131328,131328,1.0,1.0,0.924881669210495,0.38033527355342944,0.9990183552232904,1.0,1.0001226375445935,131328,0.9249073974137525,0.38019245947980157,0.9999999978893834,0.007420852774777148,2.7961864919984506e-05,0.0,0.08806888168586023,0.08807155502563666,0.9248818384922683,0.9248256912860361,0.380334452751906,0.38402313852339254,0.0
model.dec.16x16_block1.conv0,0.263998455919622,0.2639952330002991,0.8992281830217732,0.8992172051549645,0.8992391610226025,0.43747457286572716,0.4383492110156888,0.0,1179893,1179904,0.9999906772076372,1.0000000000000002,0.8992172051549642,0.437463927191857,-0.9766922625807497,1.0,1.000122616639078,1179886,0.8992290616043533,0.43747810760003936,0.9999999969664387,0.006310559629978717,5.182031130455702e-05,1.9721802930602867e-07,0.26399983567623764,0.26399684124157485,0.8992191806800387,0.899239579926805,0.43747249067863925,0.4383467951685502,1.9720410371659368e-07
model.dec.16x16_block1.conv1,0.18668218729530098,0.1866738879131241,0.8952121428003642,0.8951723441039265,0.8952519432662224,0.4456204234199164,0.4462649476996985,0.0,590078,590080,0.9999966106290672,1.0,0.8951723441039265,0.4456166236870526,-0.9936227618346823,1.0,1.0001226429556953,590071,0.8952027313698717,0.44565914077732505,0.9999999968785063,0.007807306970866198,6.342343652344173e-05,3.585462743639253e-08,0.18668458634380042,0.18667641380101269,0.8951761459382376,0.8952545278328499,0.4456143120527647,0.44625868986719747,3.586126292557491e-08
model.dec.16x16_block1.norm0,0.007779228555932225,0.007779217167353169,0.9042960467668537,0.9042947229020328,0.9042973706336126,0.42690528948241824,0.42815272883646255,0.0,1024,1024,1.0,1.0,0.9042947229020328,0.42690528948241824,0.9997548418730081,1.0,1.0,1024,0.9042952575897394,0.4269075813844262,0.9999999942685796,4.531173140423931e-05,2.008132123080237e-05,0.0,0.007779377562744656,0.007779366563522626,0.9043004849282431,0.9043030421053002,0.42689320112974727,0.4281411019055321,0.0
model.dec.16x16_block1.norm1,0.0055012036975422875,0.005501193161843258,0.8867261636666086,0.8867244654419117,0.8867278618945579,0.4622941618335913,0.4625409905940797,0.0,512,512,1.0,1.0,0.8867244654419117,0.4622941618335913,-0.9998651630301545,1.0,1.0,512,0.886725416825262,0.4622964698014586,0.9999999911101389,6.679116363467626e-05,5.157228744297604e-05,0.0,0.005500840767731602,0.005500839642662798,0.8867261673980429,0.8867265301165062,0.46229459763036546,0.46254059953537324,0.0
