layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.009075422448644097,0.008975193273135397,0.9985805909670065,0.9875522438153467,1.0097320955937863,0.052673426949642055,0.05348216184405643,0.0,131286,131328,0.9996801900584795,1.0,0.9875522438153467,0.05266971901227361,0.7137034929744706,0.9919289415716027,1.3692107718970803,131286,0.9875521699048053,0.05267494168600136,0.9919690796767844,0.0006330790679434837,0.0006330790644144574,1.4540012964697463e-09,0.009075425383008606,0.008975193878311463,0.9875520818749352,1.0097324468037114,0.05267171149588329,0.05348046256612937,0.0
model.dec.16x16_block0.conv0,0.023127480397921393,0.022665191227244013,0.9979494464799641,0.9780016954040348,1.0183040606266396,0.06272762840670076,0.06410780783479089,0.0,1179047,1179904,0.9992736697222825,0.9999999999999998,0.9780016954040347,0.06270714057666302,0.60304328599494,0.9807162534435262,1.3526970954356847,1179047,0.9780007383353099,0.06272440825866968,0.9806978463186705,0.0014216066737399117,0.0014216066732945726,6.212450767702743e-08,0.023127492481737,0.022665170155287424,0.9780007028932467,1.018305984765529,0.06272086802716939,0.06410109031583358,0.0
model.dec.16x16_block0.conv1,0.015977165394613916,0.0156514312810298,0.9978884274210187,0.9775439987108164,1.0186562598655697,0.06362722025260852,0.06507059182415265,0.0,589558,590080,0.9991153741865509,1.0,0.9775439987108164,0.06360360942742807,0.593928768161868,0.9795653517268319,1.3611111111111112,589558,0.9775442095781681,0.06362265709841977,0.9794932563268703,0.0016943345278116375,0.0016943345264986236,3.465735436087863e-08,0.01597715266891692,0.015651407528988193,0.9775440329474582,1.018657764591393,0.06361581786891223,0.06505907868043799,0.0
model.dec.16x16_block0.norm0,0.0008395951758187284,0.0008333671296158873,0.9987634953727411,0.9913547519996901,1.0062276068955456,0.04934521091448077,0.050409998038135506,0.0,1017,1024,0.9931640625,1.0,0.9913547519996901,0.04927842037712114,0.6745098039215687,0.9909706546275395,1.3002564102564103,1017,0.991393085152706,0.0492460986350666,0.9907072419322067,0.0014760069859454034,0.0014760069854964902,2.0985929798410938e-10,0.0008395785425804619,0.0008333842226851458,0.9913971434628208,1.0061894882059033,0.049298610819313894,0.050368150503570706,0.0
model.dec.16x16_block0.norm1,0.0005573964473622469,0.0005520933554545554,0.9984824656459026,0.9889828638658836,1.008073315148482,0.05454660948419636,0.05545307495251947,0.0,510,512,0.99609375,1.0,0.9889828638658836,0.05452983609513137,0.7726190476190476,0.9892760623310908,1.229935125115848,510,0.9890532957636973,0.05445404874806625,0.9908916412336146,0.0027053813474229647,0.002705381347321058,2.569050319621844e-11,0.0005574197831367515,0.0005521561428282312,0.9890591326317263,1.0080061856632663,0.0544561099367274,0.055366380023408546,0.0
model.dec.16x16_block0.skip,0.0075628955458183315,0.0074133866309799585,0.9977633551275058,0.9780388308911385,1.0178856722163272,0.06552380156610645,0.06692101500435857,0.0,131308,131328,0.9998477095516569,1.0,0.9780388308911385,0.06551825102876596,0.5671479334566434,0.978701312352659,1.3860658067725544,131308,0.9780381362021997,0.06552601855230106,0.9786904011730262,0.0006027978779096142,0.0006027978777628707,1.8802445573907975e-09,0.007562895681724023,0.007413381381745031,0.9780381602867816,1.0178864523531184,0.06552316445374545,0.06692042649744802,0.0
model.dec.16x16_block1.affine,0.009428128573930973,0.009347194021235822,0.9984749620457293,0.9899036826240715,1.0071204576080217,0.0547325198127007,0.05570723543862218,0.0,131275,131328,0.9995964303118908,1.0,0.9899036826240715,0.054724526090125236,0.6524822695035462,0.9869358669833729,1.296551724137931,131275,0.9899019977689127,0.05474185911451997,0.986959112960315,0.000776710571825634,0.000776710570000132,3.5150880467933714e-09,0.009428145687388879,0.009347194354642633,0.9899018510122315,1.0071221784375277,0.05473369027194226,0.05570834111735273,0.0
model.dec.16x16_block1.conv0,0.023091956808576154,0.022634503931410407,0.9978451866021883,0.9780778210488442,1.0180120589560249,0.06431258907349414,0.06569567640267944,0.0,1179009,1179904,0.999241463712302,0.9999999999999998,0.9780778210488444,0.06429046735544484,0.5910250758328454,0.9797425617218822,1.3653276181198226,1179009,0.9780780671605669,0.06430622409008865,0.9797321626723864,0.0013960396060509305,0.0013960396046817944,6.856208815100091e-08,0.02309193660581838,0.02263448019257673,0.9780781281827209,1.0180127327088668,0.06430531969966911,0.0656882887033395,0.0
model.dec.16x16_block1.conv1,0.01596705591490251,0.015651352641168466,0.9977971122609661,0.9780685025196326,1.0179236675872185,0.06502777642353877,0.06641759030392243,0.0,589502,590080,0.9990204718004339,1.0000000000000002,0.9780685025196324,0.06499926006901695,0.5806451612903226,0.9798657718120806,1.3676430842607277,589502,0.9780679977496385,0.06502029154607575,0.9798607529672719,0.0017462710643138923,0.001746271063394911,4.27237910210844e-08,0.015967068094582326,0.01565134480190669,0.9780680242492005,1.0179257424658334,0.06501629710200385,0.06640605089816082,0.0
model.dec.16x16_block1.norm0,0.0007694626984523515,0.000765184450737254,0.9981480671938412,0.9925983183932949,1.0037288453757378,0.060492984447100204,0.061790968622847345,0.0,1020,1024,0.99609375,1.0,0.9925983183932949,0.06030641269828645,0.6035849056603774,0.9981525833128633,1.4198393670582583,1020,0.9925437033359485,0.06037574281626563,0.9975937666894231,0.002463474128790328,0.002463474128812785,6.030845625312279e-10,0.0007694746514076659,0.0007651523062760156,0.9925430104717472,1.0037884340004337,0.0604598262654194,0.06175118754945004,0.0
