layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.006141014345143561,0.00604407138826868,0.9962291819254405,0.9805025613391736,1.0122080472327482,0.0853910715569704,0.08694108015602736,0.0,131077,131328,0.9980887548732943,1.0,0.9805025613391736,0.08537527975569374,0.495,0.9797232056646282,1.4373622589531674,131077,0.9805033459180228,0.08538972268753442,0.9788760358918126,0.0012797020200774698,0.0012797000213889867,3.8896231026206465e-09,0.0061410090784118085,0.006044069333384429,0.9805032739445372,1.0122077349435454,0.08538876125289553,0.08693874868315174,0.0
model.dec.16x16_block0.conv0,0.022856753195849826,0.022447469236894675,0.9964480777180066,0.978605201669639,1.0146162823310847,0.08270153746936074,0.08427099305124018,0.0,1178946,1179904,0.9991880695378607,1.0,0.9786052016696395,0.0826678620409723,0.48739495798319327,0.9804347826086957,1.463235294117647,1178946,0.978605919058408,0.08268683109931059,0.9804094796291629,0.0016128724467439324,0.001612872445561928,1.1127322727956076e-07,0.02285675205422673,0.022447471961875215,0.9786058970670438,1.0146166556280327,0.0826953068730733,0.08426464631627986,0.0
model.dec.16x16_block0.conv1,0.01641189376739921,0.016090226926014518,0.9963134474813662,0.9767860849342705,1.016231190167908,0.0841062075850352,0.08580312876162445,0.0,589513,590080,0.999039113340564,1.0000000000000002,0.9767860849342705,0.08407263229688536,0.4823777961888982,0.978448275862069,1.4722222222222223,589513,0.9767847565874612,0.08410123120131764,0.9784641749571894,0.0018509240620143694,0.0018509240594157396,5.817036958828572e-08,0.016411896051947587,0.016090194923801142,0.9767847489051233,1.0162341255241745,0.08409740273629562,0.0857942878118457,0.0
model.dec.16x16_block0.norm0,0.0005914988135469019,0.0005796853609465016,0.9963510131987607,0.9764518262549968,1.0166557272052796,0.08364559094546961,0.08535885920701457,0.0,1023,1024,0.9990234375,1.0,0.9764518262549968,0.0836417061383386,0.39,0.9766423357664233,1.4983333333333329,1023,0.976485073537384,0.08368564331189224,0.9771858731618566,0.002300873873274573,0.002300873873442703,8.696279908739048e-12,0.000591500245021994,0.0005797057659196648,0.9764762861090007,1.0166145439704453,0.08373640096297084,0.08544930223328916,0.0
model.dec.16x16_block0.norm1,0.00046879959704903786,0.00045954593309777256,0.9967249737701036,0.9770505584822903,1.0167955636607118,0.07926988233580572,0.08087329172284083,0.0,509,512,0.994140625,1.0,0.9770505584822903,0.07908276117806348,0.5,0.9850374064837906,1.5523809523809522,509,0.9768234511590403,0.0788286776776911,0.985145581550232,0.003522023329648402,0.00352202332969927,2.490668917612293e-10,0.00046884559680706396,0.0004594818091788907,0.9768316905306622,1.0170511123404329,0.07908675663878713,0.08070271589686877,0.0
model.dec.16x16_block0.skip,0.0068952269638341,0.006775745861879664,0.9965785873010798,0.9793097855024631,1.0141519010324622,0.08121840914730921,0.08273241606010123,0.0,131302,131328,0.999802022417154,1.0,0.9793097855024631,0.0812138837264169,0.4725283867546763,0.9790317350721822,1.4893178932295885,131302,0.9793106818702608,0.08121636611055581,0.9790415848513261,0.0006521463770215691,0.0006521463768893176,1.3366626481590047e-09,0.006895223097833544,0.006775747862741078,0.9793107702533427,1.0141511846404543,0.08121671236787643,0.08273067656796551,0.0
model.dec.16x16_block1.affine,0.006778416408831279,0.006654071042413567,0.9973107337072626,0.9790157572502868,1.0159475904262083,0.07194471736407745,0.07331409822320685,0.0,131149,131328,0.9986370004873294,0.9999999999999997,0.979015757250287,0.0719342342768899,0.4497777312217254,0.9802513464991023,1.507496352822354,131149,0.9790178314798632,0.07194082140396459,0.9796030811685742,0.0009290323355483329,0.0009290318359410434,2.6505517009954778e-09,0.006778405418209542,0.006654072508562471,0.9790176620970009,1.0159458248782283,0.07194346540786765,0.07331274819314669,0.0
model.dec.16x16_block1.conv0,0.023128350288327205,0.022706777902543728,0.9965314668356492,0.9783671731119312,1.0150329975145198,0.08169996325219446,0.08326424055747221,0.0,1178959,1179904,0.9991990873833804,1.0,0.9783671731119314,0.08166951259423536,0.4838709677419355,0.9796380090497737,1.4660116018549063,1178959,0.978368227677528,0.0816878773595928,0.9796013937422842,0.001585067826593916,0.0015850678248516567,1.0177713868717104e-07,0.02312833510901949,0.022706778607537066,0.9783683005128386,1.015032771789188,0.0816945715653692,0.08325872103345525,0.0
model.dec.16x16_block1.conv1,0.015701865034995852,0.01539343836280922,0.9963980139731661,0.9768260890497141,1.0163620867410534,0.08313405672103975,0.08481307537938562,0.0,589513,590080,0.999039113340564,1.0,0.9768260890497142,0.08309956801629315,0.4752475247524752,0.9777777777777777,1.4777621649752803,589513,0.976826967792814,0.08312444532895084,0.9777278494059275,0.0019327481985230855,0.0019327481976431642,5.406193265872918e-08,0.015701840474865666,0.015393416450080898,0.976827237061503,1.0163629953288056,0.08312219266762663,0.08480095763981628,0.0
model.dec.16x16_block1.norm0,0.0006472677467207315,0.0006372437920609542,0.9969087114218314,0.9814700188964322,1.01259025724107,0.07735181829267561,0.07874199697397317,0.0,1024,1024,1.0,1.0,0.9814700188964322,0.07735181829267561,0.5323406328823665,0.972995761360011,1.5204623878536916,1024,0.9815114288912252,0.07742218364990378,0.9731817362928481,0.0027130940023988755,0.0027130940024544053,0.0,0.000647238608180586,0.000637236902391105,0.9815068672450111,1.0125589983103256,0.077312903784407,0.07870197478135578,0.0
