layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.00680261279301502,0.006534322510293971,0.9969858824930248,0.9576654577648083,1.0379207497055885,0.07452335553425696,0.07782674271234422,0.0,131139,131328,0.9985608552631579,1.0,0.9576654577648083,0.07450038215662645,0.5343617078075782,0.9557291666666666,1.3992741935483801,131139,0.9576696208699214,0.07452163948170233,0.9555221866560843,0.0013042880938866444,0.001304287931065325,7.631389502805455e-09,0.006802601905734969,0.006534341354912885,0.9576699847319269,1.0379163471476232,0.07452070312682914,0.0778232567626939,0.0
model.dec.16x16_block0.conv0,0.021373374511539714,0.020655237077746993,0.9963696136342604,0.9628919652143523,1.031011206696159,0.08227236612545176,0.08513419279336476,0.0,1178896,1179904,0.999145693208939,1.0,0.9628919652143523,0.08223809728090943,0.4572223419064033,0.9644128113879004,1.4666666666666666,1178896,0.9628911044144928,0.08226098563483247,0.9644211066047987,0.0017030743768920748,0.001703074376009963,1.2405406293204977e-07,0.021373377361174502,0.020655209566263,0.9628911181133964,1.0310133210780015,0.08226564687738817,0.08512735704966967,0.0
model.dec.16x16_block0.conv1,0.01521652904850217,0.014679038115470213,0.996166684374101,0.9609792537233317,1.0326425458323052,0.08438547318471654,0.0874821037359481,0.0,589512,590080,0.9990374186550977,1.0,0.9609792537233316,0.08434926216403835,0.43956043956043955,0.9622641509433962,1.4754098360655739,589512,0.9609794220349517,0.08437929777915222,0.962171617889033,0.0019807677204555472,0.0019807677186253004,6.814724041446932e-08,0.01521652014231397,0.014679024190027243,0.9609797101306171,1.0326437867285652,0.0843762679437361,0.08747260022157048,0.0
model.dec.16x16_block0.norm0,0.0005748397384913467,0.0005520243504402373,0.9963910719608718,0.956844312342077,1.037572315033426,0.0815123422952349,0.08508031223868118,0.0,1023,1024,0.9990234375,1.0,0.956844312342077,0.08150574705160439,0.5536184210526316,0.9602122015915119,1.4282142857142857,1023,0.9568926283341246,0.08166404160178514,0.9588286208805953,0.003226884050704073,0.003226884050676947,1.7113231377487424e-11,0.0005748104102462681,0.0005520235342813278,0.956890324124613,1.037519400706432,0.08153274303044294,0.08509382486516019,0.0
model.dec.16x16_block0.norm1,0.0004729184831164575,0.00045459783372455803,0.9968934779372207,0.9582742728471512,1.0370690672943517,0.07571043551111713,0.07894231902512448,0.0,512,512,1.0,1.0,0.9582742728471512,0.07571043551111713,0.6097058823529412,0.9656646035956381,1.4329745596868884,512,0.9583884300167842,0.07541520922444565,0.9651744063780472,0.0037107482346856275,0.0037107482349937647,0.0,0.00047287575402686806,0.0004546072514131682,0.958404729317844,1.0369798655601685,0.07541429641211611,0.07862047765949363,0.0
model.dec.16x16_block0.skip,0.006569093906223444,0.006339424490508677,0.9961878632672747,0.9613590287636331,1.0322785028578694,0.08418395071861141,0.08723693531675905,0.0,131302,131328,0.999802022417154,1.0,0.9613590287636331,0.08417906195593038,0.42857142857142855,0.9615384615384616,1.487173263629574,131302,0.9613601596293773,0.0841805938959486,0.9615474812678081,0.0006706131017999196,0.0006706131016523005,1.710914860168125e-09,0.006569089029261058,0.00633942739917366,0.9613602355036517,1.0322773186070573,0.08418345888116961,0.08723630543693651,0.0
model.dec.16x16_block1.affine,0.0068992243060023465,0.0066339621237245135,0.9966297473285465,0.9583112103490523,1.0364804695317886,0.07887742460594216,0.08217016571101685,0.0,131183,131328,0.9988958942495126,1.0,0.9583112103490523,0.07886907141654499,0.5454672956776744,0.9596745666784577,1.4748575231524876,131183,0.9583107309434945,0.07888182522242047,0.9593483220606438,0.0010269055971892213,0.0010269054673588873,3.0212342091206953e-09,0.006899224474889545,0.006633956809091572,0.9583104533342363,1.0364813622133273,0.07887694432845276,0.08216974424424803,0.0
model.dec.16x16_block1.conv0,0.02182447496641862,0.021053909979407814,0.9961667497064401,0.9609947137363075,1.0326260686309972,0.08438610748735449,0.08748116393897622,0.0,1178904,1179904,0.9991524734215665,0.9999999999999998,0.9609947137363077,0.08435499688805803,0.43650980245807836,0.9619041791236137,1.4789915966386555,1178904,0.9609954652429962,0.08438001840389925,0.9618657988143269,0.0016928743255805296,0.001692874323211745,1.2044497552115757e-07,0.021824473509834262,0.021053912006415623,0.9609952850454336,1.0326263458516107,0.08438139905079216,0.08747626408642138,0.0
model.dec.16x16_block1.conv1,0.014839174078082053,0.014308359602488713,0.9960981593152429,0.960466572321639,1.0330516142720534,0.08509535029308803,0.08826465947288833,0.0,589446,590080,0.9989255694143166,1.0,0.960466572321639,0.08505182233868479,0.4310536398467433,0.9609475708284849,1.4842105263157894,589446,0.9604667269525542,0.08508098799983883,0.9609323406160686,0.002093908661646398,0.0020939086581289405,7.855688749253699e-08,0.014839160159461233,0.014308337651096641,0.9604671264255643,1.033053442066616,0.08508258119948772,0.08825148909151762,0.0
model.dec.16x16_block1.norm0,0.0005773314949209598,0.0005577617630714965,0.9962725902795087,0.9625020656982897,1.0312279937000923,0.08333683004437442,0.08626124940861804,0.0,1019,1024,0.9951171875,1.0,0.9625020656982897,0.08304034054009861,0.4046703296703297,0.958984375,1.3891666666666664,1019,0.9625595401426582,0.08343862984975285,0.9591968754207607,0.005256876439537997,0.005256876439180738,7.92000348150118e-10,0.0005773204278347974,0.0005577864779939974,0.9625725415259798,1.0311725768432563,0.08323377524373043,0.0861493027086659,0.0
