layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.006826262180388635,0.006667848092789225,0.9947051404778045,0.9716214523487524,1.0183372486282045,0.10038511186449621,0.10315395855056818,0.0,131158,131328,0.9987055311890838,1.0,0.9716214523487524,0.10036737159595296,0.30666582075032794,0.9827586206896551,1.7894736842105263,131158,0.9716209211875807,0.10037930491078484,0.9823093389441876,0.0012760961732930338,0.001276096178513258,8.082160765050306e-09,0.006826255552958561,0.006667835899655473,0.9716210016470374,1.018338523265235,0.10038132126458614,0.10315023528801931,0.0
model.dec.16x16_block0.conv0,0.02131993825082736,0.021015024804063965,0.9962444629134956,0.9819963760085482,1.0106992796856915,0.08534672374025644,0.08659707983560302,0.0,1178934,1179904,0.9991778992189195,1.0,0.981996376008548,0.08531234927449526,0.46956521739130436,0.983177570093458,1.5,1178934,0.9819950289378362,0.08533894404692251,0.9831281903565583,0.0017594042700286338,0.0017594042694398049,1.2986067748022882e-07,0.021319939598706972,0.02101498613599541,0.9819951096798826,1.0107018235591003,0.08533962697854938,0.08659007758278749,0.0
model.dec.16x16_block0.conv1,0.015110849621595345,0.01490015904603336,0.9959153111001853,0.982029263964436,1.0099977091107322,0.08903331993911064,0.09029539966402277,0.0,589487,590080,0.9989950515184381,1.0,0.9820292639644362,0.08899048961596168,0.43902439024390244,0.9830572289156626,1.5210393631136645,589487,0.982028499317161,0.08902508652906001,0.9830208101448681,0.0021256167902412066,0.0021256167899310926,8.479058828177548e-08,0.015110868551610087,0.014900154502457387,0.9820285172283947,1.0100000876108401,0.08902454499457768,0.09028665609865959,0.0
model.dec.16x16_block0.norm0,0.0005748952358646942,0.0005651034973239192,0.9956889112655272,0.978730124900918,1.012941548230668,0.0911757172595018,0.09282709051583653,0.0,1023,1024,0.9990234375,1.0,0.978730124900918,0.09112264806157411,0.3557926829268293,0.9853658536585366,1.4143256464011178,1023,0.9787890138319003,0.09120620141982601,0.983994133051176,0.0021798300162227157,0.0021798300162557157,1.5571955619655836e-10,0.0005748936884128081,0.0005651333085491277,0.9787809051658103,1.0128817810749522,0.09121818376697183,0.09286281642722807,0.0
model.dec.16x16_block0.norm1,0.0004777594323467957,0.0004641081247099208,0.995654544291332,0.9672051081024776,1.0249407941122521,0.09046284622072624,0.09436532484996112,0.0,512,512,1.0,1.0,0.9672051081024776,0.09046284622072624,0.575563909774436,0.9742396313364056,1.5,512,0.9673373784881671,0.09035605388303339,0.9757400053498467,0.003109328895467371,0.0031093288951983293,0.0,0.0004777543645730888,0.00046416305010668347,0.9673451979594262,1.0248249170374495,0.09031009270846699,0.0941803735261294,0.0
model.dec.16x16_block0.skip,0.00654155557505971,0.006447442897782608,0.9956694157790602,0.9813448238182191,1.010203102371945,0.09162711543450378,0.09296948706095502,0.0,131304,131328,0.9998172514619883,1.0,0.9813448238182191,0.09162030767270758,0.4004652459542627,0.98141375375536,1.5519291794204448,131304,0.9813450051425572,0.0916302920362369,0.9813938216929217,0.0008589071810688448,0.000858907181049375,2.599828725729404e-09,0.006541554542200066,0.0064474430377199545,0.9813449055135159,1.010202823612033,0.09162814454175862,0.09297050543101956,0.0
model.dec.16x16_block1.affine,0.007037065758203242,0.006913178503742262,0.9946066318553017,0.9770966228368985,1.0124304280761767,0.10189311132879057,0.1037665852788726,0.0,131180,131328,0.9988730506822612,1.0,0.9770966228368985,0.10188221491932856,0.30517398805318885,0.9755721332800922,1.46116881162038,131180,0.977098697838005,0.10188660537721497,0.9752753915274233,0.0012842957469103077,0.0012842951568683657,5.354990074296328e-09,0.007037063657302301,0.006913191136066653,0.9770988909608133,1.0124284737135076,0.1018914965073695,0.10376464583640212,0.0
model.dec.16x16_block1.conv0,0.021693683137475932,0.021378588457087514,0.9954778765816222,0.981018838834668,1.0101500231541074,0.09361391297362774,0.09499795218399099,0.0,1178980,1179904,0.9992168854415274,0.9999999999999998,0.9810188388346683,0.09357899895502905,0.4051721606900601,0.9818496822459015,1.5555555555555556,1178980,0.98101958496854,0.0936108851902311,0.9818232040302413,0.0018791896504586896,0.0018791896495594087,1.4979463660177943e-07,0.021693666820378286,0.021378578224951154,0.9810195797345775,1.0101502334156733,0.09360898641264519,0.09499292349730164,0.0
model.dec.16x16_block1.conv1,0.014890501814889014,0.014652427478050577,0.9952895926478448,0.9793765688506949,1.0114611730966674,0.09539650158619116,0.0969712677496687,0.0,589484,590080,0.998989967462039,1.0,0.979376568850695,0.09534581987589592,0.3864675179892571,0.9800796812749004,1.5675675675675675,589484,0.9793764338483586,0.09537905230969664,0.9800442790423616,0.002285345606988379,0.0022853456062926778,1.0438964809050979e-07,0.014890491284225931,0.014652405163704349,0.9793767131323411,1.0114629722152888,0.09538674039547722,0.0969614559010393,0.0
model.dec.16x16_block1.norm0,0.0006012524259688024,0.0005870723957741409,0.9958417556250656,0.9723556696585688,1.01989511985325,0.08895141788289275,0.09169266823669527,0.0,1024,1024,1.0,1.0,0.9723556696585688,0.08895141788289275,0.4720588235294118,0.9739348418225167,1.4285714285714286,1024,0.9723721991888113,0.08892163119589105,0.9739659332915336,0.002354234142909422,0.0023542341429409097,0.0,0.0006012493041941503,0.0005870748542958793,0.9723708663715346,1.0198919264203705,0.08888580768766205,0.0916246486803313,0.0
