layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.08805063212396597,0.08804049126888978,0.8864278834631372,0.886325792921765,0.886529985763705,0.4628134187956462,0.4629591735240646,0.0,131328,131328,1.0,1.0,0.886325792921765,0.46281341879564614,-0.9976072958065335,1.0,1.000245308475408,131328,0.8863481253623673,0.46301943862570416,0.9999999964014403,0.012587222681689726,3.324276537996797e-05,0.0,0.08805074129000254,0.08804060703362682,0.8863260946253319,0.8865301543915427,0.4628130032251119,0.46295871747934564,0.0
model.dec.16x16_block0.conv0,0.26400022065447,0.2639951290894764,0.8955363550354227,0.8955190835288139,0.89555362687514,0.4449797736727345,0.4449884146599659,0.0,1179892,1179904,0.9999898296810588,1.0,0.8955190835288139,0.44496835514381694,-0.9949083424861129,1.0,1.000122624156959,1179882,0.8955343367837552,0.44499241751589513,0.9999999969027942,0.006487813795830826,5.230267639386974e-05,2.1517174744208783e-07,0.2640016491033203,0.2639967072226935,0.8955208191202071,0.8955543467990595,0.4449775551833418,0.4449859433462958,2.1517853488093258e-07
model.dec.16x16_block0.conv1,0.18669154763883178,0.18669002436778254,0.8986687067995204,0.8986613742981766,0.8986760393606926,0.4386244587628055,0.43863758157341437,0.0,590073,590080,0.9999881372017354,1.0,0.8986613742981766,0.43861094381098986,-0.9833251593918587,1.0,1.000122624156959,590067,0.8986682849333195,0.43862890198992227,0.9999999969960406,0.006167641945858124,5.988810637681651e-05,1.2553990061661342e-07,0.18669348928027213,0.18669208140840962,0.8986644536033507,0.8986780075704934,0.4386195591996229,0.4386324247149178,1.255419867170378e-07
model.dec.16x16_block0.norm0,0.007779085503269135,0.00777906684348997,0.9023425499260799,0.9023403854669405,0.9023447143904111,0.43101859743962184,0.4310695829061114,0.0,1024,1024,1.0,1.0,0.9023403854669405,0.43101859743962184,0.999546457465065,1.0,1.0,1024,0.902337457848154,0.4310302885318107,0.9999999946351433,9.64879357357918e-05,2.4218993406496604e-05,0.0,0.007779360640781354,0.007779351565275045,0.9023489124292717,0.9023510178176081,0.43100360440753416,0.4310541585593092,0.0
model.dec.16x16_block0.norm1,0.005500944236642619,0.005500954771526731,0.90625475155395,0.9062564871266758,0.9062530159845481,0.42273278764944,0.4228616296498851,0.0,512,512,1.0,1.0,0.9062564871266758,0.42273278764944,1.0,1.0,1.0,512,0.9062584033059653,0.4227241549250388,1.000000000340799,4.5972036665937064e-05,1.804173305951474e-05,0.0,0.005500845140476003,0.0055008465138804115,0.9062567354378247,0.9062562829049875,0.4227283156079016,0.42285794624912343,0.0
model.dec.16x16_block0.skip,0.08809755555005634,0.08809692184869951,0.897872028920169,0.8978655703672679,0.8978784875195281,0.440253371646086,0.4402615278072889,0.0,131328,131328,1.0,1.0,0.8978655703672679,0.440253371646086,-0.9990192157078259,1.0,1.0000038309479298,131327,0.8978711728857316,0.4402582843496041,0.9999999970298231,0.0008217265997708201,1.2042573335492491e-05,0.0,0.08809775173616559,0.08809712105930873,0.8978660492575022,0.897878904736953,0.44025247299852793,0.4402606166013766,0.0
model.dec.16x16_block1.affine,0.0880635520407474,0.08805919680041102,0.8919131035989756,0.8918689934553881,0.8919572159241668,0.45218446419111613,0.452223005635708,0.0,131328,131328,1.0,1.0,0.8918689934553881,0.45218446419111613,-0.9955816429500091,1.0,1.0001533130960047,131328,0.8919419722071422,0.45214988467269335,0.9999999966020083,0.009382107941746072,2.9314582983092503e-05,0.0,0.08806367222167663,0.08805931313020367,0.8918692248523838,0.8919575252403801,0.4521839112362352,0.45222246878412714,0.0
model.dec.16x16_block1.conv0,0.263998946696962,0.2639936799209316,0.8998839932317553,0.8998660405561669,0.8999019462655062,0.4361206363773268,0.4361487911833569,0.0,1179888,1179904,0.9999864395747451,1.0,0.8998660405561671,0.4361051043850088,-0.9388000668612255,1.0,1.000122624156959,1179873,0.8998808287304196,0.43613586656657605,0.9999999971329898,0.006360935271470346,5.1385549879179466e-05,2.8685489903723444e-07,0.26400033034510706,0.2639952356550238,0.8998678550478523,0.8999025874328002,0.43611838729328223,0.4361462650487447,2.86850407626517e-07
model.dec.16x16_block1.conv1,0.1866816268424511,0.18667693002256475,0.8984561216130356,0.8984335168894192,0.8984787269053901,0.43905227174592626,0.4390715965736985,0.0,590072,590080,0.999986442516269,1.0,0.8984335168894192,0.43903683644774816,-0.9825883304381242,1.0,1.0001283756693646,590065,0.898439253695064,0.43909783356410026,0.999999997011265,0.007319467221912276,6.251542616725152e-05,1.4350220831816262e-07,0.18668403941494954,0.18667940242164235,0.8984367530334458,0.8984813867412639,0.43904638020137254,0.4390655812291963,1.435069780656635e-07
model.dec.16x16_block1.norm0,0.007779232106036265,0.007779212552198032,0.8789097493783087,0.8789075401552354,0.878911958606935,0.4769869061879681,0.4772863558788757,0.0,1024,1024,1.0,1.0,0.8789075401552354,0.4769869061879681,-1.0,1.0,1.0,1024,0.8789068219948013,0.47699350084634734,0.9999999974030047,4.152769047279407e-05,1.707750298134498e-05,0.0,0.0077793767586721695,0.007779361723269391,0.8789105395893861,0.8789139369855247,0.4769825971151074,0.4772816987663746,0.0
