layer,update_reference_l2,update_probe_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_reference_l2,predicted_probe_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.08806151898302272,0.08805605775574336,0.9999998204901739,0.9999378044545425,1.0000618403720332,0.0005991453007581596,0.0005993023595526207,0.0,131328,131328,1.0,1.0,0.9999378044545425,0.0005991453007581597,0.9997851890537706,1.0,1.0,131328,1.0000000001487894,4.3556878728187526e-08,1.000000000242398,0.0006023647255957627,3.3626583198680815e-05,0.0,0.08806164887517799,0.0880561415023308,0.9999372810789927,1.0000623649073817,0.0005982309902086193,0.0005984099175379068,0.0
model.dec.16x16_block0.conv0,0.263992530923714,0.26398094172295566,0.9999998835329642,0.9999559838083469,1.000043785184852,0.00048261123830049433,0.00048267055425920856,0.0,1179890,1179904,0.9999881346279019,1.0,0.9999559838083467,0.0004826112383004949,0.9997548418730081,1.0,1.0,1179890,0.9999999992292606,4.324223269623641e-08,0.9999999991101846,0.00048461455231737214,5.011305019927083e-05,0.0,0.2639942329255618,0.26398299367668654,0.9999573108065839,1.0000424602942326,0.00048030421095593905,0.0004803740784507059,0.0
model.dec.16x16_block0.conv1,0.1866854568767616,0.18667657320223865,0.9999998782551619,0.9999522919375664,1.0000474668373232,0.0004934232349520679,0.0004934524812611106,0.0,590070,590080,0.9999830531453362,1.0,0.9999522919375662,0.0004934232349520672,0.9997548418730081,1.0,1.0,590070,0.9999999991982577,4.318306510952402e-08,0.9999999990612307,0.0004957245517546681,5.6784656693429124e-05,0.0,0.1866876651992127,0.1866789870903247,0.9999533950733882,1.0000463665028991,0.0004904714601546617,0.0004905033387456571,0.0
model.dec.16x16_block0.norm0,0.007779088795126231,0.007779081286357959,0.9999999999013661,0.9999990346510046,1.0000009651526593,1.4045192322443393e-05,5.08646017090505e-05,0.0,1024,1024,1.0,1.0,0.9999990346510046,1.404519232244206e-05,1.0,1.0,1.0,1024,0.9999999992198219,4.185244389346291e-08,1.0000000004771952,1.4076102205411935e-05,1.4069705410478431e-05,0.0,0.007779365111552084,0.007779359184078106,0.9999992380456489,1.0000007619428182,3.480429475475474e-06,4.871338545594768e-05,0.0
model.dec.16x16_block0.norm1,0.005500925173336038,0.005500914669395588,0.9999999990625766,0.999998089576425,1.0000019085523744,4.3299417309985416e-05,6.460210803177207e-05,0.0,512,512,1.0,1.0,0.999998089576425,4.329941730998735e-05,1.0,1.0,1.0,512,0.9999999971270714,4.388676277582454e-08,0.9999999952734593,4.333729834570063e-05,2.2490062800788414e-05,0.0,0.005500819478261842,0.005500811599794471,0.999998567546022,1.000001432018504,2.091707929012806e-05,5.228513626972617e-05,0.0
model.dec.16x16_block0.skip,0.08809639525257783,0.08809597923848346,0.9999999912517585,0.999995268991676,1.000004713534141,0.00013227364780980417,0.00013976395848795575,0.0,131326,131328,0.9999847709551657,1.0,0.999995268991676,0.00013227364780980433,0.999984676208281,1.0,1.0,131326,0.9999999991378308,4.318179591646868e-08,0.9999999989281863,0.00013235860292008954,9.651906167932403e-06,0.0,0.08809660189627282,0.08809620442321785,0.9999954795256197,1.0000045031188032,0.0001318172084619486,0.00013923805559090688,0.0
model.dec.16x16_block1.affine,0.08805663193108403,0.08805043038113557,0.9999997325446599,0.9999293057278055,1.0000701643218015,0.0007313243243712308,0.0007316577974738263,0.0,131328,131328,1.0,1.0,0.9999293057278055,0.0007313243243712301,0.9997548418730081,1.0,1.0,131328,0.9999999999018977,4.357008174732325e-08,0.9999999998242921,0.0007347331445100478,3.060250612397338e-05,0.0,0.08805675318899717,0.08805053540070046,0.9999291218911496,1.0000703491326617,0.0007306757132020006,0.0007310289099948894,0.0
model.dec.16x16_block1.conv0,0.2639895251368604,0.2639774714305938,0.9999998654515545,0.9999542056677485,1.000045527320272,0.000518721793952137,0.0005187635065697182,0.0,1179896,1179904,0.9999932197873725,1.0,0.9999542056677485,0.0005187217939521381,0.9997548418730081,1.0,1.0,1179896,0.9999999992075367,4.320514554081383e-08,0.9999999990113589,0.000520739639533206,4.9742958791160926e-05,0.0,0.26399125202800605,0.26397953271173463,0.9999554736542485,1.0000442612542522,0.0005167577576515236,0.0005168057592365489,0.0
model.dec.16x16_block1.conv1,0.18667500347362329,0.18666477809883192,0.9999998363728971,0.9999450600347267,1.0000546157116796,0.0005720300067652876,0.0005720811722860043,0.0,590077,590080,0.9999949159436009,1.0,0.9999450600347267,0.000572030006765287,0.9997547817557626,1.0,1.0,590077,0.9999999991685348,4.3160069442413934e-08,0.9999999990854548,0.00057466258675136,5.975172843348246e-05,0.0,0.1866775698667919,0.1866674626637848,0.99994569543069,1.0000539834805782,0.0005691969743593657,0.0005692466424859909,0.0
model.dec.16x16_block1.norm0,0.007779211553576835,0.007779203875270908,0.9999999998239076,0.9999990127950972,1.0000009868536923,1.8766566997950252e-05,5.2345039904571585e-05,0.0,1024,1024,1.0,1.0,0.9999990127950972,1.8766566997949683e-05,1.0,1.0,1.0,1024,0.9999999992646084,4.1243318951687563e-08,1.000000000073328,1.8791675515558746e-05,1.480339268464451e-05,0.0,0.007779361395459731,0.007779354860371361,0.9999991599131368,1.0000008400230542,8.0320736134364e-06,4.917126091454741e-05,0.0
model.dec.16x16_block1.norm1,0.005501182675205541,0.00550117215884056,0.9999999995322479,0.9999980878769553,1.000001911191195,3.0585952447940123e-05,5.686683299765478e-05,0.0,512,512,1.0,1.0,0.9999980878769553,3.058595244794162e-05,1.0,1.0,1.0,512,0.9999999980529101,4.626519416656135e-08,0.9999999978967723,3.064625256049685e-05,1.9128907552431522e-05,0.0,0.005500809978420614,0.0055008004762585536,0.9999982723497716,1.0000017271756256,2.1853722993811608e-05,5.239843081133003e-05,0.0
model.dec.16x16_block1.skip,0.08809658492142076,0.08809623513780607,0.999999994206381,0.9999960237503981,1.0000039646781285,0.00010764360695550545,0.0001170166104474242,0.0,131325,131328,0.9999771564327485,1.0,0.9999960237503981,0.00010764360695550494,0.9999923375757622,1.0,1.0,131325,0.9999999992167974,4.313662532586936e-08,0.9999999990261907,0.00010771735885333982,9.11091202067902e-06,0.0,0.08809673620019462,0.08809641113149372,0.9999963043524005,1.0000036841785507,0.00010715679858948216,0.00011648216942172712,0.0
model.dec.16x16_block2.affine,0.08806010292369439,0.08805443624342393,0.9999997881958244,0.9999354380658326,1.000064142467023,0.0006508101022176559,0.0006510088256157007,0.0,131328,131328,1.0,1.0,0.9999354380658326,0.0006508101022176578,0.9998158944461492,1.0,1.0,131328,1.0000000000658487,4.352470741387584e-08,1.0000000001929772,0.000654004384686988,2.902900311481469e-05,0.0,0.08806021304819045,0.08805453510368917,0.9999353107800921,1.0000642708670189,0.0006499661821781276,0.000650179282190995,0.0
model.dec.16x16_block2.conv0,0.2639846616400858,0.2639720081290722,0.9999998688022689,0.9999519360577112,1.0000478038444849,0.0005122209399705994,0.0005122495884013197,0.0,1179882,1179904,0.9999813544152745,1.0,0.9999519360577112,0.0005122209399705996,0.9997548418730081,1.0,1.0,1179882,0.9999999992480343,4.326958937195276e-08,0.9999999990834975,0.0005144713117125165,5.0441988031399955e-05,0.0,0.26398648227861266,0.2639741229861074,0.9999530520487947,1.000046690026942,0.0005099920669163903,0.0005100228851522614,0.0
model.dec.16x16_block2.conv1,0.1866727642076553,0.18666210584899598,0.9999998402226483,0.9999427437468897,1.000056939958601,0.0005652593991550976,0.0005653361023435718,0.0,590078,590080,0.9999966106290672,0.9999999999999998,0.99994274374689,0.0005652593991550971,0.9997547817557626,1.0,1.0,590078,0.9999999992382277,4.314800354504519e-08,0.9999999989831417,0.0005681520679111039,6.0916367157916094e-05,0.0,0.18667533817533813,0.18666473110167195,0.999943021105066,1.0000566662545949,0.0005619904133001668,0.0005620699496776875,0.0
model.dec.16x16_block2.norm0,0.007779013379811033,0.007778974764817154,0.999999990411373,0.9999950264150893,1.0000049544322982,0.00013848127499837464,0.00014557831044486797,0.0,1024,1024,1.0,1.0,0.9999950264150893,0.00013848127499837358,1.0,1.0,1.0,1024,1.0000000002603282,4.321525761237323e-08,1.0000000009548766,0.00013857182417258284,1.3607352038886056e-05,0.0,0.007779171568306861,0.007779135027757784,0.9999952935951161,1.0000046880747828,0.00013546952656434414,0.00014264260169711618,0.0
