training_seed,audit_batch_id,canonical_rank,split,selected_for_calibration,a_s_batch,a_s_seed,a_source,a_fit_numerator,a_fit_denominator,control_gradient_sha256,treatment_gradient_sha256,observed_pair_sha256,source_state_hash,source_state_sha256,checkpoint_sha256,dataset_sha256,code_commit,factorial_runner_sha256,audit_library_sha256,batch_size,batch_gpu,support_atol,batch_correctness_pass,source_preserved,branch_order_pass,rerun_hash_pass
3,2026081101,0,calibration,true,0.922529306742762,0.8370121196598016,numerator_denominator,6665263.208796821,7224988.041117443,8e2e5f032d17867c0e976e1f6e5420b6091ed1a320036013592b7723557edae7,5f2a6456aaea3a890e0ef87a6aa1d8bb941fd4c4fa0667e657c892fb7a9d55dd,9b69698412e5e2253f11f6a7871a6254308d7d4c11910e1793c3994b3011ef67,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,fbda746805e6614319b96653563757f9e48670339e8f275f018194ebe19c9575,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,a469a9f1b89d43a4a5a0fea42a351b6f107800fc32712881ea3d0ee8cc3a88c1,0033dbb3b4a64cd587fb5bd4c5881ae3ea99e1c4,e05df71611f8725314bbec6aa4d67963dbd816aa52432c2ccfef1f63d0938e98,dc105a0dcfd36b4c984b3c8cf36abcf462ab2a7d2d9fadb44a8aa90f4a275fc0,128,16,0.0,true,true,true,true
3,2026081102,1,heldout,false,0.8357114979409501,0.8370121196598016,numerator_denominator,3381632.1740879235,4046410.9712738013,fa2e21b56e17d0249b80810fdd3134689d4011bfd21428a6d9b75ab13d4dc331,eab4cd4ac961a24b0d3dbf186b93c182bcc1a7d5f51d45a1bed9ea4f882d0378,76344a319c4c994f2bd3e814d142f12a0e0af5a90b8ed6dceb19ebb41b6bc791,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,fbda746805e6614319b96653563757f9e48670339e8f275f018194ebe19c9575,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,a469a9f1b89d43a4a5a0fea42a351b6f107800fc32712881ea3d0ee8cc3a88c1,0033dbb3b4a64cd587fb5bd4c5881ae3ea99e1c4,e05df71611f8725314bbec6aa4d67963dbd816aa52432c2ccfef1f63d0938e98,dc105a0dcfd36b4c984b3c8cf36abcf462ab2a7d2d9fadb44a8aa90f4a275fc0,128,16,0.0,true,true,true,true
3,2026081103,2,calibration,true,0.6678680943655977,0.8370121196598016,numerator_denominator,5672935.667014984,8494095.93731777,dd439ec40554d688d30ef4a6b8c61f89bd15f15d66528ad38733e68b0b211594,a157e8d2069a0ef7d8b755347bf12513bd4d696da70849bb8a4e954cec52a776,43b87546a03fbc2df091914905c0955eed4f62e00302dcf7c6a78b4925fa9880,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,fbda746805e6614319b96653563757f9e48670339e8f275f018194ebe19c9575,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,a469a9f1b89d43a4a5a0fea42a351b6f107800fc32712881ea3d0ee8cc3a88c1,0033dbb3b4a64cd587fb5bd4c5881ae3ea99e1c4,e05df71611f8725314bbec6aa4d67963dbd816aa52432c2ccfef1f63d0938e98,dc105a0dcfd36b4c984b3c8cf36abcf462ab2a7d2d9fadb44a8aa90f4a275fc0,128,16,0.0,true,true,true,true
3,2026081104,3,heldout,false,0.8388668307122542,0.8370121196598016,numerator_denominator,9760838.643112734,11635742.749329029,17ca2a80a10a1b906aa87f856b415a17eb2824e06f20eeb39f8e6fdbc95c4f21,4cd00c2e0eb7438259dfcc98b2a54558d87bf85e9eb0f7ed9e9af075f94e4801,67cc2c55981f413af8aa9af5413199f757066455b3a373a4a5dee395c7f6f09a,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,fbda746805e6614319b96653563757f9e48670339e8f275f018194ebe19c9575,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,a469a9f1b89d43a4a5a0fea42a351b6f107800fc32712881ea3d0ee8cc3a88c1,0033dbb3b4a64cd587fb5bd4c5881ae3ea99e1c4,e05df71611f8725314bbec6aa4d67963dbd816aa52432c2ccfef1f63d0938e98,dc105a0dcfd36b4c984b3c8cf36abcf462ab2a7d2d9fadb44a8aa90f4a275fc0,128,16,0.0,true,true,true,true
3,2026081105,4,calibration,true,0.9403041121204375,0.8370121196598016,numerator_denominator,3774949.7969509196,4014605.2200475866,4637188b27e2fc349076991d99a69e0054ca2537d9003676dd3e4f5fb65d06af,e150b7a62f2f4ecbd3ac2390f8328f0d594db72e293b40b6c265f2644ff65ce0,db3af5eeac9795ab393a100f997c7e56c2d2746afbc8361839b73f7e0c866ceb,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,fbda746805e6614319b96653563757f9e48670339e8f275f018194ebe19c9575,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,a469a9f1b89d43a4a5a0fea42a351b6f107800fc32712881ea3d0ee8cc3a88c1,0033dbb3b4a64cd587fb5bd4c5881ae3ea99e1c4,e05df71611f8725314bbec6aa4d67963dbd816aa52432c2ccfef1f63d0938e98,dc105a0dcfd36b4c984b3c8cf36abcf462ab2a7d2d9fadb44a8aa90f4a275fc0,128,16,0.0,true,true,true,true
3,2026081106,5,heldout,false,0.7920355472378634,0.8370121196598016,numerator_denominator,5843311.047854947,7377586.862398853,3e7c2e11a7d96ec5c1b99b878d333f399764be11d2a4333007d7206d9c0eae93,21cdddf9d4c0cf0fc08aa7dcc0f564084cd1ca456c112b583ddc04931f606881,0bf848e8ae6d1c797f9f517866012ef80bb3c2a4178bc60951839af86bddc70e,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,fbda746805e6614319b96653563757f9e48670339e8f275f018194ebe19c9575,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,a469a9f1b89d43a4a5a0fea42a351b6f107800fc32712881ea3d0ee8cc3a88c1,0033dbb3b4a64cd587fb5bd4c5881ae3ea99e1c4,e05df71611f8725314bbec6aa4d67963dbd816aa52432c2ccfef1f63d0938e98,dc105a0dcfd36b4c984b3c8cf36abcf462ab2a7d2d9fadb44a8aa90f4a275fc0,128,16,0.0,true,true,true,true
3,2026081107,6,calibration,true,0.7514949325768412,0.8370121196598016,numerator_denominator,6511461.521031955,8664677.882396966,ec28b9404d498746f4da78f4352b15520f596253273e0c9df2eaa2bcbeb1bb50,16169b59df6861fe3a2722deded09b8606fb073a3b445d6052ee6f2c69d7c06b,d7fbf8acf6947bf224e40ea2f3d1d31f26a4587c28bf06f7530fcdafa46eebc6,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,fbda746805e6614319b96653563757f9e48670339e8f275f018194ebe19c9575,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,a469a9f1b89d43a4a5a0fea42a351b6f107800fc32712881ea3d0ee8cc3a88c1,0033dbb3b4a64cd587fb5bd4c5881ae3ea99e1c4,e05df71611f8725314bbec6aa4d67963dbd816aa52432c2ccfef1f63d0938e98,dc105a0dcfd36b4c984b3c8cf36abcf462ab2a7d2d9fadb44a8aa90f4a275fc0,128,16,0.0,true,true,true,true
3,2026081108,7,heldout,false,0.5749458551026081,0.8370121196598016,numerator_denominator,2897096.2479913617,5038902.745849571,57d507e84ea6e8acbab1d82047fffbaa76fbded09c7edd5b139cfcb66dc0200f,17cea9fbc8e18df50606e095344cbdde937296462085e2abaff9a1d31c466d99,8ed38c65e425cfa79bdc360a093e979779b3b0c896bd8dd227b22d010d1ba682,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,fbda746805e6614319b96653563757f9e48670339e8f275f018194ebe19c9575,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,a469a9f1b89d43a4a5a0fea42a351b6f107800fc32712881ea3d0ee8cc3a88c1,0033dbb3b4a64cd587fb5bd4c5881ae3ea99e1c4,e05df71611f8725314bbec6aa4d67963dbd816aa52432c2ccfef1f63d0938e98,dc105a0dcfd36b4c984b3c8cf36abcf462ab2a7d2d9fadb44a8aa90f4a275fc0,128,16,0.0,true,true,true,true
4,2026081101,0,calibration,true,0.856565730583998,0.8073491626309143,numerator_denominator,2957030.1522113946,3452192.9218383753,87a2a48bcbc475f31a18941afcfc3f8a78273b5a82ade4353a215fd6bbfd4ae6,826c4ea1b18a67f7bc96f2893f4c6acfd06820c004684c828db55b908d0b0975,b0051c36458c93c2f51b6b226dc0087b6e37ca5739ae060bc3913b6fc951c6b3,110887fe1476293763c70e17a9d4ed62329809d842e1e2f3df2418240305f1ae,2c7af1ccd2183d452116b74fee0504d07f2a7935b06cc5fe4d3d76a1e1a0307a,ac94e7b07e5b7628e6b14b26155fb3de09e42373497183d39aba4fe9863663c9,a469a9f1b89d43a4a5a0fea42a351b6f107800fc32712881ea3d0ee8cc3a88c1,0033dbb3b4a64cd587fb5bd4c5881ae3ea99e1c4,e05df71611f8725314bbec6aa4d67963dbd816aa52432c2ccfef1f63d0938e98,dc105a0dcfd36b4c984b3c8cf36abcf462ab2a7d2d9fadb44a8aa90f4a275fc0,128,16,0.0,true,true,true,true
4,2026081102,1,heldout,false,0.7334442919665249,0.8073491626309143,numerator_denominator,2213859.419903243,3018442.4967946787,b3c5b3442f583a1822c90b8dd822b8d2ff1e8ba88ddc6b767cc41f4c2243371a,8d4eb5efd776a99d8009f3db807e932fc239cfeaf94d2e55ffa1e359adf3b40e,98caac154122b25661e418cccb7ace7d7fc10079d47832e06f9b08d439128843,110887fe1476293763c70e17a9d4ed62329809d842e1e2f3df2418240305f1ae,2c7af1ccd2183d452116b74fee0504d07f2a7935b06cc5fe4d3d76a1e1a0307a,ac94e7b07e5b7628e6b14b26155fb3de09e42373497183d39aba4fe9863663c9,a469a9f1b89d43a4a5a0fea42a351b6f107800fc32712881ea3d0ee8cc3a88c1,0033dbb3b4a64cd587fb5bd4c5881ae3ea99e1c4,e05df71611f8725314bbec6aa4d67963dbd816aa52432c2ccfef1f63d0938e98,dc105a0dcfd36b4c984b3c8cf36abcf462ab2a7d2d9fadb44a8aa90f4a275fc0,128,16,0.0,true,true,true,true
