seed,path,source,training_status,evaluation_status,eligible_S4,reason
50,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
50,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
50,CA,new,PASS,PASS,True,
50,DA,new,PASS,PASS,True,
51,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
51,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
51,CA,new,PASS,PASS,True,
51,DA,new,PASS,PASS,True,
52,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
52,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
52,CA,new,PASS,PASS,True,
52,DA,new,PASS,PASS,True,
53,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
53,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
53,CA,new,PASS,PASS,True,
53,DA,new,PASS,PASS,True,
54,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
54,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
54,CA,new,PASS,PASS,True,
54,DA,new,PASS,PASS,True,
55,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
55,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
55,CA,new,PASS,PASS,True,
55,DA,new,PASS,PASS,True,
56,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
56,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
56,CA,new,PASS,PASS,True,
56,DA,new,PASS,PASS,True,
57,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
57,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
57,CA,new,PASS,PASS,True,
57,DA,new,PASS,PASS,True,
58,AA,M1_original,NO_ENDPOINT_ORIGINAL_K,NO_ENDPOINT,False,pre-existing original K missing
58,BA,M1_original,NO_ENDPOINT_ORIGINAL_K,NO_ENDPOINT,False,pre-existing original K missing
58,CA,new,SCIENTIFIC_FAILURE,NO_ENDPOINT,False,new nonfinite loss at attempt7592
58,DA,new,PASS,PASS,False,
59,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
59,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
59,CA,new,PASS,PASS,True,
59,DA,new,PASS,PASS,True,
60,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
60,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
60,CA,new,PASS,PASS,True,
60,DA,new,PASS,PASS,True,
61,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
61,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
61,CA,new,PASS,PASS,True,
61,DA,new,PASS,PASS,True,
62,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
62,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
62,CA,new,PASS,PASS,True,
62,DA,new,PASS,PASS,True,
63,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
63,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
63,CA,new,PASS,PASS,True,
63,DA,new,PASS,PASS,True,
64,AA,M1_original,PASS_ORIGINAL_K,PASS,True,
64,BA,M1_original,PASS_ORIGINAL_K,PASS,True,
64,CA,new,PASS,PASS,True,
64,DA,new,PASS,PASS,True,
65,AA,M1_original,NO_ENDPOINT_ORIGINAL_K,NO_ENDPOINT,False,pre-existing original K missing
65,BA,M1_original,PASS_ORIGINAL_K,PASS,False,
65,CA,new,PASS,PASS,False,
65,DA,new,PASS,PASS,False,
