contrast,n,mean,sd,ci95_nominal,p_raw,negative,positive,zero,status
H_J,14,-0.09146691125443754,0.08611348923758938,"[-0.141187359659197, -0.04174646284967808]",0.0015872023275997514,12,2,0,ESTIMATED
CA-DA,14,0.04461846936394249,0.13605695801844414,"[-0.033938479392369984, 0.12317541812025495]",0.2415668286324884,6,8,0,ESTIMATED
BA-CA,14,-0.044555757504779726,0.0998544610794748,"[-0.10221000684531045, 0.013098491835751007]",0.11889673515882372,10,4,0,ESTIMATED
BA-DA,14,6.271185916276576e-05,0.0634973146043248,"[-0.03659954608180333, 0.03672496980012887]",0.9971076310257165,8,6,0,ESTIMATED
available_pairs/E_512/FID/CA-AA,14,-0.04691115374965782,0.13986734998507358,"[-0.1276681573273003, 0.03384584982798468]",0.2315916029842526,8,6,0,ESTIMATED
available_pairs/E_512/FID/DA-AA,14,-0.09152962311360036,0.07603644030707261,"[-0.13543175668919727, -0.04762748953800344]",0.0005928723296820731,13,1,0,ESTIMATED
available_pairs/E_512/FID/BA-AA,14,-0.09146691125443758,0.08611348923758934,"[-0.14118735965919701, -0.041746462849678145]",0.0015872023275997397,12,2,0,ESTIMATED
available_pairs/E_512/FID/CA-DA,15,0.046878344596974764,0.13139958776367386,"[-0.02588832167575096, 0.11964501086970049]",0.18870636960057757,6,9,0,ESTIMATED
available_pairs/E_512/FID/BA-CA,15,-0.05619086096790579,0.1062513048701878,"[-0.1150308723721731, 0.0026491504363615193]",0.05977425553398406,11,4,0,ESTIMATED
available_pairs/E_512/FID/BA-DA,15,-0.009312516370931029,0.0711501161641562,"[-0.04871413738282077, 0.030089104640958715]",0.6201029957306943,9,6,0,ESTIMATED
available_pairs/E_512/KID/CA-AA,14,-0.00033989053086510727,0.0009672904602179382,"[-0.0008983874149826362, 0.0002186063532524216]",0.21131318670661628,9,5,0,ESTIMATED
available_pairs/E_512/KID/DA-AA,14,-0.0006365077570080757,0.0005234279219056873,"[-0.0009387260414503463, -0.00033428947256580516]",0.000545148602898763,12,2,0,ESTIMATED
available_pairs/E_512/KID/BA-AA,14,-0.000660607602358574,0.000585713785759178,"[-0.0009987886739029786, -0.0003224265308141692]",0.0010013738645579565,13,1,0,ESTIMATED
available_pairs/E_512/KID/CA-DA,15,0.0002992265961236424,0.0008330439503238004,"[-0.00016209776687777048, 0.0007605509591250552]",0.18589024077776964,6,9,0,ESTIMATED
available_pairs/E_512/KID/BA-CA,15,-0.0003811444259352154,0.0006841574073208887,"[-0.0007600181696342456, -2.27068223618526e-06]",0.04881693817234895,12,3,0,ESTIMATED
available_pairs/E_512/KID/BA-DA,15,-8.191782981157302e-05,0.00041965811255515703,"[-0.0003143167463124757, 0.0001504810866893297]",0.46217437137373063,9,6,0,ESTIMATED
available_pairs/E_KEEP/FID/CA-AA,14,-0.04999079713660489,0.1448864156712052,"[-0.13364572296425506, 0.03366412869104527]",0.21918953980427808,9,5,0,ESTIMATED
available_pairs/E_KEEP/FID/DA-AA,14,-0.09134841502309385,0.07681046520641956,"[-0.13569745727017424, -0.046999372776013446]",0.0006548094384682316,13,1,0,ESTIMATED
available_pairs/E_KEEP/FID/BA-AA,14,-0.08919588059266803,0.08873237482122617,"[-0.14042842851507592, -0.03796333267026015]",0.002376283244883551,12,2,0,ESTIMATED
available_pairs/E_KEEP/FID/CA-DA,15,0.04557064716389452,0.13103948817782227,"[-0.026996602605061516, 0.11813789693285057]",0.19941826667194462,6,9,0,ESTIMATED
available_pairs/E_KEEP/FID/BA-CA,15,-0.05255387777460395,0.10711501175985984,"[-0.11187219411169384, 0.006764438562485944]",0.07819977042461332,11,4,0,ESTIMATED
available_pairs/E_KEEP/FID/BA-DA,15,-0.006983230610709423,0.06857083421389616,"[-0.044956492888054304, 0.03099003166663546]",0.6992115130042208,9,6,0,ESTIMATED
available_pairs/E_KEEP/KID/CA-AA,14,-0.0004043073193835361,0.0010567101090947393,"[-0.0010144335716489993, 0.00020581893288192722]",0.17586105650186437,9,5,0,ESTIMATED
available_pairs/E_KEEP/KID/DA-AA,14,-0.0006831929287207979,0.0005684169804884726,"[-0.0010113871222320004, -0.00035499873520959533]",0.0006003804606894247,13,1,0,ESTIMATED
available_pairs/E_KEEP/KID/BA-AA,14,-0.0006810631935617753,0.000652643189152659,"[-0.0010578881521167915, -0.0003042382350067592]",0.0018103796214454623,13,1,0,ESTIMATED
available_pairs/E_KEEP/KID/CA-DA,15,0.00029764268547296526,0.0008555453820947487,"[-0.00017614255510197497, 0.0007714279260479056]",0.19925341667047272,6,9,0,ESTIMATED
available_pairs/E_KEEP/KID/BA-CA,15,-0.0003542810988922914,0.000721401662697161,"[-0.0007537800237480208, 4.521782596343801e-05]",0.07794454397782007,12,3,0,ESTIMATED
available_pairs/E_KEEP/KID/BA-DA,15,-5.6638413419326146e-05,0.0004244928629700293,"[-0.0002917147254580571, 0.00017843789861940484]",0.6133920475049481,9,6,0,ESTIMATED
available_pairs/ONLINE/FID/CA-AA,14,-0.04212910557168608,0.1541232962603778,"[-0.1311172474706043, 0.04685903632723213]",0.3250731218350592,8,6,0,ESTIMATED
available_pairs/ONLINE/FID/DA-AA,14,-0.07974258926220812,0.10761823982720725,"[-0.14187951099321144, -0.0176056675312048]",0.01584225245788756,11,3,0,ESTIMATED
available_pairs/ONLINE/FID/BA-AA,14,-0.04178168752543037,0.1172228343158255,"[-0.1094641370122818, 0.02590076196142107]",0.20521916695804315,9,5,0,ESTIMATED
available_pairs/ONLINE/FID/CA-DA,15,0.04706996335208127,0.16152732923759933,"[-0.04238089003793588, 0.13652081674209843]",0.27803218154462506,4,11,0,ESTIMATED
available_pairs/ONLINE/FID/BA-CA,15,-0.011912785590127317,0.13090436867660338,"[-0.08440520867340293, 0.06057963749314829]",0.7297459525978672,9,6,0,ESTIMATED
available_pairs/ONLINE/FID/BA-DA,15,0.035157177761953956,0.13645144936572207,"[-0.040407116216525235, 0.11072147174043315]",0.33526997364913547,7,8,0,ESTIMATED
available_pairs/ONLINE/KID/CA-AA,14,-0.0004020296037197113,0.001243424101030962,"[-0.0011199613053369968, 0.00031590209789757423]",0.2479072176420256,9,5,0,ESTIMATED
available_pairs/ONLINE/KID/DA-AA,14,-0.0006085375456937722,0.0008367759787005952,"[-0.0010916776117121877, -0.00012539747967535675]",0.01747666498217018,11,3,0,ESTIMATED
available_pairs/ONLINE/KID/BA-AA,14,-0.00031550747475453785,0.000994995325749015,"[-0.0008900006719862426, 0.000258985722477167]",0.25667221016420094,9,5,0,ESTIMATED
available_pairs/ONLINE/KID/CA-DA,15,0.00027353158220648764,0.0012200600887023818,"[-0.0004021151745166106, 0.000949178338929586]",0.39986809453178895,4,11,0,ESTIMATED
available_pairs/ONLINE/KID/BA-CA,15,-1.5393147865931193e-05,0.0010259763021427885,"[-0.0005835598860753551, 0.0005527735903434926]",0.9544838707747931,9,6,0,ESTIMATED
available_pairs/ONLINE/KID/BA-DA,15,0.00025813843434055646,0.0011096290303826582,"[-0.00035635364066963053, 0.0008726305093507434]",0.38283113814085146,8,7,0,ESTIMATED
