seed,slot,path,phase,status,start_attempt,actual_attempt,successful_updates_total,processed_nimg,process_gpuh,started_utc,ended_utc,receipt,source_receipt_sha256,phase_attempts,phase_successful_updates,phase_skips,worker_checkpoint_cursor
50,S01,CA,prefix,PASS,0,4000,3989,512000,1.7916935981766113,2026-09-08T04:30:26.591819+00:00,2026-09-08T06:17:56.688746+00:00,final_delivery/training_stage_receipts/S01-CA-prefix.json,b486e64b7ab1bd10299a9c3ad60e935d3cca9a06c07749e8e519ca8cea861924,4000,3989,11,4000
50,S01,CA,suffix,PASS,4000,8000,7987,1024000,1.9903078900241395,2026-09-08T06:17:58.206112+00:00,2026-09-08T08:17:23.314495+00:00,final_delivery/training_stage_receipts/S01-CA-suffix.json,413faf2e64893ed57a2c553123cb00a1ac92591c84032a39ecb98d1648177fe1,4000,3998,2,8000
50,S01,DA,prefix,PASS,0,4000,3990,512000,1.7972492895836736,2026-09-08T08:17:25.375894+00:00,2026-09-08T10:05:15.473316+00:00,final_delivery/training_stage_receipts/S01-DA-prefix.json,f89273c945c0d0191c5bbc809a8b1b10eaddcbb30353f6a316b3c5ccd51b47f5,4000,3990,10,4000
50,S01,DA,suffix,PASS,4000,8000,7988,1024000,2.059753498161315,2026-09-08T10:05:16.363384+00:00,2026-09-08T12:08:51.475953+00:00,final_delivery/training_stage_receipts/S01-DA-suffix.json,d42109052ee9867fbe707ea0cb81c1aa26f9d30acd792fc87ed34bb3168dd9c0,4000,3998,2,8000
51,S02,CA,prefix,PASS,0,4000,3989,512000,1.7916952439457074,2026-09-08T08:20:49.656836+00:00,2026-09-08T10:08:19.759686+00:00,final_delivery/training_stage_receipts/S02-CA-prefix.json,08abeca485e88289d54859d14bc6cc6afb2831e6b5f1fda70d76e8d3643a9345,4000,3989,11,4000
51,S02,CA,suffix,PASS,4000,8000,7987,1024000,2.0083641491770847,2026-09-08T10:08:20.839369+00:00,2026-09-08T12:08:50.950288+00:00,final_delivery/training_stage_receipts/S02-CA-suffix.json,704130d605bd58d36fd17372f6c0802d65eec104046d0abae350184166d1730a,4000,3998,2,8000
51,S02,DA,prefix,PASS,0,4000,3989,512000,1.834749803809035,2026-09-08T04:30:26.536025+00:00,2026-09-08T06:20:31.635294+00:00,final_delivery/training_stage_receipts/S02-DA-prefix.json,eaf91996369c929413c7aad6a800c68da71274f2fcdefdd9f388f36233cdf724,4000,3989,11,4000
51,S02,DA,suffix,PASS,4000,8000,7988,1024000,2.0028079639639085,2026-09-08T06:20:33.323910+00:00,2026-09-08T08:20:43.432526+00:00,final_delivery/training_stage_receipts/S02-DA-suffix.json,52a3b1d4354624f89d7fccb5696086a7db9f101bf04192d25270e9bbb597df13,4000,3999,1,8000
52,S03,CA,prefix,PASS,0,4000,3988,512000,1.8028052368441907,2026-09-08T04:30:26.552923+00:00,2026-09-08T06:18:36.651751+00:00,final_delivery/training_stage_receipts/S03-CA-prefix.json,6d75dce803ca2f18b87d9fa04cca835030f57ae4ce0ff23bddab432c2f657cd0,4000,3988,12,4000
52,S03,CA,suffix,PASS,4000,8000,7987,1024000,2.008363709801084,2026-09-08T06:18:38.194362+00:00,2026-09-08T08:19:08.303695+00:00,final_delivery/training_stage_receipts/S03-CA-suffix.json,222a53404298b3551988e8070fbcd8534f5b11811c296d4f770cd0a408140e94,4000,3999,1,8000
