seed,path,source,status,attempts,successful_updates,skips,processed_nimg,process_gpuh
50,CA,new,PASS,8000,7987,13,1024000,3.782001488200751
50,DA,new,PASS,8000,7988,12,1024000,3.857002787744989
51,CA,new,PASS,8000,7987,13,1024000,3.800059393122792
51,DA,new,PASS,8000,7988,12,1024000,3.8375577677729433
52,CA,new,PASS,8000,7987,13,1024000,3.8111689466452745
52,DA,new,PASS,8000,7987,13,1024000,3.841724942041716
53,CA,new,PASS,8000,7987,13,1024000,3.9139476135437787
53,DA,new,PASS,8000,7988,12,1024000,3.8181119554717506
54,CA,new,PASS,8000,7987,13,1024000,3.837557769966726
54,DA,new,PASS,8000,7988,12,1024000,3.883393626136498
55,CA,new,PASS,8000,7987,13,1024000,4.162577023320935
55,DA,new,PASS,8000,7987,13,1024000,3.857003865988097
56,CA,new,PASS,8000,7987,13,1024000,3.9431186100426645
56,DA,new,PASS,8000,7988,12,1024000,4.0653480596798985
57,CA,new,PASS,8000,7988,12,1024000,4.109794932521051
57,DA,new,PASS,8000,7988,12,1024000,3.91395071444619
58,CA,new,SCIENTIFIC_FAILURE,7592,7576,16,971776,3.6639440819207163
58,DA,new,PASS,8000,7988,12,1024000,4.070902949720621
59,CA,new,PASS,8000,7988,12,1024000,3.8250603121079294
59,DA,new,PASS,8000,7987,13,1024000,3.845896068707419
60,CA,new,PASS,8000,7987,13,1024000,3.9764540145892857
60,DA,new,PASS,8000,7987,13,1024000,4.005624462999403
61,CA,new,PASS,8000,7987,13,1024000,3.815338242892176
61,DA,new,PASS,8000,7988,12,1024000,3.902837427228482
62,CA,new,PASS,8000,7988,12,1024000,3.85839287117848
62,DA,new,PASS,8000,7987,13,1024000,3.945893182693463
63,CA,new,PASS,8000,7987,13,1024000,3.8792267121058996
63,DA,new,PASS,8000,7987,13,1024000,3.8708921317564737
64,CA,new,PASS,8000,7987,13,1024000,3.973674173251105
64,DA,new,PASS,8000,7988,12,1024000,3.861169503030574
65,CA,new,PASS,8000,7987,13,1024000,5.282082801971895
65,DA,new,PASS,8000,7987,13,1024000,5.3515103297551265
