job_index,seed,branch,origin_arm,continuation_arm,budget_kimg,nfe,mid_t,checkpoint_path,checkpoint_sha256,dataset_path,dataset_sha256,sample_count,sample_seed_start,sample_seed_end,metric_seed,metrics_in_order,precision,evaluator_commit,protocol_sha256,status
0,3,A_to_B,A,B,640,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/A_to_B/kimg0640/network-snapshot.pkl,c305d0235873549b53125d96b758ef9994f0a10df151b610e1503a5a3d9d8d19,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
1,3,A_to_B,A,B,640,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/A_to_B/kimg0640/network-snapshot.pkl,c305d0235873549b53125d96b758ef9994f0a10df151b610e1503a5a3d9d8d19,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
2,3,A_to_B,A,B,768,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/A_to_B/kimg0768/network-snapshot.pkl,a2a4b56f760768364f331d51486a6636b67498629bdd8afb7c29af96afd20803,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
3,3,A_to_B,A,B,768,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/A_to_B/kimg0768/network-snapshot.pkl,a2a4b56f760768364f331d51486a6636b67498629bdd8afb7c29af96afd20803,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
4,3,A_to_B,A,B,896,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/A_to_B/kimg0896/network-snapshot.pkl,c0f4ccb498061e1cd549027ffdffeaa1faf3b865d7bb6eedefc0aa750ad87f64,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
5,3,A_to_B,A,B,896,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/A_to_B/kimg0896/network-snapshot.pkl,c0f4ccb498061e1cd549027ffdffeaa1faf3b865d7bb6eedefc0aa750ad87f64,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
6,3,A_to_B,A,B,1024,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/A_to_B/kimg1024/network-snapshot.pkl,2f5fe58d706edf6426896eafd006fd46c191a4cdb260ceb6a371559527ac9caf,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
7,3,A_to_B,A,B,1024,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/A_to_B/kimg1024/network-snapshot.pkl,2f5fe58d706edf6426896eafd006fd46c191a4cdb260ceb6a371559527ac9caf,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
8,3,B_to_A,B,A,640,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/B_to_A/kimg0640/network-snapshot.pkl,824f98b9b941343dbc45bbe0bddd9a754ed2ff988e5e7bb37fecae5a20d5a260,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
9,3,B_to_A,B,A,640,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/B_to_A/kimg0640/network-snapshot.pkl,824f98b9b941343dbc45bbe0bddd9a754ed2ff988e5e7bb37fecae5a20d5a260,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
