arm,nfe,budget_kimg,n,fid_mean,fid_sd,fid_min,fid_max,kid_mean,kid_sd,kid_min,kid_max
A,1,384,5,252.06779750862125,31.52617346803844,207.60117516437447,280.60711602872163,0.2610712432472473,0.039152228366567045,0.21037753300800804,0.31043301633133125
A,1,512,5,51.66677186334018,25.18463981300781,24.422435836870534,79.61114891298317,0.042254164491991986,0.02230887964060221,0.017796796886886866,0.06372225030780779
A,1,640,5,14.1660738840268,4.291178378201461,11.700098950891887,21.769403895629445,0.009062456696196196,0.002682183149843246,0.007243519374374377,0.013754475860860873
A,1,768,5,11.953758876290145,3.947802341347802,9.638867551892183,18.988793795498616,0.007603151623623626,0.002739706770552736,0.005945265963463453,0.012473112987987992
A,1,896,5,10.238847981383696,2.9469038943316836,8.47806932834661,15.483646825278019,0.006351307817817818,0.0019441904605447557,0.0051682255655655625,0.00979733402652656
A,1,1024,5,9.176055463972155,2.251216922585811,7.6660773776351085,13.128048244505031,0.005563318091591581,0.001521774674574811,0.004465147457457465,0.00819098223973971
A,2,384,5,101.3074698006144,117.62215657388592,27.200959407118482,309.28236180625436,0.10009462170470472,0.14092453091924947,0.018360589326826833,0.35056428315065075
A,2,512,5,55.71936150868158,104.55989000336466,5.321580080931895,242.61950018195148,0.0571430402002002,0.11566433692280387,0.0026667770145145098,0.26398464542542543
A,2,640,5,24.228095843837078,45.99132350216366,3.56126026394249,106.49976717211003,0.0218260690875876,0.0448009006655804,0.0013215259159159087,0.101966841981982
A,2,768,5,7.384949976903581,9.589580092219919,3.032031693145596,24.539005451679866,0.004624112928928925,0.0073647508040675545,0.0012089007457457591,0.01779757624874874
A,2,896,5,3.615705255860822,1.8329490019139674,2.710830858956788,6.892002881988443,0.0015342816296296268,0.0011621933093596889,0.0009675150700700533,0.0036116398948949015
A,2,1024,5,2.876808239413538,0.3939003148538023,2.6843852836463675,3.5809443190617207,0.0010063388813813827,0.00026268015573872346,0.0008303739164164108,0.0014717219969969711
B,1,384,5,170.8362686141151,58.68711751055356,123.67010478999516,265.1177377110324,0.1647741291011011,0.06662068376912744,0.11066962284534533,0.27142819806306306
B,1,512,5,33.30132054833788,12.262628297532045,24.72849191628388,54.921492185683945,0.025432710089589583,0.01151705384739114,0.018794369809809808,0.045876489049049035
B,1,640,5,14.425600762101295,3.2616362798915723,10.177122097679966,18.239053044366134,0.009520624930930933,0.0025956499685115338,0.0062783229129128905,0.013134452317317318
B,1,768,5,11.142010560976356,2.081720928031061,8.83374118360619,14.126497825278001,0.007019129823823829,0.001360691618205473,0.00543651664664666,0.008730155345345356
B,1,896,5,9.676620825612027,1.6899332078963962,7.977308692218575,12.292178885773112,0.006047778658158158,0.0010151971567249412,0.004919649044044023,0.007473685935935928
B,1,1024,5,8.902203828883534,1.2716093395734789,7.548731153010589,10.915400791045837,0.005505508349849838,0.0007284374730968548,0.004591091736736721,0.006604082677677666
B,2,384,5,89.09851878099158,109.9790849861028,22.447301627276076,278.96708571152647,0.08639421054754756,0.12456596636163092,0.014038424542042061,0.30367250222472475
B,2,512,5,42.26534140729447,72.73556994469736,6.436424846422232,172.20847921596453,0.041861021109109116,0.07840147811936657,0.004664530700700712,0.1820148067517518
B,2,640,5,12.890732731720774,19.857246671367477,3.436557392718352,48.39465668421272,0.009146277556056041,0.016687258930215044,0.0014873982557557293,0.03899213517517517
B,2,768,5,4.55252084009339,2.841026199088842,3.0265010789725286,9.613149792320334,0.002163332380880868,0.00190850563255427,0.0010581799999999748,0.005535348513513514
B,2,896,5,3.1150909726285243,0.40136313380086475,2.798745140554284,3.778793753315769,0.0011597575025025025,0.00022930318066115605,0.000966937637637634,0.0015127478753753803
B,2,1024,5,2.920119456654052,0.23310308884907338,2.7300055327054267,3.284341831457189,0.0011140594089089045,0.00030702490161523324,0.0009400149049048879,0.0016580397672672506
C,1,384,5,222.62467003711612,56.367678259971406,140.36505818670423,274.11298578022627,0.22551712405705707,0.0642535188605011,0.12990810836336333,0.2783407915415416
C,1,512,5,49.25031150671687,17.666155493038712,28.471158220834333,73.59638455553569,0.04024322740740739,0.016276454109336095,0.02223559270020021,0.0652576218268268
C,1,640,5,13.27427033379105,3.1494871358555776,11.196656030476305,18.847631301106947,0.00834425894744744,0.001681281634541075,0.007108181206206204,0.01127477531281278
C,1,768,5,11.085322197288225,2.5589330237764636,9.127204523582058,15.46264973408794,0.006927329516516512,0.0015736515503952525,0.005507976038538545,0.00951654945195195
C,1,896,5,9.911018290832187,2.4243926393678357,8.28785203714815,14.133853657575902,0.006182912829329337,0.0015717666731650327,0.0050524327752752745,0.00889293341841843
C,1,1024,5,9.188192121607054,2.1265557323274846,7.888370707791537,12.952898348362517,0.005696105523523528,0.0014689792271233972,0.004762479657157178,0.008287590382882863
C,2,384,5,93.01396713630459,115.07767128689628,20.838966653332513,295.2153647438438,0.09120898216066066,0.13458468657360395,0.015263258996496528,0.3296402775325325
C,2,512,5,49.55327586280735,89.51408785809525,6.639422833161503,209.569858889606,0.0503056325720721,0.09858890787727707,0.004253802710210225,0.22662021060060067
C,2,640,5,17.836949468379895,31.631434509999504,3.500783077845718,74.42052648977446,0.014570984108608614,0.028903513325677064,0.0014564822772772732,0.06627434032032034
C,2,768,5,5.592094790175027,5.449965044801561,2.9762208973138446,15.337338559481022,0.0029945727572572326,0.003919541223153976,0.0010992673473473043,0.009997205240240238
C,2,896,5,3.2711381164344417,0.8855243556451472,2.7401602879255504,4.834723445509005,0.0012291985885885734,0.0004891191016857802,0.0009149509984984888,0.0020953000350350157
C,2,1024,5,2.94722956784159,0.32481139230937184,2.7265116289968137,3.5058503048188587,0.001099126433433441,0.00033554648236838876,0.00087077798798799,0.0016921038588588498
D,1,384,5,161.19094030967457,47.71266169410109,124.5784127496727,225.51284010045342,0.15701730540790795,0.056702913151214916,0.11106175316316313,0.22862887481231234
D,1,512,5,39.05522258918149,12.992275426273775,24.289509179394265,53.570072341590425,0.03034394845245244,0.012225339487686383,0.018422864542042016,0.045283764769769766
D,1,640,5,14.977982724394062,3.899369228889336,9.262512563817692,19.043854904897664,0.010046347715215212,0.0033517603322662072,0.005544598701201207,0.01433831643143142
D,1,768,5,10.811824013189561,2.570435195655148,8.022343648189235,15.019324573039041,0.0067256928553553665,0.0016454028582829645,0.004727618178178191,0.009258160633133122
D,1,896,5,9.434700521279364,2.2829393544945993,7.4927420765310035,13.346356789922602,0.005865141304304298,0.0014596282707826315,0.004500005237737746,0.008276208803803793
D,1,1024,5,8.66036393654175,1.703782527481397,7.3619906664522805,11.635468716455227,0.0053616357682682554,0.0010483666646102997,0.0045017915515515325,0.0071638788888888985
D,2,384,5,77.9315821692497,117.46705925305623,19.91560506770906,287.4622250792006,0.07757125867567564,0.13393554451190934,0.013339302064564544,0.3168241126876876
D,2,512,5,45.42794128848176,84.50440362423484,5.988632719620535,196.5686868898682,0.045849342203203226,0.09205678890651856,0.003431491136136151,0.21051863857857867
D,2,640,5,17.11294255030769,28.891246267950656,3.354442853184654,68.78089330745891,0.01357187989889891,0.025926466216981515,0.0014162873073073161,0.059946438328328314
