seed,arm,budget_kimg,training_state,training_state_bytes,training_state_sha256,snapshot,snapshot_bytes,snapshot_sha256,metadata,metadata_sha256,status
6,A,384,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/384k/training-state.pt,895724792,f883b71245f8aa62831885e5f127a01da2113bc96733e6f1a7422a046da97aed,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/384k/network-snapshot.pkl,223185675,f0bd74764224722f75d168a5ffd3f1b317f0fd335d9a3832732eab7ee734871b,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/384k/metadata.json,e9a4ca9995064cfc6c5069712f3ed7a21e24692a0855e033ffe4052fb5c92565,PASS
6,A,512,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/512k/training-state.pt,895724792,2dd0bf345dc5ca4fbcf7183e6e6d2fa90a8699e8372729692bf6f1c0f70d40ac,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/512k/network-snapshot.pkl,223185675,a13ded65c78502d447500b14edf8a2c9de4665e53a6c51e86b1ffb01ca590713,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/512k/metadata.json,74957641b96b2eb88c8c7a6465c9e43d828be9e18508b08ac488f89b010df70e,PASS
6,A,640,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/640k/training-state.pt,895724792,48ec5c41d4a67a1f3277e0c01d1198a557a914e5872f19ec3c289182669d4d37,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/640k/network-snapshot.pkl,223185675,0fed2756c707a14b9d984a4dcc313ae0f1022cb5c572a774ff9c1ad61433e439,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/640k/metadata.json,72b594464908654d7aa76f406902e4e591dc15e902c7a74ace4b40ca12dd3711,PASS
6,A,768,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/768k/training-state.pt,895724792,2291719a3d2244a1378642d7b2d1a5d65e994c1f3bd7eab1cd7af0db80ad6b46,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/768k/network-snapshot.pkl,223185675,d7133731e6547b82d1f4300864279069ede5df4991b1139c15125a01d88aa6a7,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/768k/metadata.json,8c8e740b1df251ad4cbc2c461ef54309575e8940243e8efcb4c120f1e5a53f78,PASS
6,A,896,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/896k/training-state.pt,895724792,09e3d74a05cb2bcdbe22fd9e9f05c9b72efa3dc87a49d26075d4cc69333098b3,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/896k/network-snapshot.pkl,223185675,a554897cf899c7c12222da4b8b2f8921e137c3cb78586065ccb019921dbc41e3,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/896k/metadata.json,72ea6f292b3d0ba725952abdc27fb0019a063e077e3434c5e6c3fc071989cd27,PASS
6,A,1024,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/1024k/training-state.pt,895724792,c935c036a78d6c557d18182ae98c05eb50e67d85c9cb5cdffb3054e7dad5381b,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/1024k/network-snapshot.pkl,223185675,c9beea7a3f99bbb959a9f21158fda18bb7c2a0d5e17347fa9d8e2947885578cb,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armA/checkpoints/1024k/metadata.json,9bcc996fb8f2a9ed11b39979ae6b07955b6078829c84d62f70798bea4dcae514,PASS
6,B,384,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/384k/training-state.pt,895724792,fbc69bbbed650b09ab2a66060c8ad9a1db31b0ae95d39235fa4907bf723150ea,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/384k/network-snapshot.pkl,223185675,8cd3137ce30bab527998c6e533a80d699d66b5fd090cbd1ba6fbe8de21bd305a,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/384k/metadata.json,07a0e39621287732fbcc4eedf6df1d70f0e8f18f25e2d08bd3793c44077847c2,PASS
6,B,512,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/512k/training-state.pt,895724792,1b134048da8f8a3740ef794a50403ce2f15956774474ff068d43c60fb1cb5d21,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/512k/network-snapshot.pkl,223185675,f945a5bbcad42f6a49fbe88e4c15f016c3df87e18dfd2188dfe38ee8a428d34c,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/512k/metadata.json,fb37e79c20f8fc7db5f0944372d7190a5cb57d60abbdd2ec672fd91156309ca6,PASS
6,B,640,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/640k/training-state.pt,895724792,080b8571aa51456e7e0f25a781e43e60bfa0f13e2298529e2df9c18214e6317c,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/640k/network-snapshot.pkl,223185675,f50b4fce587a6b40a8a1d2641e8d76491b294a4a37e99decc5a26c59176042b8,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/640k/metadata.json,18a609fb08807ef97b0012dce1b554518b895829bfaf56fa7ce836168a0cf010,PASS
6,B,768,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/768k/training-state.pt,895724792,fc10a8963961371edfe4afb6799bef13d367f574fb1893f9661d6861cb634de2,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/768k/network-snapshot.pkl,223185675,35bd8684d07201317f88b8b8aa60641663230e607abe7a0ede13ed05ef93550d,/data/raw/ECT/ect_runs/q256-target-weight-factorial-20260819/secondary-precision-extension/seed6-7-ab-128k-learning-curve-v1/seed6/armB/checkpoints/768k/metadata.json,6e70afcc0cc6e02594927b9e7fe1e313ec620b6510d79f7038fc8a8d2fd8b902,PASS
