seed,arm,checkpoint_path,checkpoint_sha256,cur_nimg,attempted_iteration,factorial_identity,source_valid,exclusion_reason,included_in_paired_cohort,ema_present,ema_finite,chain_status,receipt_sha256,trajectory_config_sha256
50,A,/data/raw/ECT/q256_terminal_history_n30_full_archive_v1/training/seed50/prefix_A/training-state-kimg000512.pt,2746d7c53ec2e0e663bda09595c51b98d8d914213b0d12b2bb7cf4a5ce6b638d,512000,4000,"{""arm"": ""A"", ""denominator_gap_scale"": 1.0, ""enabled"": true, ""protocol"": ""q256_target_weight_v1"", ""target_gap_scale"": 1.0}",True,,True,True,True,PASS,1f5d100c7a2da15378994945748b9db59acaa8689ee31a9b451816b4bf387fc6,453a2f628468b2788b9e82fb22f9dd46cd2c2607b4921234e95b6ad46d509c00
50,B,/data/raw/ECT/q256_terminal_history_n30_full_archive_v1/training/seed50/prefix_B/training-state-kimg000512.pt,b934dc52a754e0c174ed37b6279c8e29635b40c92aa40fa53b5e1d21f1a05bbe,512000,4000,"{""arm"": ""B"", ""denominator_gap_scale"": 1.1, ""enabled"": true, ""protocol"": ""q256_target_weight_v1"", ""target_gap_scale"": 1.1}",True,,True,True,True,PASS,3da4c8164c7e78c5326f84f3f05d9b911bf3fa7f90a8f3878403ddd71457504e,e946ef99eac334a0e4ee2f7414484ad498737acc1b547be7ef39f450b76f614a
51,A,/data/raw/ECT/q256_terminal_history_n30_full_archive_v1/training/seed51/prefix_A/training-state-kimg000512.pt,231c6c2c7ffec05110abfd217f72b3076bbeeaa15b2b4c1885d2d8f860a9892b,512000,4000,"{""arm"": ""A"", ""denominator_gap_scale"": 1.0, ""enabled"": true, ""protocol"": ""q256_target_weight_v1"", ""target_gap_scale"": 1.0}",True,,True,True,True,PASS,d1c4f489c810074877120dcce752b218e5bc633ab684c237e49101f56cfb13db,54be2a84ba11bdbe89c27ea6f452c19638b54b08853f30f202811dbd1d74543c
51,B,/data/raw/ECT/q256_terminal_history_n30_full_archive_v1/training/seed51/prefix_B/training-state-kimg000512.pt,c0ca1422238639a3782a6ab73de9d5a171565f19d42b81cea6041b3254e9b3b6,512000,4000,"{""arm"": ""B"", ""denominator_gap_scale"": 1.1, ""enabled"": true, ""protocol"": ""q256_target_weight_v1"", ""target_gap_scale"": 1.1}",True,,True,True,True,PASS,27e45b52aa75c167b5a9c39389d0e8edd4f138cf4066e26d6e9a14d8155f676a,e9d2c17dc52358e27d4b1f943139fe4d58c3cec52719dd7e7a48b28fd5e7283b
52,A,/data/raw/ECT/q256_terminal_history_n30_full_archive_v1/training/seed52/prefix_A/training-state-kimg000512.pt,fb88ffeb12597c29ccaf08765ab10d185f5ee542b91414e82762746850401a81,512000,4000,"{""arm"": ""A"", ""denominator_gap_scale"": 1.0, ""enabled"": true, ""protocol"": ""q256_target_weight_v1"", ""target_gap_scale"": 1.0}",True,,True,True,True,PASS,09f4a18c5c7a84ed7d97ff139940057658ee9eb50be1fd10800b4c625508b57f,93426fdcdf609158f31474a3f4448b21d3f3823440695be7ef01ab4e74817159
52,B,/data/raw/ECT/q256_terminal_history_n30_full_archive_v1/training/seed52/prefix_B/training-state-kimg000512.pt,d515194010cd387ad99a0739c3ef102df81f396f35a679ca9e0b17fc3c46eab4,512000,4000,"{""arm"": ""B"", ""denominator_gap_scale"": 1.1, ""enabled"": true, ""protocol"": ""q256_target_weight_v1"", ""target_gap_scale"": 1.1}",True,,True,True,True,PASS,5cf3a60677ce7cca64ecd74f762ab7b5aced28c29506bda32074bf160e376413,4719fa03bca7aeddea8608e7df525e75ea8927999dc62820bfc5019113a868c6
53,A,/data/raw/ECT/q256_terminal_history_n30_full_archive_v1/training/seed53/prefix_A/training-state-kimg000512.pt,b9d70c0734cf38ff3fba4a8bf1b64f8d3b3264ef6b6111e29f7679a1be1c80f0,512000,4000,"{""arm"": ""A"", ""denominator_gap_scale"": 1.0, ""enabled"": true, ""protocol"": ""q256_target_weight_v1"", ""target_gap_scale"": 1.0}",True,,True,True,True,PASS,5ebf1eef3f6baf9bf4af1a118c5b3ef91ee5a73a60ab399f0cad519dcafb610f,d50138fa2e4fbd45910456973c47fdb331d2648e54ca1d3b2704d360c1cafc00
53,B,/data/raw/ECT/q256_terminal_history_n30_full_archive_v1/training/seed53/prefix_B/training-state-kimg000512.pt,69478366d8cb233e45abb01f79b9da098f919ed49c7f54554f8d7e2f780a2fb9,512000,4000,"{""arm"": ""B"", ""denominator_gap_scale"": 1.1, ""enabled"": true, ""protocol"": ""q256_target_weight_v1"", ""target_gap_scale"": 1.1}",True,,True,True,True,PASS,c93d9d7474451f9eb1f3b5081edb684baa591bedac68c17b9ed8a150f7ba5964,ba23958c5d2934a118bb527e0c3ff84926b53883e24117a2c5bd7ae0beb0a050
54,A,/data/raw/ECT/q256_terminal_history_n30_full_archive_v1/training/seed54/prefix_A/training-state-kimg000512.pt,6cf5f488211e0254e6dd33995369080ebcfd3b8180f2cccacb436b79ad97356c,512000,4000,"{""arm"": ""A"", ""denominator_gap_scale"": 1.0, ""enabled"": true, ""protocol"": ""q256_target_weight_v1"", ""target_gap_scale"": 1.0}",True,,True,True,True,PASS,b9925110bbc2382f51588d39d5e181476fe50d1b4560e4e94d98c4beb304b419,d9cdcfb7881e34069c6e52eee3028b8b43f1db7ddf8e35143c3ff9229a4f8db8
54,B,/data/raw/ECT/q256_terminal_history_n30_full_archive_v1/training/seed54/prefix_B/training-state-kimg000512.pt,3aad8a7c6fecf93fdb52670211b0c13039a538ddc3f2efb84f9105cf75e73b6a,512000,4000,"{""arm"": ""B"", ""denominator_gap_scale"": 1.1, ""enabled"": true, ""protocol"": ""q256_target_weight_v1"", ""target_gap_scale"": 1.1}",True,,True,True,True,PASS,79b1c3a4cc3c89b707d26e2f332a9927763a5fb3bf9168bb4ec8d7a0e6c450f7,0aab1a1536912256f9593e186907c8a024a09df8964fc6f596c3070c27a5b337
