layer,update_1_l2,update_1p3_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_1_l2,predicted_1p3_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.006746172516984274,0.006466869319898869,0.9956064480788626,0.9543866210899764,1.0386065537299258,0.08975981994976662,0.09402388612129745,0.0,131258,131328,0.9994669834307992,1.0,0.9543866210899762,0.0897349358535181,0.3078808916373726,0.9519230769230769,1.4290635335514787,131258,0.9543871889405139,0.08975851209762584,0.9519597492412135,0.0014029779754581742,0.0014029779767802905,9.95959848313121e-09,0.006746163083853016,0.006466864258705844,0.9543874868994324,1.0386062170848167,0.08975691681999669,0.09402071648444604,0.0
model.dec.16x16_block0.conv0,0.0220080829859989,0.02123382905479972,0.9956307845262296,0.9606040605070242,1.0319346959381992,0.09009235316553407,0.0934020232845466,0.0,1179016,1179904,0.999247396398351,1.0,0.9606040605070242,0.09006318940448337,0.4208272484893956,0.9641255605381166,1.5,1179016,0.9606043737034602,0.09009136513837655,0.9641155573568858,0.0017853138863097593,0.0017853138822668993,1.246834746103591e-07,0.02200808636722756,0.021233828052240313,0.9606043689695588,1.03193544183628,0.09008698875630994,0.09339648282108899,0.0
model.dec.16x16_block0.conv1,0.01576883541814371,0.015190190197795298,0.9955135980636398,0.9589827338598974,1.0334360452358273,0.09114650635711974,0.09468654800617285,0.0,589535,590080,0.9990763964208242,1.0,0.9589827338598973,0.0911059159346258,0.4106884057971015,0.9632034632034632,1.4956709609879055,589535,0.9589829013299925,0.09113728233017976,0.9631818506929308,0.0020500223793979587,0.0020500223768044686,9.01258614908705e-08,0.01576884410445898,0.015190190865416954,0.958983017361217,1.0334373984506695,0.09113836245016367,0.0946781688813761,0.0
model.dec.16x16_block0.norm0,0.0006216313788571687,0.0005997387731197255,0.9957809579384428,0.9607115572381785,1.0321305169299337,0.08853042782949082,0.0917917550573441,0.0,1024,1024,1.0,1.0,0.9607115572381785,0.08853042782949082,0.3877951446624543,0.9545454545454546,1.4280866192630897,1024,0.9605984272031874,0.08845761626940128,0.9542352500465581,0.00212215809755425,0.0021221580983499374,0.0,0.000621668849438891,0.0005997058891005271,0.9606004016244769,1.0322487110148364,0.08852649173797505,0.09180117716368272,0.0
model.dec.16x16_block0.norm1,0.00041650511033746053,0.0003989219107691132,0.9951542286726086,0.9531427503744,1.0390174383175725,0.09417535166955127,0.09872936758395982,0.0,508,512,0.9921875,1.0,0.9531427503744,0.09388339202730243,0.22521367521367522,0.9582417582417582,1.592631578947368,508,0.9531069657787656,0.09426781732888403,0.9597410337698187,0.0049626269584270456,0.004962626958309168,4.666704796430189e-10,0.0004165409892291423,0.00039894069678494764,0.9531160220254545,1.0390694462072674,0.09406545121423485,0.09862332615366039,0.0
model.dec.16x16_block0.skip,0.007226738733626763,0.006966673938377982,0.9955963683934324,0.9597683724964879,1.0327618174996887,0.09037014376596765,0.09378972606670333,0.0,131306,131328,0.9998324805068226,1.0,0.9597683724964879,0.0903610159522347,0.40440814941132086,0.9609843179960527,1.5282852386237515,131306,0.9597675767237012,0.09036471646499977,0.9609822717962327,0.0006716557018027017,0.0006716557018076501,4.221218374297519e-09,0.007226741894383734,0.0069666704526525555,0.9597674508577866,1.0327627626349771,0.09037028897983126,0.0937899695294271,0.0
model.dec.16x16_block1.affine,0.007658972936283593,0.007396873640752281,0.9964019762961285,0.9623038983650757,1.0317082784903975,0.08185282455766003,0.08477509673854244,0.0,131272,131328,0.9995735867446394,0.9999999999999998,0.9623038983650759,0.08183922096888666,0.3946722355530699,0.9629401286546954,1.4657495669621512,131272,0.9623049861590424,0.0818444876957122,0.9629235136461529,0.0009046177933344478,0.0009046177929551313,6.399933301936339e-09,0.007658965745891211,0.007396873323430685,0.9623049772801414,1.0317075865627632,0.08185034942741182,0.08477242648520401,0.0
model.dec.16x16_block1.conv0,0.022245915722919715,0.021414560996223405,0.9954058367443559,0.9582064084238612,1.0340494189081209,0.09216748123458782,0.0958365794032976,0.0,1178989,1179904,0.9992245131807334,1.0,0.9582064084238612,0.09213294911608073,0.40625,0.9620424762765477,1.5106382978723405,1178989,0.958206178905498,0.09216234811537098,0.9620092093783011,0.0018157680167832653,0.001815768013962806,1.5431333400028525e-07,0.022245914795803304,0.021414545842126993,0.9582060775398369,1.0340504391436598,0.09216422540685376,0.0958332742347354,0.0
model.dec.16x16_block1.conv1,0.015413955619642957,0.014823589600687352,0.9953509560439662,0.9572282706098335,1.0349919200218196,0.09262553970011643,0.09644818798193695,0.0,589552,590080,0.9991052060737527,1.0,0.9572282706098336,0.09258918369143297,0.39759036144578314,0.9601963809238843,1.515625,589552,0.9572265916581325,0.09262917167837097,0.9601834215224689,0.0022575594867683853,0.002257559481350881,7.838504672981368e-08,0.015413978685115052,0.014823575213107733,0.9572267952231518,1.0349954314071195,0.09261615363209255,0.09643881678963759,0.0
model.dec.16x16_block1.norm0,0.0006342125925583203,0.0006107479182102608,0.9956630465161297,0.958825384474991,1.033915995810432,0.08959074010921142,0.09312080510769526,0.0,1021,1024,0.9970703125,1.0,0.958825384474991,0.08956919587683443,0.42857142857142855,0.956989247311828,1.5,1021,0.9588754299517255,0.08948703855862558,0.9572136067941425,0.002133907801564719,0.0021339078003401015,7.606676598433393e-11,0.0006342268727473522,0.0006107953531535327,0.9588849791851963,1.0338662204981186,0.08952377388206764,0.09304411444589256,0.0
