seed,arm,attempted_iteration,successful_optimizer_steps,step_skipped,optimizer_clock,clock_evidence,proposed_success_step,rho,radam_branch,applied_multiplier,base_lr,grad_scale_before,grad_scale_after,update_norm,batch_sha256,t_sha256,base_r_sha256,actual_lr
301,AA,1,0,1,0,successful_call_counter,1,1.0,non_adaptive,1.0,0.0001,65536,32768,0,a4be08a2b1cc7a1f166f334db0ba0ad7fcb32c599cf735626bd1455c9d6242f4,0c9c714bfc05671228696325e8b96c4c22880fd7050ff6dce9b294a2379bbfd1,dac7a2c9a086d600c55827706e3829263b7b6f9ef417a6850d98f5d5a64569c5,
301,AA,2,0,1,0,successful_call_counter,1,1.0,non_adaptive,1.0,0.0001,32768,16384,0,ff4f4190ebbd3654eda0749a414f61e2f4a1a2596c557caf8a9d18852aedfe21,564b1cb863c7c7120330681a0398782e9cff3c3ad1b1a864640950bdfb38c14c,88681db47bca71cc5f585df90bbd587f14dedef207b4f277345ccf526a6e571f,
301,AA,3,0,1,0,successful_call_counter,1,1.0,non_adaptive,1.0,0.0001,16384,8192,0,7f8aa67ae66459344a561080feb416a60b7963d3f22f1a7c70466efc37f4d31f,91447b63042d9d3b7a307e454c118ee7f1b6ba383fb8675529eba5ff288a329c,4f899ea78edf5c8acffcc533f4b2c70332942516932b30db1f3720416735f63c,
301,AA,4,0,1,0,successful_call_counter,1,1.0,non_adaptive,1.0,0.0001,8192,4096,0,a5313a2732fa410e3ba17614515b5baa0d1b274bff99cb93511687dac86c9382,3de6106ba7ba31d7e33afd7d907f137eea4a25de27f13f2540ddbd7b0b578570,221959f960468ec98997833dc52688c5ad5c1e9be48c95eb40305046eaaf2032,
301,AA,5,0,1,0,successful_call_counter,1,1.0,non_adaptive,1.0,0.0001,4096,2048,0,c4bfae07b737945f493327e789272f17746f92e5c5be23eeaca0d5e13c6bdf9e,ac5eae1b704befa5f6da7d01c5af146558df18c820b50e47145ba0a0e2f622be,f7560d877a9fd3caa4ce4c83c4c66ca4e35979cf33534256a17ea0ce291b8492,
301,AA,6,0,1,0,successful_call_counter,1,1.0,non_adaptive,1.0,0.0001,2048,1024,0,69ec3f15dc712388418a3e23a092a091e075b42a9eb7ea290a15c5d6997626e0,f531dc96253285ef44b640ad5c6110baa4ef5b6639a4c78d080caba80e48b26a,4111aa68a8d2d43414a5462f841c763caa353fbfefc4c47c367bd504dbe3b2af,
301,AA,7,0,1,0,successful_call_counter,1,1.0,non_adaptive,1.0,0.0001,1024,512,0,f35596f7514e9ae7efe601ae70fa9b51f7d0dbe3cec7a0bf79ae3c89b244d2f9,9111ba899dd507f33844db1845583adcd14154bb169ea7974369a9035449ae91,fc1a73b79c8fa298b157ed74337d8a087f90623d3a260f5c993fdea118dfaaae,
301,AA,8,1,0,1,all_active_parameters,1,1.0,non_adaptive,1.0,0.0001,512,512,0.18632751895307001,0b8426532c9a12f8d19f2526ccab8ae5df03cb1cde5e1d4b4bbc58cbf1303450,68ae569823098c5319431ed9d6bea61a2a60e59a42d9e89dcafa1a25e6eb7ccf,2770f7cb8e9387960b4b9ea1e02e6acfb72db49d5da87719b55a369d54b46a03,0.0001
301,AA,9,2,0,2,all_active_parameters,2,1.999499749846109,non_adaptive,1.0,0.0001,512,512,0.19025256469276614,f4b1e554f8b7569cdb7d32cecea57354d70ddbac698010e9507d78e1f8ba0c8d,ae27d22d010ab723316dcc284fa9d86d4b998e0a5b3202088394a1324de78fb0,7016127d2840580583f51f3c6c0b97ca4b2f814cf0efd0456da6607d7559ce78,0.0001
301,AA,10,3,0,3,all_active_parameters,3,2.9986659997755396,non_adaptive,1.0,0.0001,512,512,0.14208464157392636,e134b1c452a5adbd489f279eaa8d6715fbd31c40045e07f05e69899ddd6a5905,c9462a1902173088338df4474761f4fbf35cbcb09c8cef082e0f19340f2afe8e,42f0ed6405a897bece1516ae470b215e2b81c77c0f999d92d497eb30eaef19d4,0.0001
