kimg,seed,method,nfe,fid50k,kid50k
1280,101,IA,1,70.73031097763548,0.05125663686436437
1280,101,IA,2,29.678752630191816,0.018063945462962954
1280,101,IB,1,75.48348514511821,0.05536432891891893
1280,101,IB,2,32.61339094581709,0.020052735635635643
1280,102,IA,1,71.74671151430977,0.051683633821321344
1280,102,IA,2,29.263978935225676,0.01743058304554555
1280,102,IB,1,75.67294424579032,0.05489723762262263
1280,102,IB,2,32.093208953814354,0.019245594559559532
1280,103,IA,1,70.7725237650599,0.05097263941191189
1280,103,IA,2,29.108033843375956,0.017628399862362337
1280,103,IB,1,75.44204279545005,0.0549059203828829
1280,103,IB,2,32.158333696908215,0.01949375862612612
2560,101,IA,1,64.72784129450761,0.04603015238738739
2560,101,IA,2,27.958620974528806,0.016715285810810783
2560,101,IB,1,68.78009689587891,0.0492220706081081
2560,101,IB,2,30.697283736525222,0.018423617357357366
2560,102,IA,1,64.70449124647583,0.046583200983483466
2560,102,IA,2,27.874003449788066,0.016808965813313297
2560,102,IB,1,69.87748560348564,0.0507266023773774
2560,102,IB,2,31.012573354806655,0.018869918220720736
2560,103,IA,1,66.80498909216361,0.04845988207457455
2560,103,IA,2,28.727505514930744,0.01742167602352354
2560,103,IB,1,71.88925153395047,0.05268009166916918
2560,103,IB,2,32.00874173785822,0.019482967317317336
3840,101,IA,1,29.126933057102807,0.018730082412412412
3840,101,IA,2,8.911826972101004,0.004889073443443454
3840,101,IB,1,32.64323497520537,0.021242044319319326
3840,101,IB,2,9.981184898478379,0.005582174404404427
3840,102,IA,1,27.29971120843923,0.01755021902152152
3840,102,IA,2,8.547023901655116,0.004791820162662625
3840,102,IB,1,30.89619320838368,0.020043464166666677
3840,102,IB,2,9.62678770617315,0.005486683215715716
3840,103,IA,1,28.388787723758877,0.018023594547047068
3840,103,IA,2,8.784021499275326,0.004766796929429411
3840,103,IB,1,31.3667995444957,0.0199572692117117
3840,103,IB,2,9.703019254328083,0.005308130292792807
5120,101,IA,1,21.857627717038678,0.013709454396896886
5120,101,IA,2,7.5784569336446825,0.004091566844344352
5120,101,IB,1,24.503179033975133,0.015542871936936925
5120,101,IB,2,8.476530038513458,0.004620845725725704
5120,102,IA,1,22.011821792655315,0.013799968618618623
5120,102,IA,2,7.546402284527539,0.004140532112112133
5120,102,IB,1,24.11863729122765,0.01518135605355355
5120,102,IB,2,8.256395235098969,0.004520051899399378
5120,103,IA,1,22.575880013284152,0.01423244022022022
5120,103,IA,2,7.67863223178481,0.0042347059084083954
5120,103,IB,1,24.981360026788998,0.01586297002502501
5120,103,IB,2,8.516388266266649,0.004768740067567579
6400,101,IA,1,20.356795875991708,0.01268709327327328
6400,101,IA,2,7.256471516247709,0.003944825963463472
6400,101,IB,1,26.653084618864753,0.016985938243243258
6400,101,IB,2,8.998441803912504,0.0048254352652652545
6400,102,IA,1,20.09813355128054,0.012503255925925895
6400,102,IA,2,7.18563008989346,0.0038636683083083287
6400,102,IB,1,22.246142478031206,0.013844861986986994
6400,102,IB,2,7.89524572197781,0.004194974677177174
6400,103,IA,1,24.187858671817555,0.015249196363863885
6400,103,IA,2,8.107833146748018,0.0043414189364364255
6400,103,IB,1,26.282740049705396,0.01661660064814815
6400,103,IB,2,8.892791968527478,0.0047928355280280315
7680,101,IA,1,9.070529262301255,0.005805299999999975
7680,101,IA,2,3.733922431762826,0.0021588227952952957
7680,101,IB,1,9.822996284925804,0.006199620765765721
7680,101,IB,2,3.882828744725219,0.002231094019019029
7680,102,IA,1,9.101112053907348,0.005429765382882897
7680,102,IA,2,3.7174184913871993,0.002035743345845858
7680,102,IB,1,9.414786261923615,0.0056284145420420735
