layer,update_1_l2,update_1p3_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_1_l2,predicted_1p3_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.006106623538484629,0.005853759926977236,0.9940580151740686,0.9528959723232723,1.0369981259576317,0.1043442264638402,0.10887562778857948,0.0,131274,131328,0.9995888157894737,1.0000000000000002,0.9528959723232721,0.10432091674071019,0.30661445664321874,0.9649083341084033,1.631641180654337,131274,0.9528962903719383,0.1043298120859933,0.9649179499513206,0.001149854842078881,0.0011498548933973824,1.4300159812595203e-08,0.006106631841612078,0.005853768441199219,0.9528967857822277,1.0369988146063296,0.10433763236309475,0.10886873596669704,0.0
model.dec.16x16_block0.conv0,0.017333427402875672,0.016455548072443198,0.9936595806359254,0.9433340917956882,1.0466698604203633,0.10673636282755072,0.1130120138210651,0.0,1178689,1179904,0.9989702552072033,1.0,0.9433340917956882,0.10668634995076064,0.29957011691329055,0.9469387755102041,1.5859673566878911,1178689,0.9433358282885379,0.10672851095659738,0.9469185372356234,0.0023474165016539794,0.0023474164917025656,2.528383440497337e-07,0.01733341625174779,0.01645555369744011,0.9433359058161181,1.0466698108761618,0.10672864886638332,0.11300373059562893,0.0
model.dec.16x16_block0.conv1,0.012338328110579489,0.01170991322168059,0.9938109468840844,0.9431942352700389,1.0471440146831164,0.10542690435475244,0.1117197568186249,0.0,589372,590080,0.9988001626898048,1.0,0.9431942352700387,0.10536923720479428,0.2924391624221847,0.9448275862068966,1.5909090909090908,589372,0.9431934696784432,0.10541822212124247,0.9448139598526382,0.002630129282783551,0.002630129272409769,1.4590001920794192e-07,0.012338314209331272,0.011709879460022103,0.9431937821360157,1.0471471902317835,0.10541595082250574,0.11170870370654827,0.0
model.dec.16x16_block0.norm0,0.00047871985116216723,0.00045389027701930103,0.9934432242295703,0.9419166954406478,1.0477884557571608,0.10839682063766967,0.11500730211429246,0.0,1020,1024,0.99609375,1.0,0.9419166954406478,0.10837929991646673,0.07641025641025645,0.9416125541125542,1.5567251461988294,1020,0.9419366750975822,0.10817874745256499,0.9416554841368936,0.003528702642833449,0.0035287026433890784,6.862429026831398e-11,0.00047872005178982685,0.0004538927736308249,0.9419289441698481,1.0477914327687519,0.10833250627221332,0.11493951598594333,0.0
model.dec.16x16_block0.norm1,0.0003521138427744865,0.0003347445635215311,0.9940848605463858,0.9450480564039714,1.0456660941960692,0.10324873647475247,0.10911352657719338,0.0,508,512,0.9921875,1.0,0.9450480564039714,0.10296457144345092,0.2922360248447205,0.9444444444444444,1.4491039426523296,508,0.9450771001342031,0.10410956214731738,0.9461755891708883,0.010791843871737204,0.01079184387094566,5.728027493824575e-10,0.0003520842682137173,0.00033472308598553845,0.9450758718995192,1.0456553955294228,0.10316770273988424,0.10902550109605535,0.0
model.dec.16x16_block0.skip,0.005689068651013998,0.005383135986796567,0.9936652153355777,0.9402303448293802,1.05013687932724,0.10633744484295388,0.1133370520720918,0.0,131290,131328,0.9997106481481481,1.0,0.9402303448293802,0.10632408897113134,0.2593038225391167,0.9404162775904992,1.6129812535271197,131290,0.9402317348203467,0.10633184548694222,0.940413849648439,0.0009454682352553233,0.0009454682349378018,7.247614859477781e-09,0.00568906809580269,0.005383143153671921,0.9402316463280123,1.0501353317789035,0.10633796853746998,0.11333714521344879,0.0
model.dec.16x16_block1.affine,0.006236376492519483,0.005880408446239184,0.9953519798516038,0.9385379789563723,1.0556051923398628,0.09080691592751083,0.09831756271521026,0.0,131250,131328,0.999406067251462,1.0,0.9385379789563723,0.09079373583605044,0.1925586111983005,0.9460726846424384,1.411764705882353,131250,0.9385400305721096,0.09081250633644371,0.9460637585834843,0.0012410629540600586,0.001241062895606447,7.339256259289407e-09,0.006236372538173103,0.005880415969122516,0.938539937676413,1.0556033558085454,0.09080540570130569,0.09831530310099916,0.0
model.dec.16x16_block1.conv0,0.017421313368463455,0.016493956626687522,0.9937375103870837,0.9408397086931364,1.0496094397652664,0.10579166555615845,0.11263846721084068,0.0,1178724,1179904,0.9989999186374485,1.0,0.9408397086931364,0.10573749901763112,0.2916666666666667,0.943089430894309,1.5907221924810464,1178724,0.9408414175008839,0.10577446100353909,0.9430856652666194,0.002349660412627951,0.002349660401690271,2.7416669468724145e-07,0.017421294871101518,0.016493951542343736,0.9408412836850327,1.049609615053115,0.10578404285343185,0.11263031252281412,0.0
model.dec.16x16_block1.conv1,0.012183317590127448,0.011518908553927332,0.9938064508195767,0.939609883975292,1.0511290680681846,0.10506475661127758,0.11221702980674443,0.0,589381,590080,0.9988154148590022,1.0,0.939609883975292,0.10500947011002851,0.2916666666666667,0.9409545678202395,1.5806451612903225,589381,0.939614275956616,0.10505436339217808,0.9408970141206005,0.0026312155076369053,0.0026312154919261605,1.3591725179922617e-07,0.012183272867135789,0.011518906237745569,0.9396142681454539,1.051126678222659,0.10505506915171368,0.11220607728730242,0.0
model.dec.16x16_block1.norm0,0.0005088464185493556,0.0004829087392497566,0.9954575122209529,0.9447155657963868,1.0489248769832415,0.090353809734609,0.0961711730848749,0.0,1021,1024,0.9970703125,1.0,0.9447155657963868,0.09023703069151592,0.3333333333333333,0.9392106021319504,1.4615384615384615,1021,0.9447247964886012,0.0901810316863864,0.9383855586431225,0.002663174931782321,0.0026631749311544824,4.305123842546881e-10,0.0005088436777130197,0.0004829057702628181,0.9447184810580207,1.0489297118939838,0.09031572715566846,0.0961320468350175,0.0
