evidence_group,seed,threshold_fid50k_nfe1,tau_A_kimg,last_A_budget_kimg,last_A_fid50k_nfe1,tau_B_kimg,last_B_budget_kimg,last_B_fid50k_nfe1,classification
formal,3,10.0,1024,1024,9.669405820296213,896,1024,8.686351455868186,B earlier
formal,4,10.0,896,1024,8.293418813661093,896,1024,8.522227290963617,tie
formal,5,10.0,896,1024,8.379453301226578,768,1024,7.783214036417319,B earlier
secondary_ab,6,10.0,896,1024,8.608455056024479,768,1024,8.18673278440934,B earlier
secondary_ab,7,10.0,1024,1024,9.76113399886719,896,1024,9.145345402103668,B earlier
secondary_factorial,14,10.0,896,1024,8.815092234994792,768,1024,7.548731153010589,B earlier
secondary_factorial,15,10.0,896,1024,8.33294771234127,896,1024,8.260731470158076,tie
secondary_factorial,16,10.0,,1024,13.128048244505033,,1024,10.915400791045837,censored
secondary_factorial,17,10.0,896,1024,7.938111750384575,1024,1024,9.18587267698279,B later
secondary_factorial,18,10.0,768,1024,7.6660773776351085,896,1024,8.600283053220378,B later
