job_index,checkpoint_id,method,training_seed,budget_kimg,nfe,mid_t,sample_count,sample_seeds,metrics,precision,integrity_receipt_status,record_status,elapsed_seconds,run_id,package_source_manifest
1,q128-1024k-seed3-fixed,fixed,3,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,281.737,q128-1024k-reported-seed3-fixed-nfe1,results/q128_1024k_retrospective/source_run_manifest.json
2,q128-1024k-seed3-fixed,fixed,3,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,426.838,q128-1024k-reported-seed3-fixed-nfe2,results/q128_1024k_retrospective/source_run_manifest.json
3,q128-1024k-seed3-global110,global110,3,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,281.792,q128-1024k-reported-seed3-global110-nfe1,results/q128_1024k_retrospective/source_run_manifest.json
4,q128-1024k-seed3-global110,global110,3,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,426.95,q128-1024k-reported-seed3-global110-nfe2,results/q128_1024k_retrospective/source_run_manifest.json
5,q128-1024k-seed4-fixed,fixed,4,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,286.853,q128-1024k-reported-seed4-fixed-nfe1,results/q128_1024k_retrospective/source_run_manifest.json
6,q128-1024k-seed4-fixed,fixed,4,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,426.827,q128-1024k-reported-seed4-fixed-nfe2,results/q128_1024k_retrospective/source_run_manifest.json
7,q128-1024k-seed4-global110,global110,4,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,286.652,q128-1024k-reported-seed4-global110-nfe1,results/q128_1024k_retrospective/source_run_manifest.json
8,q128-1024k-seed4-global110,global110,4,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,426.866,q128-1024k-reported-seed4-global110-nfe2,results/q128_1024k_retrospective/source_run_manifest.json
9,q128-1024k-seed5-fixed,fixed,5,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,286.87,q128-1024k-reported-seed5-fixed-nfe1,results/q128_1024k_retrospective/source_run_manifest.json
10,q128-1024k-seed5-fixed,fixed,5,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,426.976,q128-1024k-reported-seed5-fixed-nfe2,results/q128_1024k_retrospective/source_run_manifest.json
11,q128-1024k-seed5-global110,global110,5,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,286.788,q128-1024k-reported-seed5-global110-nfe1,results/q128_1024k_retrospective/source_run_manifest.json
12,q128-1024k-seed5-global110,global110,5,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,unavailable,reported_unverified,427.048,q128-1024k-reported-seed5-global110-nfe2,results/q128_1024k_retrospective/source_run_manifest.json
