job_index,checkpoint_id,method,training_seed,budget_kimg,nfe,mid_t,sample_count,sample_seeds,metrics,precision,integrity_receipt_status,status,elapsed_seconds,output_directory,source_manifest
1,q128-1024k-seed3-fixed,fixed,3,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,281.737,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed3-fixed/nfe1,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
2,q128-1024k-seed3-fixed,fixed,3,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,426.838,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed3-fixed/nfe2,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
3,q128-1024k-seed3-global110,global110,3,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,281.792,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed3-global110/nfe1,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
4,q128-1024k-seed3-global110,global110,3,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,426.95,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed3-global110/nfe2,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
5,q128-1024k-seed4-fixed,fixed,4,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,286.853,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed4-fixed/nfe1,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
6,q128-1024k-seed4-fixed,fixed,4,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,426.827,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed4-fixed/nfe2,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
7,q128-1024k-seed4-global110,global110,4,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,286.652,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed4-global110/nfe1,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
8,q128-1024k-seed4-global110,global110,4,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,426.866,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed4-global110/nfe2,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
9,q128-1024k-seed5-fixed,fixed,5,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,286.87,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed5-fixed/nfe1,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
10,q128-1024k-seed5-fixed,fixed,5,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,426.976,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed5-fixed/nfe2,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
11,q128-1024k-seed5-global110,global110,5,1024,1,[],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,286.788,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed5-global110/nfe1,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
12,q128-1024k-seed5-global110,global110,5,1024,2,[0.821],50000,0-49999,"kid50k_full,fid50k_full",fp32,passed,completed,427.048,/root/staged_eval/formal-q128-new-1024k/q128-1024k-seed5-global110/nfe2,/root/staged_eval/formal-q128-new-1024k/run_manifest.json
