K_kimg,h,weighted_R2,corr,wRMSE,R_opt,cosine,a_star_mean,a_star_std
32,1,0.9918110519263924,0.9959029162949127,0.0009021358710338644,0.013947306210899896,0.9999023498165798,0.7667729625704495,0.0
32,2,0.9817374193827729,0.9908532385680678,0.0018776184853209767,0.020164448615125445,0.9997955020391769,0.7738203276079335,0.0070473650374840435
32,3,0.987973783319476,0.9940175590883517,0.002107308723228972,0.028768986741164942,0.9995815719205084,0.7731482753506732,0.005832113206549794
32,4,0.9805582621993558,0.9904710999702482,0.003131002202751829,0.0348789413450549,0.9993822308796082,0.7745101522275355,0.005574431291504681
32,5,0.9809802449165872,0.9907387062608762,0.003302731439326675,0.03873389209650046,0.9992338181082974,0.7741963280268929,0.005025273116418755
32,6,0.9856517002187749,0.9930583023543172,0.0034845133951515272,0.048895203690237074,0.9987681184579268,0.7733514019403384,0.0049612473603791
32,7,0.9722206862163677,0.9863176569496636,0.005212132719252977,0.05486831139718538,0.9984297395809878,0.7687930389671196,0.012073513620678274
32,8,0.9733590095784657,0.9869877896081477,0.0054226331972016695,0.06051867830326059,0.9980659988735033,0.7680845491672634,0.011448240883673725
32,9,0.9746731550404485,0.9874841974829277,0.0055469756455575,0.06567683825463098,0.9976974990816193,0.7672809835813341,0.0110302081450544
32,10,0.9760347864388721,0.9881912589167655,0.005635720248774174,0.0714897650517356,0.9972299979563544,0.7669951165285908,0.010499258178438112
32,11,0.9739595467636439,0.9875034326908175,0.006153197228159136,0.07711887774959339,0.9967329451774727,0.7680327851931015,0.01053473652981497
32,12,0.9698411607543881,0.9856029994553163,0.006621413004956755,0.08115655575059556,0.9963183405442061,0.7675512221819786,0.010211915419926491
32,13,0.9651436101887283,0.9838681982761354,0.007119112106470484,0.0844304559478003,0.995958415839726,0.7686744841740971,0.010554716514005155
32,14,0.9587048375089785,0.9812569262194006,0.007960836535608917,0.0886803151893185,0.9954414598650322,0.7689580800122021,0.010222049592048681
32,15,0.9514647637334559,0.978559707016337,0.008459333730613623,0.0899638644846516,0.995220319611003,0.7696949071035546,0.010253052047099396
32,16,0.9409181857632972,0.9739176190559734,0.00899183465214123,0.09041151463211866,0.9950547017041581,0.7695407020581193,0.009945423417510254
32,17,0.9223177574868374,0.9655833106593008,0.010736412536141757,0.09244033807483303,0.9946679308175043,0.7701174076433535,0.009920411072993499
32,18,0.9106449372155775,0.9605555296432738,0.011132387371469132,0.09243591468485567,0.9945334200229823,0.7704985953610168,0.009768175358040474
32,19,0.9012724542166343,0.9560768959015465,0.011471928443161264,0.09186193393673567,0.9944694895992279,0.7705850307529701,0.00951471327439663
32,20,0.8607555336375079,0.937142715366913,0.012537230773029179,0.08992372612613049,0.9946064978699064,0.7701840458310533,0.009437068904260932
64,1,0.9962843567753565,0.9981515913217263,0.0008132409889169063,0.019614580834722232,0.9998069558004934,0.766160397269206,0.0
64,2,0.9880960171560613,0.9940329088659103,0.0019526585178034767,0.027240574360343817,0.9996268328876025,0.7661328816712103,2.751559799568648e-05
64,3,0.9864435204290215,0.9932381406881449,0.002486454270527094,0.03388944664071355,0.9994199685745371,0.7650397810790159,0.001546040927034905
64,4,0.9882454503368754,0.9941302811009656,0.002769651770001183,0.04202486349912431,0.9991033058751684,0.7659389283950928,0.002053796386956278
64,5,0.987471333925295,0.9937514510932313,0.003035939047185706,0.04657617870386893,0.9988929233758014,0.7659783254625346,0.001838660434923154
64,6,0.9866231328276822,0.9933693249377936,0.003368519806962269,0.05230137023155406,0.998592972314832,0.7650876416799153,0.0026045757489910207
64,7,0.9719629293311196,0.9866161069775902,0.006251813647253609,0.06545582109410722,0.9977618682512001,0.7676638330285732,0.0067553881914385406
64,8,0.9742556515489705,0.9873866087355349,0.006178475021966204,0.07120026738525839,0.9973285285120066,0.7669584953493752,0.006588882272948358
64,9,0.9724552538874692,0.9864586472393754,0.006530230880619539,0.07631562187540594,0.9969027376084264,0.7666298378912113,0.006281225013573472
64,10,0.9740040842263047,0.987190845145058,0.00675644545272909,0.08629097268803565,0.9959832251305022,0.7666252544642342,0.005958909126195217
64,11,0.9737717310274011,0.987588149823416,0.007239112184694361,0.09294903543285542,0.99527315146193,0.7676182701522923,0.006491636556389364
64,12,0.9730241929781118,0.9873582835302117,0.0073409940080076995,0.09811034037288144,0.9946680786928679,0.7684484844072147,0.006797895204772426
64,13,0.9742387798916815,0.987335632098345,0.007510243320811551,0.1025530213830436,0.9940316010016249,0.7681019769865856,0.006640592326562349
64,14,0.9647629474608447,0.9832275820267132,0.009474055201383575,0.10794340831314722,0.9932268127529231,0.7683175393255057,0.006446062364041878
64,15,0.9611782154343883,0.9808643952395721,0.009753881373808828,0.11046134084352137,0.9927402032415792,0.7682509073976603,0.006232476452237401
64,16,0.9569115672395838,0.9787442279509455,0.010447858001519442,0.11150583661877853,0.9923282607749032,0.7684369536022313,0.006077435759491205
64,17,0.9517433936297713,0.9771390792108708,0.011418809966062846,0.11404659982854064,0.9916886671732843,0.7674636430289216,0.0070654016620662246
64,18,0.9415801059137497,0.9725579639361842,0.012264093371334585,0.11303748319088622,0.9916874622579533,0.7685146695119494,0.008119466496579872
64,19,0.9329602967930947,0.9691583346195211,0.013091292973064585,0.11154120314514362,0.9916860443366325,0.7684467054166714,0.007908166963881667
64,20,0.9108881763622554,0.9568688494123564,0.014686348811513443,0.10785188611940501,0.992016719205815,0.7696800048082467,0.009397428897743516
128,1,0.9887777045144609,0.9947389492330391,0.0013859043937820496,0.01809594664805951,0.9998355803891984,0.7512603985547475,0.0
128,2,0.9895829890268301,0.9948055835852203,0.002058338049969117,0.02868126124510448,0.9995853337053477,0.7598254433508786,0.008565044796131238
128,3,0.9866603412464372,0.9933642994052994,0.0028290650501056037,0.036049391361732054,0.9993418985498297,0.7606419756952317,0.007088025938997805
128,4,0.9784974036936336,0.9893136503881056,0.004218906005593928,0.04398747004767032,0.9990151595763859,0.7638920928172948,0.008328857527014837
128,5,0.9818881486436727,0.991003500222065,0.004275352413636875,0.05033123726834963,0.9987046385067114,0.7647562097577597,0.007647397368480571
128,6,0.9819090588186259,0.9912188505645125,0.004496840576923669,0.05546409990810832,0.9984186994294616,0.7673050656646399,0.009012153142454859
128,7,0.9870974473487608,0.9936800634313891,0.004639905220459353,0.06909349367133745,0.9975038949809567,0.7671633353188966,0.008350851968480672
128,8,0.9865040170618866,0.9932382443573116,0.005024881139730598,0.07634208377613964,0.9969228321040557,0.764735157136355,0.010113949897430837
128,9,0.9854174939314274,0.9927398096225392,0.005405893168100603,0.08174067763056717,0.9964448500403233,0.7662426687562715,0.010445426605208204
128,10,0.9830051323565709,0.9915662365895375,0.00619894719604567,0.08976769142641994,0.9956381900353897,0.76447809330223,0.011234757766207637
128,11,0.9815873229614114,0.9907716420435597,0.0064479989333802714,0.0932934665098983,0.9952444567846847,0.7660140127790848,0.011761621606601528
128,12,0.9811640471505815,0.9905429764664423,0.006685418774683713,0.09834279426725676,0.9946321123096478,0.7669359461180271,0.011668647571367815
128,13,0.9764700733856148,0.9885484544306042,0.007616221475022178,0.10238665232007613,0.9940761966560004,0.769588483950744,0.014495350232085386
128,14,0.9737560888099508,0.9872865982515666,0.008134236360220632,0.10602456350462271,0.9935276317493833,0.7696643704162603,0.013970748553645605
128,15,0.9727497091679953,0.9867408829731813,0.008607804246130342,0.10928443740771528,0.9929604929178151,0.7700988263941253,0.013594565903076134
128,16,0.9747042257293945,0.9873655683995897,0.009031092823038694,0.11507858878825244,0.9918495040369577,0.7696937083856356,0.013256065299488503
128,17,0.9672774302128062,0.983515159213186,0.011006577735484238,0.11991156750634231,0.9906617633096176,0.768031281225003,0.014477749461741143
128,18,0.9618803647619348,0.9809447963767634,0.011748349551142567,0.11982017442122762,0.9904746922803488,0.7679989876801534,0.014070473458546687
128,19,0.9563810527877351,0.9788576883964341,0.01200663748909014,0.11688637359203113,0.9907638982754416,0.768933684336686,0.014257775351396263
128,20,0.918233823711323,0.9656911797289036,0.015608858250726377,0.1138608826700432,0.9909876343414781,0.7700107756803825,0.014668412987197562
256,1,0.9955922930221038,0.9977979520877633,0.0010708037427334621,0.02115407750025747,0.9997752768987221,0.7687332905450087,0.0
256,2,0.9939061436751822,0.9970876733216467,0.0021599528805737373,0.03693735248516095,0.9993092761016057,0.7664473624495001,0.0022859280955087047
256,3,0.9669743872585945,0.9837405372442484,0.005725262673713404,0.04334460644947,0.9990455224924452,0.7574176632234829,0.012905602700502838
256,4,0.9693384969643264,0.9847835377957888,0.006214808333537901,0.05038714693554242,0.9987033917371041,0.7642524639281277,0.016280646111689175
256,5,0.9725000552542342,0.986332342526736,0.00613260576869085,0.05437311644980996,0.9984833901330953,0.7651235352286763,0.014665695042984001
256,6,0.9759106790458117,0.9879063455083194,0.0061379760498816915,0.06047246435827785,0.9981124857406972,0.7672276962068567,0.01419059464417619
256,7,0.9794039885262815,0.9896610708946898,0.006294992704779189,0.0695912668887169,0.9974738060534204,0.7683303177174553,0.013412682560858964
256,8,0.9810373922898036,0.9904833263813835,0.00652078581622013,0.077655273610061,0.9968113238546972,0.7678984961280384,0.012598326713860845
256,9,0.9801018720287739,0.9901518390428858,0.0074389847471751525,0.08729979113557676,0.995903696922319,0.7687196342448801,0.012102754369758665
256,10,0.9760567522869223,0.9881780128948977,0.008376272357125425,0.09315519776829168,0.9952638186675858,0.7690856924722284,0.011534079271165325
256,11,0.9707758049444609,0.9856656429960301,0.009219686195748408,0.09590421086139891,0.9949399360974247,0.7713724892439615,0.013161887777727053
256,12,0.9657408630077391,0.9832429292620427,0.010122903782836527,0.10025151577871019,0.9943985393458066,0.7723829227251952,0.013039545610845962
256,13,0.957482642524851,0.9794036331171015,0.011432944758545163,0.10405468500283163,0.9938711262769891,0.77496332448771,0.015390003810621975
256,14,0.946538140898749,0.9737298620745344,0.013346900973752907,0.11178868582134834,0.9927183756484471,0.7753511893310836,0.01489596960750133
256,15,0.9275417616525078,0.9631758519246791,0.01546792475819774,0.11529426034112829,0.992061309900958,0.7732476330586536,0.016402638072040152
256,16,0.9146747348146348,0.9578035757203799,0.01690335058529087,0.11825647174471285,0.9912996439124809,0.7722152428851238,0.01637737980556426
256,17,0.9013548052772202,0.953366533186366,0.019920818585862924,0.1228776738630534,0.9900532955525959,0.7693628836064327,0.01956057927750896
256,18,0.8708964110296256,0.938124148723047,0.022061230335241336,0.1204418651953305,0.9902739158778904,0.7695486814514955,0.019024895714743355
256,19,0.8146418345867737,0.9062034450805129,0.025542841163732594,0.1188619944810168,0.9902460960756819,0.7694009363265567,0.018528079989612416
256,20,0.7354752144112958,0.8584727692266186,0.02950790636177983,0.11664265291611138,0.990484459440568,0.772624367957829,0.022881105280223045
