layer,update_1_l2,update_1p3_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_1_l2,predicted_1p3_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block0.affine,0.008515296970092569,0.008254330023797316,0.9964121261644951,0.9658752428672961,1.0279144563435696,0.08204001126746328,0.08464602528706074,0.0,131297,131328,0.9997639498050682,1.0,0.9658752428672963,0.08203152560346308,0.4212956634009266,0.965531142914735,1.7634977413486497,131297,0.9658757508255355,0.08204004886277433,0.9655227637141047,0.0010709880737580803,0.0010709880752038938,4.735382017095434e-09,0.00851528682687041,0.008254323591538307,0.9658756233601998,1.0279140144426084,0.08204024954740499,0.08464625242675061,0.0
model.dec.16x16_block0.conv0,0.02235389891996649,0.021562752893849204,0.9949392056471168,0.9597264581262388,1.0314439229552923,0.09692261005448848,0.10049807307024325,0.0,1179013,1179904,0.9992448538186157,1.0,0.9597264581262387,0.09688841994308668,0.36507936507936506,0.9615384615384616,1.55,1179013,0.9597278390857876,0.09691323916339806,0.9614995257279356,0.0018621334856756154,0.001862133484051515,1.5531804556352545e-07,0.0223538831771398,0.02156275597760865,0.9597278050720756,1.031443622735183,0.09691740634455791,0.1004925784906195,0.0
model.dec.16x16_block0.conv1,0.015570471906688678,0.015010396051981092,0.9946527851808799,0.9588747424769748,1.0317657971805825,0.09956067808546708,0.10330071034823664,0.0,589514,590080,0.9990408080260303,0.9999999999999999,0.9588747424769749,0.09951150585159477,0.34328358208955223,0.9600550964187328,1.5695465015836447,589514,0.9588741979838894,0.09954807672329866,0.9600570700582327,0.0022031003040426825,0.0022031003027761305,1.1131928698493948e-07,0.015570485174391828,0.015010389798436143,0.9588741883556355,1.0317678189834167,0.09955417173820162,0.10329412533714233,0.0
model.dec.16x16_block0.norm0,0.0007817902849427724,0.0007598191122242443,0.9965499205943937,0.968543214896308,1.0253664771612847,0.0806630382846088,0.08308806481296484,0.0,1023,1024,0.9990234375,1.0,0.968543214896308,0.08063060395469143,0.4233918128654971,0.967687074829932,1.508510638297872,1023,0.9685008211054322,0.08058722735469472,0.9668909916373887,0.002060673486227368,0.0020606734863547025,1.4998197337475901e-10,0.0007818000498716881,0.0007597958295621942,0.9685006568187241,1.0254098769324698,0.0806689551330483,0.08309575952232412,0.0
model.dec.16x16_block0.norm1,0.0005367291894727317,0.0005204787020638105,0.9963885801960095,0.9662210387347849,1.0274980185124367,0.08233969887967865,0.08493056270193884,0.0,512,512,1.0,1.0,0.9662210387347849,0.08233969887967864,0.2936046511627907,0.9692234848484849,1.8,512,0.9662488513308811,0.08229543423786322,0.9703926864610533,0.0033935765026641843,0.003393576502118936,0.0,0.0005367543646295464,0.0005205163041619475,0.9662487139611627,1.0274753772774652,0.08230432120484013,0.0848924315090201,0.0
model.dec.16x16_block0.skip,0.007433161957946322,0.007149368027038629,0.9944923342633575,0.9565231778807967,1.0339686750714931,0.10080777548858459,0.10490139705465387,0.0,131306,131328,0.9998324805068226,1.0,0.9565231778807967,0.10079556675549632,0.32287792867212267,0.9567484644908932,1.585591809056353,131306,0.9565227308868057,0.10080876743919386,0.9567417210248259,0.001126453531959459,0.0011264535316975446,6.3789891562549606e-09,0.00743316247353552,0.007149365448421387,0.9565229097133462,1.033969274489852,0.10080637358327266,0.10489998810958122,0.0
model.dec.16x16_block1.affine,0.00910345881839581,0.008789394665197778,0.9964223692009193,0.9620463640084438,1.032026703689365,0.08159743516031391,0.08455112014790235,0.0,131288,131328,0.9996954191033138,1.0,0.9620463640084436,0.08159149132707956,0.5329554089789963,0.9641571167756315,1.366007803858152,131288,0.9620472232199907,0.08159378418891997,0.964141468933613,0.0006477497052473501,0.00064774969802077,3.770565688580799e-09,0.00910345863771214,0.00878940269921807,0.9620473091594384,1.0320257899601337,0.08159696088190826,0.08455050822876892,0.0
model.dec.16x16_block1.conv0,0.022559687179321337,0.021703898298585586,0.9945845809906885,0.956855581532609,1.033801242147755,0.0999877817813533,0.10401652346057158,0.0,1179035,1179904,0.9992634994033412,1.0,0.956855581532609,0.09995537842696074,0.3368421052631579,0.9583333333333334,1.576086956521739,1179035,0.9568559488719849,0.09998762993247994,0.958349654308822,0.001958248041386384,0.0019582480395198432,1.5466748199170423e-07,0.022559669050769872,0.021703878365043408,0.9568559506142823,1.0338018783730991,0.09998318651936355,0.10401176662310485,0.0
model.dec.16x16_block1.conv1,0.015668307493382435,0.015051232500933405,0.9940775810160501,0.9549271867530893,1.0348330750103916,0.10439280523561639,0.10879796837175144,0.0,589493,590080,0.9990052196312365,1.0000000000000002,0.954927186753089,0.10434139863203133,0.3055555555555556,0.956366874443455,1.6016349504154388,589493,0.9549277498755613,0.10438118503988421,0.9563596028855628,0.0023301790821571235,0.0023301790783238903,1.235643101861995e-07,0.015668285429838436,0.015051207407234521,0.9549280445311804,1.0348345407240644,0.10438266833531025,0.10878749871905001,0.0
model.dec.16x16_block1.norm0,0.0007787071490354642,0.0007510228055995513,0.9962047984538017,0.960788049285568,1.032927086468588,0.0839457923972145,0.08710664971823932,0.0,1020,1024,0.99609375,1.0,0.960788049285568,0.0838241594642738,0.41503080985915497,0.9642324093816631,1.5286725067385443,1020,0.9607729686859857,0.08382435557569709,0.9643248623293692,0.0018975105061330023,0.0018975105062092404,5.804302369603174e-10,0.0007787497775151514,0.0007510481054714366,0.9607658367501966,1.0329467015410878,0.08396672778424435,0.08713088920354348,0.0
