arm,nfe,metric,heldout_seeds,fixed_mean,arm_mean,headline_relative_percent,seed1_delta,seed2_delta,seed1_relative_percent,seed2_relative_percent,seed1_absolute_change_share_percent
global,1,kid5k_full,"1,2",0.3734790086746216,0.36385004222393036,-2.5781814310961937,-0.006878465414047241,-0.012379467487335205,-2.182703941620805,-2.866792357042381,35.71756869894102
global,1,fid5k_full,"1,2",342.95347970683724,328.45324843717185,-4.228046113443851,-20.735001629500744,-8.265460909829983,-6.609859836681048,-2.2206510302988303,71.49886523837239
global,2,kid5k_full,"1,2",0.2709367237985134,0.21922114677727222,-19.08769556824653,-0.08098914101719856,-0.022442013025283813,-70.50183771988738,-5.255762568169605,78.30246289617325
global,2,fid5k_full,"1,2",246.28973913183103,200.43698685950557,-18.617402590118438,-76.61583443421699,-15.089670110433985,-60.82961855101586,-4.115799170834824,83.54551323242882
local-conservative,1,kid5k_full,"1,2",0.3734790086746216,0.3734559863805771,-0.0061642805913475485,-0.0007238090038299561,0.0006777644157409668,-0.22968215590847818,0.15695423481739354,51.642603499968104
local-conservative,1,fid5k_full,"1,2",342.95347970683724,342.8242829280814,-0.03767180868562425,-0.28716424993297096,0.028770692421289823,-0.09154161046517775,0.007729716281370954,90.89347566087547
local-conservative,2,kid5k_full,"1,2",0.2709367237985134,0.2704535834491253,-0.17832220845315216,0.000826716423034668,-0.001792997121810913,0.7196647151101248,-0.4199073918651048,31.557512257829654
local-conservative,2,fid5k_full,"1,2",246.28973913183103,246.10003715033872,-0.07702390776043178,0.843509193788293,-1.222913156772961,0.6697093738040832,-0.33355699096223584,40.81978660166884
combined-conservative,1,kid5k_full,"1,2",0.3734790086746216,0.3720105439424515,-0.39318534591309406,0.008264541625976562,-0.011201471090316772,2.6225395487006176,-2.593996207203883,42.45626336747957
combined-conservative,1,fid5k_full,"1,2",342.95347970683724,336.1700559214439,-1.9779428367928786,-6.6173608673723265,-6.949486703414323,-2.1094682606553703,-1.8670930727688209,48.77596532905272
combined-conservative,2,kid5k_full,"1,2",0.2709367237985134,0.21833689138293266,-19.414065276251545,-0.08006557822227478,-0.02513408660888672,-69.69786729281475,-5.886227382333906,76.10820657154635
combined-conservative,2,fid5k_full,"1,2",246.28973913183103,202.31131020535787,-17.856378865598177,-72.09903250159347,-15.857825351352858,-57.24347554727572,-4.325318178242427,81.97090512502697
local-aggressive,1,kid5k_full,"1,2",0.3734790086746216,0.37635405361652374,0.769800946003607,0.012319445610046387,-0.006569355726242065,3.9092589513813745,-1.5213076657740248,65.22089671396317
local-aggressive,1,fid5k_full,"1,2",342.95347970683724,344.33603727779484,0.4031326849750716,7.4569197009525965,-4.69180455903745,2.3771010447646153,-1.2605299016775067,61.380269577035456
local-aggressive,2,kid5k_full,"1,2",0.2709367237985134,0.2886633574962616,6.54272091624275,0.042463310062885284,-0.007010042667388916,36.964725857100504,-1.6417029885432277,85.83066988484234
local-aggressive,2,fid5k_full,"1,2",246.28973913183103,261.44283455414995,6.152548407308167,34.73056947495195,-4.424378630314095,27.574551772777717,-1.2067761432050512,88.70033330546273
combined-aggressive,1,kid5k_full,"1,2",0.3734790086746216,0.3627574294805527,-2.8707314052580757,-0.005803346633911133,-0.015639811754226685,-1.8415426712128355,-3.621811103625269,27.063861250595888
combined-aggressive,1,fid5k_full,"1,2",342.95347970683724,327.9056898679139,-4.3877058345599735,-19.664273362905305,-10.431306314941367,-6.2685353510683255,-2.802540761893667,65.33940722657074
combined-aggressive,2,kid5k_full,"1,2",0.2709367237985134,0.21625413373112679,-20.182790025929542,-0.0802479237318039,-0.02911725640296936,-69.85660083857543,-6.819057903500517,73.37611809619159
combined-aggressive,2,fid5k_full,"1,2",246.28973913183103,198.46508108626963,-19.41804730239386,-77.0458442698227,-18.603471821300104,-61.17102753606762,-5.074209928804987,80.55033472107942
