arm,profile,global_level,local_level,global_gap_scale,training_seed,nfe,kid5k_full,fid5k_full,run_label,run_dir,eval_dir,training_validation_path,kid_metric_path,fid_metric_path
fixed,shared,0,0,1.0,0,1,0.3799205422401428,338.1121480139137,fixed-g1p0000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed0-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed0-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed0-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed0-256k/nfe1/metric-fid5k_full.jsonl
fixed,shared,0,0,1.0,0,2,0.3650455176830292,327.7645058439099,fixed-g1p0000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed0-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed0-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed0-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed0-256k/nfe2/metric-fid5k_full.jsonl
fixed,shared,0,0,1.0,1,1,0.31513506174087524,313.698053239087,fixed-g1p0000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed1-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed1-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed1-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed1-256k/nfe1/metric-fid5k_full.jsonl
fixed,shared,0,0,1.0,1,2,0.11487521976232529,125.95152864547677,fixed-g1p0000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed1-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed1-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed1-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed1-256k/nfe2/metric-fid5k_full.jsonl
fixed,shared,0,0,1.0,2,1,0.4318229556083679,372.20890617458747,fixed-g1p0000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed2-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed2-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed2-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed2-256k/nfe1/metric-fid5k_full.jsonl
fixed,shared,0,0,1.0,2,2,0.42699822783470154,366.6279496181853,fixed-g1p0000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed2-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/fixed-g1p0000-seed2-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed2-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/fixed-g1p0000-seed2-256k/nfe2/metric-fid5k_full.jsonl
global,shared,1,0,1.1,0,1,0.2036067247390747,202.0400849578176,global-g1p1000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed0-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed0-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed0-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed0-256k/nfe1/metric-fid5k_full.jsonl
global,shared,1,0,1.1,0,2,0.3442983627319336,315.64254066378857,global-g1p1000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed0-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed0-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed0-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed0-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed0-256k/nfe2/metric-fid5k_full.jsonl
global,shared,1,0,1.1,1,1,0.308256596326828,292.9630516095863,global-g1p1000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed1-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed1-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed1-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed1-256k/nfe1/metric-fid5k_full.jsonl
global,shared,1,0,1.1,1,2,0.033886078745126724,49.335694211259785,global-g1p1000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed1-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed1-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed1-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed1-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed1-256k/nfe2/metric-fid5k_full.jsonl
global,shared,1,0,1.1,2,1,0.4194434881210327,363.9434452647575,global-g1p1000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed2-256k/nfe1,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed2-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed2-256k/nfe1/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed2-256k/nfe1/metric-fid5k_full.jsonl
global,shared,1,0,1.1,2,2,0.4045562148094177,351.5382795077513,global-g1p1000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed2-256k,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed2-256k/nfe2,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726/global-g1p1000-seed2-256k/validation.json,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed2-256k/nfe2/metric-kid5k_full.jsonl,/root/autodl-tmp/ect_project/runs/gap-factorial-20260726-eval/global-g1p1000-seed2-256k/nfe2/metric-fid5k_full.jsonl
