training_seed,budget_kimg,nfe,metric,fixed_mean,global_only_mean,global_minus_fixed,winner_lower_is_better
3,256,1,fid5k_full,316.6366735784031,297.0668374304674,-19.56983614793569,global_only
3,256,1,kid5k_full,0.3231235146522522,0.3040681779384613,-0.019055336713790894,global_only
3,256,2,fid5k_full,88.1256096344071,76.91261500114072,-11.212994633266376,global_only
3,256,2,kid5k_full,0.07170811295509338,0.05759671702980995,-0.014111395925283432,global_only
4,256,1,fid5k_full,220.6396038634675,246.02853015137842,25.38892628791092,fixed
4,256,1,kid5k_full,0.2171778827905655,0.24633222818374634,0.029154345393180847,fixed
4,256,2,fid5k_full,52.828537168338244,51.643327420988115,-1.1852097473501289,global_only
4,256,2,kid5k_full,0.03753798454999924,0.038554560393095016,0.0010165758430957794,fixed
5,256,1,fid5k_full,231.8577586648166,229.2250915159823,-2.6326671488342868,global_only
5,256,1,kid5k_full,0.23017355799674988,0.22693587839603424,-0.003237679600715637,global_only
5,256,2,fid5k_full,52.812650260293374,53.74569173894408,0.9330414786507077,fixed
5,256,2,kid5k_full,0.039028044790029526,0.03894234448671341,-8.570030331611633e-05,global_only
