method,training_seed,budget_kimg,schedule_q,global_gap_scale,nfe,mid_t,metric,repeat_count,value_mean,value_std,value_min,value_max,checkpoint_sha256
fixed,3,256,128,1.0,1,[],fid5k_full,3,316.6366735784031,1.7778772008049626e-06,316.6366715254873,316.63667460486096,943db8be30a510748343e3843af1705131776e9bd7894073ef682616705f999e
fixed,3,256,128,1.0,1,[],kid5k_full,3,0.3231235146522522,0.0,0.3231235146522522,0.3231235146522522,943db8be30a510748343e3843af1705131776e9bd7894073ef682616705f999e
fixed,3,256,128,1.0,2,[0.821],fid5k_full,3,88.1256096344071,1.9672459059240443e-06,88.1256073628272,88.12561077019706,943db8be30a510748343e3843af1705131776e9bd7894073ef682616705f999e
fixed,3,256,128,1.0,2,[0.821],kid5k_full,3,0.07170811295509338,0.0,0.07170811295509338,0.07170811295509338,943db8be30a510748343e3843af1705131776e9bd7894073ef682616705f999e
fixed,4,256,128,1.0,1,[],fid5k_full,3,220.6396038634675,2.7419952529998283e-06,220.6396006972841,220.6396054465592,fe6ace1e6122def4180adccc5ea463be7f06b2ed3462beb9b0d05778532f46fa
fixed,4,256,128,1.0,1,[],kid5k_full,3,0.2171778827905655,0.0,0.2171778827905655,0.2171778827905655,fe6ace1e6122def4180adccc5ea463be7f06b2ed3462beb9b0d05778532f46fa
fixed,4,256,128,1.0,2,[0.821],fid5k_full,3,52.828537168338244,4.105862710258409e-07,52.82853693128615,52.828537642442434,fe6ace1e6122def4180adccc5ea463be7f06b2ed3462beb9b0d05778532f46fa
fixed,4,256,128,1.0,2,[0.821],kid5k_full,3,0.03753798454999924,0.0,0.03753798454999924,0.03753798454999924,fe6ace1e6122def4180adccc5ea463be7f06b2ed3462beb9b0d05778532f46fa
fixed,5,256,128,1.0,1,[],fid5k_full,3,231.8577586648166,5.191808085105094e-07,231.8577583650674,231.85775926431495,1c00ac9ba0a83070d43053803ac46d37201bfb7992ba5d7e22e5da2e04f404ac
fixed,5,256,128,1.0,1,[],kid5k_full,3,0.23017355799674988,0.0,0.23017355799674988,0.23017355799674988,1c00ac9ba0a83070d43053803ac46d37201bfb7992ba5d7e22e5da2e04f404ac
fixed,5,256,128,1.0,2,[0.821],fid5k_full,3,52.812650260293374,5.791713205750223e-07,52.81264992590866,52.81265092906281,1c00ac9ba0a83070d43053803ac46d37201bfb7992ba5d7e22e5da2e04f404ac
fixed,5,256,128,1.0,2,[0.821],kid5k_full,3,0.039028044790029526,0.0,0.039028044790029526,0.039028044790029526,1c00ac9ba0a83070d43053803ac46d37201bfb7992ba5d7e22e5da2e04f404ac
global_only,3,256,128,1.1,1,[],fid5k_full,3,297.0668374304674,3.207946911878771e-06,297.06683372624934,297.0668392825764,8972c1b644c59a79fc0a261a722b6aaadce41fc1b2f50638e3186093eff52840
global_only,3,256,128,1.1,1,[],kid5k_full,3,0.3040681779384613,0.0,0.3040681779384613,0.3040681779384613,8972c1b644c59a79fc0a261a722b6aaadce41fc1b2f50638e3186093eff52840
global_only,3,256,128,1.1,2,[0.821],fid5k_full,3,76.91261500114072,1.6673830387346528e-07,76.91261490487432,76.91261519367353,8972c1b644c59a79fc0a261a722b6aaadce41fc1b2f50638e3186093eff52840
global_only,3,256,128,1.1,2,[0.821],kid5k_full,3,0.05759671702980995,0.0,0.05759671702980995,0.05759671702980995,8972c1b644c59a79fc0a261a722b6aaadce41fc1b2f50638e3186093eff52840
global_only,4,256,128,1.1,1,[],fid5k_full,3,246.02853015137842,3.5472831099888436e-06,246.02852810335355,246.02853424742813,b76edc1c70fed482e413dfe4c9e4c51dc93fcc8593ff4dc5eeb58db2bec1161d
global_only,4,256,128,1.1,1,[],kid5k_full,3,0.24633222818374634,0.0,0.24633222818374634,0.24633222818374634,b76edc1c70fed482e413dfe4c9e4c51dc93fcc8593ff4dc5eeb58db2bec1161d
global_only,4,256,128,1.1,2,[0.821],fid5k_full,3,51.643327420988115,3.6271771781121133e-07,51.64332700215777,51.643327630403284,b76edc1c70fed482e413dfe4c9e4c51dc93fcc8593ff4dc5eeb58db2bec1161d
global_only,4,256,128,1.1,2,[0.821],kid5k_full,3,0.038554560393095016,0.0,0.038554560393095016,0.038554560393095016,b76edc1c70fed482e413dfe4c9e4c51dc93fcc8593ff4dc5eeb58db2bec1161d
global_only,5,256,128,1.1,1,[],fid5k_full,3,229.2250915159823,4.918194801081069e-07,229.2250909480781,229.22509179993443,af8a7c9029659c59bf8a00b8b1e589597703c0c8449e1275f9f4d18cc193a156
global_only,5,256,128,1.1,1,[],kid5k_full,3,0.22693587839603424,0.0,0.22693587839603424,0.22693587839603424,af8a7c9029659c59bf8a00b8b1e589597703c0c8449e1275f9f4d18cc193a156
global_only,5,256,128,1.1,2,[0.821],fid5k_full,3,53.74569173894408,6.485491026659585e-07,53.745690990064084,53.74569211338408,af8a7c9029659c59bf8a00b8b1e589597703c0c8449e1275f9f4d18cc193a156
global_only,5,256,128,1.1,2,[0.821],kid5k_full,3,0.03894234448671341,0.0,0.03894234448671341,0.03894234448671341,af8a7c9029659c59bf8a00b8b1e589597703c0c8449e1275f9f4d18cc193a156
