attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,gap_over_sigmoid_gap_mean,lower_gap_clip_rate,upper_gap_clip_rate,elapsed_sec,peak_vram_gb
1,0,128.0,0.128000,17.34298038,65536,1,sigmoid,0,1,,,0,0,0,0.970468799852,0.0295312001479,1,0,0,10.783905,5.777984
2,0,256.0,0.256000,14.82715929,32768,1,sigmoid,0,1,,,0,0,0,0.970882314628,0.0291176853723,1,0,0,12.492908,2.089655
3,0,384.0,0.384000,15.05893040,16384,1,sigmoid,0,1,,,0,0,0,0.970726368543,0.029273631457,1,0,0,13.573587,2.089655
4,0,512.0,0.512000,17.17825377,8192,1,sigmoid,0,1,,,0,0,0,0.969898454871,0.0301015451293,1,0,0,14.654126,2.089655
5,0,640.0,0.640000,14.48168385,4096,1,sigmoid,0,1,,,0,0,0,0.971563955625,0.0284360443754,1,0,0,15.729782,2.089655
6,0,768.0,0.768000,13.90481830,2048,1,sigmoid,0,1,,,0,0,0,0.971982922285,0.0280170777147,1,0,0,16.806211,2.089655
7,0,896.0,0.896000,13.17128706,1024,1,sigmoid,0,1,,,0,0,0,0.972696772421,0.0273032275792,1,0,0,17.885028,2.089655
8,1,1024.0,1.024000,16.39347816,512,0,sigmoid,0,1,,,0,0,0,0.969987310751,0.0300126892493,1,0,0,19.050816,2.089655
9,2,1152.0,1.152000,16.46631622,512,0,sigmoid,0,2,,,0,0,0,0.97141755952,0.0285824404803,1,0,0,20.162428,2.507949
10,3,1280.0,1.280000,18.57465160,512,0,sigmoid,0,2,,,0,0,0,0.97214190751,0.0278580924898,1,0,0,21.236193,2.507949
11,3,1408.0,1.408000,23.65135932,512,1,sigmoid,0,2,,,0,0,0,0.970343303616,0.0296566963837,1,0,0,22.302293,2.507949
12,4,1536.0,1.536000,22.77597380,256,0,sigmoid,0,2,,,0,0,0,0.971922437602,0.0280775623981,1,0,0,23.395995,2.507949
13,5,1664.0,1.664000,16.95927703,256,0,sigmoid,0,2,,,0,0,0,0.971310699303,0.0286893006968,1,0,0,24.472456,2.507949
14,6,1792.0,1.792000,19.99184442,256,0,sigmoid,0,2,,,0,0,0,0.971336916599,0.0286630834006,1,0,0,25.550615,2.507949
15,6,1920.0,1.920000,19.99109578,256,1,sigmoid,0,2,,,0,0,0,0.972071756449,0.0279282435515,1,0,0,26.599656,2.507949
16,7,2048.0,2.048000,22.87491608,128,0,sigmoid,0,2,,,0,0,0,0.969357143974,0.0306428560255,1,0,0,27.690064,2.507949
17,8,2176.0,2.176000,19.36403561,128,0,sigmoid,0,3,,,0,0,0,0.971942301712,0.0280576982885,1,0,0,28.759705,2.507949
18,9,2304.0,2.304000,19.03779685,128,0,sigmoid,0,3,,,0,0,0,0.972682138182,0.0273178618184,1,0,0,29.833528,2.507949
19,10,2432.0,2.432000,20.18289375,128,0,sigmoid,0,3,,,0,0,0,0.971286968128,0.028713031872,1,0,0,30.901098,2.507949
20,11,2560.0,2.560000,20.76751876,128,0,sigmoid,0,3,,,0,0,0,0.971224509414,0.0287754905865,1,0,0,31.984677,2.507949
21,12,2688.0,2.688000,20.23658180,128,0,sigmoid,0,3,,,0,0,0,0.971416125782,0.0285838742176,1,0,0,33.073410,2.507949
22,13,2816.0,2.816000,18.51901758,128,0,sigmoid,0,3,,,0,0,0,0.973367189445,0.0266328105546,1,0,0,34.152352,2.507949
23,14,2944.0,2.944000,21.50564551,128,0,sigmoid,0,3,,,0,0,0,0.970135577084,0.0298644229159,1,0,0,35.248430,2.507949
24,15,3072.0,3.072000,21.61179733,128,0,sigmoid,0,3,,,0,0,0,0.970241149612,0.0297588503884,1,0,0,36.336530,2.507949
25,16,3200.0,3.200000,20.06591249,128,0,sigmoid,0,4,,,0,0,0,0.971988990216,0.0280110097841,1,0,0,37.419379,2.507949
26,17,3328.0,3.328000,18.86971641,128,0,sigmoid,0,4,,,0,0,0,0.972939240949,0.0270607590515,1,0,0,38.503292,2.507949
27,18,3456.0,3.456000,20.83767903,128,0,sigmoid,0,4,,,0,0,0,0.971540242674,0.0284597573265,1,0,0,39.589485,2.507949
28,19,3584.0,3.584000,23.26504040,128,0,sigmoid,0,4,,,0,0,0,0.970130036059,0.029869963941,1,0,0,40.672621,2.507949
29,20,3712.0,3.712000,21.97389340,128,0,sigmoid,0,4,,,0,0,0,0.969775751198,0.0302242488024,1,0,0,41.757690,2.507949
30,21,3840.0,3.840000,20.97688437,128,0,sigmoid,0,4,,,0,0,0,0.970833933837,0.0291660661627,1,0,0,42.844283,2.507949
