attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,gap_over_sigmoid_gap_mean,lower_gap_clip_rate,upper_gap_clip_rate,elapsed_sec,peak_vram_gb
1,0,128.0,0.128000,16.22700214,65536,1,global_sigmoid,0,1,,,0.1,0,0,0.9672634232,0.0327365768004,1.09999998055,0,0,10.894087,5.777862
2,0,256.0,0.256000,14.19208837,32768,1,global_sigmoid,0,1,,,0.1,0,0,0.968280541039,0.0317194589613,1.09999982851,0,0,12.534551,2.094721
3,0,384.0,0.384000,13.62713575,16384,1,global_sigmoid,0,1,,,0.1,0,0,0.970247781664,0.0297522183365,1.09999993268,0,0,13.538833,2.094721
4,0,512.0,0.512000,14.14623809,8192,1,global_sigmoid,0,1,,,0.1,0,0,0.969175176598,0.0308248234022,1.09999990812,0,0,14.548123,2.094721
5,0,640.0,0.640000,14.04454005,4096,1,global_sigmoid,0,1,,,0.1,0,0,0.970953113761,0.0290468862394,1.09999991217,0,0,15.609486,2.094721
6,0,768.0,0.768000,16.34436393,2048,1,global_sigmoid,0,1,,,0.1,0,0,0.968143110021,0.0318568899786,1.09999996484,0,0,16.665667,2.094721
7,0,896.0,0.896000,14.05144417,1024,1,global_sigmoid,0,1,,,0.1,0,0,0.969541835275,0.0304581647254,1.09999994502,0,0,17.708975,2.094721
8,1,1024.0,1.024000,14.58143365,512,0,global_sigmoid,0,1,,,0.1,0,0,0.969744038673,0.0302559613271,1.09999995098,0,0,18.847286,2.094721
9,2,1152.0,1.152000,16.55480373,512,0,global_sigmoid,0,2,,,0.1,0,0,0.967012812782,0.0329871872177,1.09999986224,0,0,19.921349,2.511856
10,3,1280.0,1.280000,16.90937507,512,0,global_sigmoid,0,2,,,0.1,0,0,0.969211134223,0.0307888657774,1.1000000839,0,0,20.998153,2.511856
11,4,1408.0,1.408000,17.37553596,512,0,global_sigmoid,0,2,,,0.1,0,0,0.968606628873,0.0313933711269,1.10000026342,0,0,22.075550,2.511856
12,5,1536.0,1.536000,15.87771702,512,0,global_sigmoid,0,2,,,0.1,0,0,0.969128721304,0.0308712786964,1.10000017634,0,0,23.154021,2.511856
13,6,1664.0,1.664000,17.49257135,512,0,global_sigmoid,0,2,,,0.1,0,0,0.968009852867,0.0319901471326,1.10000013051,0,0,24.228024,2.511856
14,7,1792.0,1.792000,15.63759267,512,0,global_sigmoid,0,2,,,0.1,0,0,0.969433815916,0.0305661840838,1.10000011996,0,0,25.304826,2.511856
15,8,1920.0,1.920000,16.56017995,512,0,global_sigmoid,0,2,,,0.1,0,0,0.969705305943,0.0302946940572,1.100000227,0,0,26.380182,2.511856
16,9,2048.0,2.048000,16.78121769,512,0,global_sigmoid,0,2,,,0.1,0,0,0.968857045096,0.031142954904,1.09999991914,0,0,27.473573,2.511856
17,10,2176.0,2.176000,17.05223691,512,0,global_sigmoid,0,3,,,0.1,0,0,0.969221404869,0.030778595131,1.10000006586,0,0,28.531168,2.511856
18,11,2304.0,2.304000,15.08293653,512,0,global_sigmoid,0,3,,,0.1,0,0,0.969920283685,0.0300797163151,1.10000019671,0,0,29.604675,2.511856
19,12,2432.0,2.432000,17.99234426,512,0,global_sigmoid,0,3,,,0.1,0,0,0.968154192604,0.0318458073956,1.09999985997,0,0,30.679508,2.511856
20,13,2560.0,2.560000,17.29706001,512,0,global_sigmoid,0,3,,,0.1,0,0,0.967521800033,0.0324781999674,1.10000007536,0,0,31.755004,2.511856
21,14,2688.0,2.688000,17.78272462,512,0,global_sigmoid,0,3,,,0.1,0,0,0.966581697366,0.0334183026341,1.09999995548,0,0,32.828263,2.511856
22,15,2816.0,2.816000,17.10787463,512,0,global_sigmoid,0,3,,,0.1,0,0,0.968382744033,0.0316172559666,1.10000015983,0,0,33.903455,2.511856
23,16,2944.0,2.944000,17.44119632,512,0,global_sigmoid,0,3,,,0.1,0,0,0.967795469032,0.0322045309681,1.09999983387,0,0,34.978363,2.511856
24,17,3072.0,3.072000,14.89667988,512,0,global_sigmoid,0,3,,,0.1,0,0,0.970605633968,0.0293943660319,1.10000005036,0,0,36.049569,2.511856
