attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
1,0,128.0,0.128000,16.52458417,65536,1,sigmoid,0,1,,,0,0,0,0.969651779613,0.0303482203868,8.710110,5.776886
2,0,256.0,0.256000,14.81773996,32768,1,sigmoid,0,1,,,0,0,0,0.971805403391,0.0281945966094,10.045336,2.084895
3,0,384.0,0.384000,16.32005453,16384,1,sigmoid,0,1,,,0,0,0,0.9695466099,0.0304533901001,10.825879,2.084895
4,0,512.0,0.512000,15.31342602,8192,1,sigmoid,0,1,,,0,0,0,0.971642126821,0.0283578731787,11.596232,2.084895
5,0,640.0,0.640000,14.22922146,4096,1,sigmoid,0,1,,,0,0,0,0.971958406812,0.0280415931884,12.364203,2.084895
6,0,768.0,0.768000,18.50487566,2048,1,sigmoid,0,1,,,0,0,0,0.969524823007,0.0304751769928,13.139555,2.084895
7,0,896.0,0.896000,14.65284646,1024,1,sigmoid,0,1,,,0,0,0,0.971535683969,0.0284643160307,13.931936,2.084895
8,1,1024.0,1.024000,15.17306733,512,0,sigmoid,0,1,,,0,0,0,0.970648828509,0.0293511714913,14.773928,2.084895
9,2,1152.0,1.152000,17.91154027,512,0,sigmoid,0,2,,,0,0,0,0.970638746839,0.0293612531608,15.576313,2.503250
10,2,1280.0,1.280000,17.48107910,512,1,sigmoid,0,2,,,0,0,0,0.97160559529,0.0283944047104,16.342972,2.503250
11,3,1408.0,1.408000,20.05188179,256,0,sigmoid,0,2,,,0,0,0,0.969410632075,0.0305893679253,17.114714,2.503250
12,4,1536.0,1.536000,26.20573568,256,0,sigmoid,0,2,,,0,0,0,0.970924487872,0.029075512128,17.861645,2.503250
13,5,1664.0,1.664000,24.06202054,256,0,sigmoid,0,2,,,0,0,0,0.972642296188,0.0273577038119,18.598314,2.503250
14,6,1792.0,1.792000,26.78679085,256,0,sigmoid,0,2,,,0,0,0,0.969755340621,0.0302446593786,19.323696,2.503250
15,7,1920.0,1.920000,22.89119887,256,0,sigmoid,0,2,,,0,0,0,0.972070374613,0.0279296253874,20.051175,2.503250
16,8,2048.0,2.048000,23.25136471,256,0,sigmoid,0,2,,,0,0,0,0.972400756914,0.0275992430862,20.784166,2.503250
17,9,2176.0,2.176000,24.11915231,256,0,sigmoid,0,3,,,0,0,0,0.971575033625,0.0284249663753,21.509114,2.503250
18,10,2304.0,2.304000,24.25122404,256,0,sigmoid,0,3,,,0,0,0,0.970984006587,0.0290159934126,22.237368,2.503250
19,11,2432.0,2.432000,23.89814687,256,0,sigmoid,0,3,,,0,0,0,0.971761752866,0.0282382471343,22.964709,2.503250
20,12,2560.0,2.560000,24.54664826,256,0,sigmoid,0,3,,,0,0,0,0.970596733055,0.0294032669453,23.724974,2.503250
21,13,2688.0,2.688000,23.79392266,256,0,sigmoid,0,3,,,0,0,0,0.971029678479,0.0289703215209,24.461563,2.503250
22,14,2816.0,2.816000,25.92859912,256,0,sigmoid,0,3,,,0,0,0,0.96977261979,0.0302273802103,25.204643,2.503250
23,15,2944.0,2.944000,21.73456097,256,0,sigmoid,0,3,,,0,0,0,0.97261762966,0.0273823703405,25.934005,2.503250
24,16,3072.0,3.072000,23.50026083,256,0,sigmoid,0,3,,,0,0,0,0.971311657463,0.0286883425371,26.660562,2.503250
25,17,3200.0,3.200000,24.98206878,256,0,sigmoid,0,4,,,0,0,0,0.970297786827,0.0297022131726,27.391117,2.503250
26,18,3328.0,3.328000,24.46545577,256,0,sigmoid,0,4,,,0,0,0,0.971081426722,0.0289185732776,28.133097,2.503250
27,19,3456.0,3.456000,25.41663599,256,0,sigmoid,0,4,,,0,0,0,0.9702524194,0.0297475805999,28.866796,2.503250
28,20,3584.0,3.584000,25.49665618,256,0,sigmoid,0,4,,,0,0,0,0.969960677171,0.0300393228288,29.619104,2.503250
29,21,3712.0,3.712000,22.91797447,256,0,sigmoid,0,4,,,0,0,0,0.9718378988,0.0281621011995,30.401682,2.503250
30,22,3840.0,3.840000,24.64093518,256,0,sigmoid,0,4,,,0,0,0,0.970336252419,0.0296637475811,31.154099,2.503250
31,23,3968.0,3.968000,24.67509198,256,0,sigmoid,0,4,,,0,0,0,0.971084215622,0.0289157843782,31.893626,2.503250
32,24,4096.0,4.096000,22.27374935,256,0,sigmoid,0,5,,,0,0,0,0.971908929911,0.0280910700889,32.627042,2.503250
