attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
1,0,128.0,0.128000,16.46615648,65536,1,global_sigmoid,0,1,,,0.1,0,0,0.966616953961,0.0333830460387,8.182877,5.777679
2,0,256.0,0.256000,14.79567587,32768,1,global_sigmoid,0,1,,,0.1,0,0,0.968985942491,0.0310140575092,9.436930,2.086741
3,0,384.0,0.384000,16.28606951,16384,1,global_sigmoid,0,1,,,0.1,0,0,0.966501267448,0.0334987325518,10.167382,2.086741
4,0,512.0,0.512000,15.25283372,8192,1,global_sigmoid,0,1,,,0.1,0,0,0.968806341884,0.0311936581155,10.889792,2.086741
5,0,640.0,0.640000,14.18069029,4096,1,global_sigmoid,0,1,,,0.1,0,0,0.969154247049,0.030845752951,11.615168,2.086741
6,0,768.0,0.768000,18.43874168,2048,1,global_sigmoid,0,1,,,0.1,0,0,0.966477305629,0.033522694371,12.356550,2.086741
7,0,896.0,0.896000,14.61830783,1024,1,global_sigmoid,0,1,,,0.1,0,0,0.968689251681,0.0313107483186,13.077624,2.086741
8,1,1024.0,1.024000,15.14415705,512,0,global_sigmoid,0,1,,,0.1,0,0,0.967713711913,0.0322862880868,13.867129,2.086741
9,2,1152.0,1.152000,17.10892570,512,0,global_sigmoid,0,2,,,0.1,0,0,0.967702622779,0.0322973772209,14.612612,2.502289
10,3,1280.0,1.280000,16.62000978,512,0,global_sigmoid,0,2,,,0.1,0,0,0.968766152917,0.0312338470831,15.352648,2.502289
11,4,1408.0,1.408000,27.50712180,512,0,global_sigmoid,0,2,,,0.1,0,0,0.966351698556,0.0336483014437,16.086720,2.502289
12,5,1536.0,1.536000,25.68093944,512,0,global_sigmoid,0,2,,,0.1,0,0,0.968016937932,0.0319830620682,16.843510,2.502289
13,6,1664.0,1.664000,20.32526565,512,0,global_sigmoid,0,2,,,0.1,0,0,0.969906524896,0.0300934751042,17.579699,2.502289
14,7,1792.0,1.792000,22.86098170,512,0,global_sigmoid,0,2,,,0.1,0,0,0.966730871786,0.0332691282142,18.316236,2.502289
15,8,1920.0,1.920000,19.98521566,512,0,global_sigmoid,0,2,,,0.1,0,0,0.96927741162,0.03072258838,19.056216,2.502289
16,8,2048.0,2.048000,20.49331188,512,1,global_sigmoid,0,2,,,0.1,0,0,0.969640833139,0.0303591668609,19.789458,2.502289
17,9,2176.0,2.176000,21.20883632,256,0,global_sigmoid,0,3,,,0.1,0,0,0.968732538013,0.0312674619866,20.547820,2.502289
18,10,2304.0,2.304000,21.64985657,256,0,global_sigmoid,0,3,,,0.1,0,0,0.968082405753,0.0319175942466,21.296341,2.502289
19,11,2432.0,2.432000,20.78130388,256,0,global_sigmoid,0,3,,,0.1,0,0,0.968937926463,0.0310620735374,22.031447,2.502289
20,12,2560.0,2.560000,21.68337107,256,0,global_sigmoid,0,3,,,0.1,0,0,0.967656406056,0.0323435939442,22.764224,2.502289
21,13,2688.0,2.688000,21.17243004,256,0,global_sigmoid,0,3,,,0.1,0,0,0.968132643941,0.0318673560592,23.519181,2.502289
22,14,2816.0,2.816000,22.71491003,256,0,global_sigmoid,0,3,,,0.1,0,0,0.966749881355,0.0332501186449,24.254254,2.502289
23,15,2944.0,2.944000,19.42206168,256,0,global_sigmoid,0,3,,,0.1,0,0,0.969879393046,0.0301206069541,24.986734,2.502289
24,16,3072.0,3.072000,21.12443376,256,0,global_sigmoid,0,3,,,0.1,0,0,0.96844282717,0.0315571728302,25.719943,2.502289
25,17,3200.0,3.200000,21.95941663,256,0,global_sigmoid,0,4,,,0.1,0,0,0.967327565466,0.032672434534,26.458541,2.502289
26,18,3328.0,3.328000,21.65062714,256,0,global_sigmoid,0,4,,,0.1,0,0,0.968189569103,0.0318104308974,27.204226,2.502289
27,19,3456.0,3.456000,22.03512383,256,0,global_sigmoid,0,4,,,0.1,0,0,0.967277660223,0.0327223397768,27.936493,2.502289
28,20,3584.0,3.584000,22.79147029,256,0,global_sigmoid,0,4,,,0.1,0,0,0.966956745675,0.0330432543254,28.676381,2.502289
29,21,3712.0,3.712000,20.26850891,256,0,global_sigmoid,0,4,,,0.1,0,0,0.969021691991,0.0309783080087,29.410157,2.502289
30,22,3840.0,3.840000,21.28901386,256,0,global_sigmoid,0,4,,,0.1,0,0,0.967369876381,0.0326301236186,30.143301,2.502289
31,23,3968.0,3.968000,21.53001881,256,0,global_sigmoid,0,4,,,0.1,0,0,0.968192636088,0.0318073639118,30.885727,2.502289
32,24,4096.0,4.096000,19.90813899,256,0,global_sigmoid,0,5,,,0.1,0,0,0.96909982374,0.0309001762604,31.629461,2.502289
