seed,arm,run_group,state_role,milestone_kimg,state_path,sha256,size_bytes,reproducibility_schema,trajectory_config_sha256,attempted_iteration,successful_optimizer_steps,cur_nimg,cur_tick,schedule,stage,schedule_ratio,world_size,sampler_consumed_samples_per_rank,rng_state_complete,optimizer_state_present,power_ema_state_present,exact_load_recorded,pair_config_match_excluding_global_gap_scale
101,IA,B,resume_parent,8960,runs/seed101/IA/training-state-kimg008960.pt,99a9878f53c05bafdc7cecf9c104bc8b50f2ed36d3c6f579d65426da8a1dfc64,7860172861,ect.exact-training-state/v1,e1e84b97f05e2f1b9f23666c5d1adbe305a7f9f0451111821dcc03659283cfe8,70000,70000,8960000,1400,global_sigmoid,2,0.984375,2,4480000,true,true,true,true,true
101,IA,B,archived_exact_resume_point,10240,runs/seed101/IA/training-state-kimg010240.pt,ca5d4f5bf99ea5badd031819d5eb4e01a9f76162b2be256e0cfcefe90cf794f9,7860172861,ect.exact-training-state/v1,e1e84b97f05e2f1b9f23666c5d1adbe305a7f9f0451111821dcc03659283cfe8,80000,80000,10240000,1600,global_sigmoid,3,0.99609375,2,5120000,true,true,true,false,true
101,IB,A,resume_parent,7680,runs/seed101/IB/training-state-kimg007680.pt,43f7d018db66b9bb8247a3d37c9defd1b8e9652b3e45c17e699f2ad339ef9dbb,7860172861,ect.exact-training-state/v1,952bb82b1c5efe6fe794a6321d3129f3e52035344ae893a5d5c8e5e2e2614376,60000,60000,7680000,1200,global_sigmoid,2,0.984375,2,3840000,true,true,true,true,true
101,IB,A,archived_exact_resume_point,10240,runs/seed101/IB/training-state-kimg010240.pt,55b13a4f46128be5e3545317a2690dafdf6a1d24e9398f5a6c8e4d05c276910c,7860172861,ect.exact-training-state/v1,952bb82b1c5efe6fe794a6321d3129f3e52035344ae893a5d5c8e5e2e2614376,80000,80000,10240000,1600,global_sigmoid,3,0.99609375,2,5120000,true,true,true,false,true
102,IA,B,resume_parent,8960,runs/seed102/IA/training-state-kimg008960.pt,88f066d1c6df16b173756346dbd4c07ba197d7d03471bf89c1c9afac09c2f2cb,7860172925,ect.exact-training-state/v1,8f2494e454c4ad0ccbb70fcc7554879a3b4a5d941758c8e58f6a0cc1d4f7080e,70000,70000,8960000,1400,global_sigmoid,2,0.984375,2,4480000,true,true,true,true,true
102,IA,B,archived_exact_resume_point,10240,runs/seed102/IA/training-state-kimg010240.pt,7a7382f069b1236e2e89c11d77ad3baa167ee29e5c9b12d7eac2e396e620da7a,7860172925,ect.exact-training-state/v1,8f2494e454c4ad0ccbb70fcc7554879a3b4a5d941758c8e58f6a0cc1d4f7080e,80000,80000,10240000,1600,global_sigmoid,3,0.99609375,2,5120000,true,true,true,false,true
102,IB,B,resume_parent,8960,runs/seed102/IB/training-state-kimg008960.pt,3dd855a168ab4fbab1f33d9a1a86be8d816119f18bcac542fdc527632cc75d1d,7860172925,ect.exact-training-state/v1,573a3d7bb4720219afaa5f4726768aedb81d72aa7e3d75149a8339dfbc92670c,70000,70000,8960000,1400,global_sigmoid,2,0.984375,2,4480000,true,true,true,true,true
102,IB,B,archived_exact_resume_point,10240,runs/seed102/IB/training-state-kimg010240.pt,0ef6c43ee8b3c40fd1d20439a4232ac6db46001cc81cf156c2856a290ff27d0a,7860172925,ect.exact-training-state/v1,573a3d7bb4720219afaa5f4726768aedb81d72aa7e3d75149a8339dfbc92670c,80000,80000,10240000,1600,global_sigmoid,3,0.99609375,2,5120000,true,true,true,false,true
103,IA,A,resume_parent,7680,runs/seed103/IA/training-state-kimg007680.pt,5bea32b9891ed85cc3bb18dcba5c78131a05a78ad1e9ec6abd5874adecb7a8aa,7860172925,ect.exact-training-state/v1,9ce2bd8b35b7d449970cd76fe21f85160bea5c48fa612cdfca3b96d7038a6b9a,60000,60000,7680000,1200,global_sigmoid,2,0.984375,2,3840000,true,true,true,true,true
103,IA,A,archived_exact_resume_point,10240,runs/seed103/IA/training-state-kimg010240.pt,96b2bcbcd0bad355830e28e20fafcc48f78f9be54673018e4c21417182dad95d,7860172925,ect.exact-training-state/v1,9ce2bd8b35b7d449970cd76fe21f85160bea5c48fa612cdfca3b96d7038a6b9a,80000,80000,10240000,1600,global_sigmoid,3,0.99609375,2,5120000,true,true,true,false,true
103,IB,A,resume_parent,7680,runs/seed103/IB/training-state-kimg007680.pt,0098807d3636f1d568af891113db0269d4a9bfabe5b648a60b29ac127cab6d9e,7860172925,ect.exact-training-state/v1,533cb9beb6d5ceeddf9f52badf8f18d0fa6de5db0b58030cc3764eb3668e3710,60000,60000,7680000,1200,global_sigmoid,2,0.984375,2,3840000,true,true,true,true,true
103,IB,A,archived_exact_resume_point,10240,runs/seed103/IB/training-state-kimg010240.pt,aab4e740ce39b6ec5973515ee947743010feeac472a474fa23cdbfd031cdef27,7860172925,ect.exact-training-state/v1,533cb9beb6d5ceeddf9f52badf8f18d0fa6de5db0b58030cc3764eb3668e3710,80000,80000,10240000,1600,global_sigmoid,3,0.99609375,2,5120000,true,true,true,false,true
