evidence_class,phase,checkpoint_id,method,training_seed,budget_kimg,checkpoint_sha256,integrity_receipt_status,nfe,mid_t,metric_name,metric_value,generated_sample_count,generation_seed_range,metric_seed,dataset_sha256,evaluation_git_commit,run_id,record_status
retrospective_supplementary,retrospective,q128-1024k-seed3-fixed,fixed,3,1024,78f386d03701e57cc99776f7ed4138572f4acbce4f3077d30fb381a765329037,unavailable,1,[],kid50k_full,0.003164096502587199,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed3-fixed-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed3-fixed,fixed,3,1024,78f386d03701e57cc99776f7ed4138572f4acbce4f3077d30fb381a765329037,unavailable,1,[],fid50k_full,6.5980769697984805,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed3-fixed-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed3-fixed,fixed,3,1024,78f386d03701e57cc99776f7ed4138572f4acbce4f3077d30fb381a765329037,unavailable,2,[0.821],kid50k_full,0.000697905314154923,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed3-fixed-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed3-fixed,fixed,3,1024,78f386d03701e57cc99776f7ed4138572f4acbce4f3077d30fb381a765329037,unavailable,2,[0.821],fid50k_full,2.6713679245179587,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed3-fixed-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed3-global110,global110,3,1024,6af085431b4a5fe1d1fbfd5927740cca086e5dfdbb3f87b2706523e9d5cb7f09,unavailable,1,[],kid50k_full,0.0022231785114854574,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed3-global110-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed3-global110,global110,3,1024,6af085431b4a5fe1d1fbfd5927740cca086e5dfdbb3f87b2706523e9d5cb7f09,unavailable,1,[],fid50k_full,5.062724835004097,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed3-global110-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed3-global110,global110,3,1024,6af085431b4a5fe1d1fbfd5927740cca086e5dfdbb3f87b2706523e9d5cb7f09,unavailable,2,[0.821],kid50k_full,0.0006999487522989511,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed3-global110-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed3-global110,global110,3,1024,6af085431b4a5fe1d1fbfd5927740cca086e5dfdbb3f87b2706523e9d5cb7f09,unavailable,2,[0.821],fid50k_full,2.6223008028069996,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed3-global110-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed4-fixed,fixed,4,1024,036f4876747e95332ad79525900b77a79f402512710b495dc0f75c9e3cf0ea28,unavailable,1,[],kid50k_full,0.002678920980542898,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed4-fixed-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed4-fixed,fixed,4,1024,036f4876747e95332ad79525900b77a79f402512710b495dc0f75c9e3cf0ea28,unavailable,1,[],fid50k_full,5.835167354787582,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed4-fixed-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed4-fixed,fixed,4,1024,036f4876747e95332ad79525900b77a79f402512710b495dc0f75c9e3cf0ea28,unavailable,2,[0.821],kid50k_full,0.0006890282966196537,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed4-fixed-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed4-fixed,fixed,4,1024,036f4876747e95332ad79525900b77a79f402512710b495dc0f75c9e3cf0ea28,unavailable,2,[0.821],fid50k_full,2.7296688213611247,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed4-fixed-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed4-global110,global110,4,1024,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,unavailable,1,[],kid50k_full,0.002406555227935314,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed4-global110-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed4-global110,global110,4,1024,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,unavailable,1,[],fid50k_full,5.243609864179344,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed4-global110-nfe1,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed4-global110,global110,4,1024,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,unavailable,2,[0.821],kid50k_full,0.0004897656035609543,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed4-global110-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed4-global110,global110,4,1024,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,unavailable,2,[0.821],fid50k_full,2.4294324241626413,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed4-global110-nfe2,reported_unverified
retrospective_supplementary,retrospective,q128-1024k-seed5-fixed,fixed,5,1024,18c9a3984a0ff37895b429e0d6069ea6f10b79088b5a9f45248bcacaaf03302e,unavailable,1,[],kid50k_full,0.002068317960947752,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,q128-1024k-reported-seed5-fixed-nfe1,reported_unverified
