training_seed,budget_kimg,nfe,metric,fixed_checkpoint_id,global_only_checkpoint_id,fixed_checkpoint_sha256,global_only_checkpoint_sha256,fixed_value,global_only_value,delta,winner
3,1024,1,fid50k_full,q128-1024k-seed3-fixed,q128-1024k-seed3-global110,78f386d03701e57cc99776f7ed4138572f4acbce4f3077d30fb381a765329037,6af085431b4a5fe1d1fbfd5927740cca086e5dfdbb3f87b2706523e9d5cb7f09,6.5980769697984805,5.062724835004097,-1.5353521347943833,global_only
3,1024,1,kid50k_full,q128-1024k-seed3-fixed,q128-1024k-seed3-global110,78f386d03701e57cc99776f7ed4138572f4acbce4f3077d30fb381a765329037,6af085431b4a5fe1d1fbfd5927740cca086e5dfdbb3f87b2706523e9d5cb7f09,0.003164096502587199,0.0022231785114854574,-0.0009409179911017418,global_only
3,1024,2,fid50k_full,q128-1024k-seed3-fixed,q128-1024k-seed3-global110,78f386d03701e57cc99776f7ed4138572f4acbce4f3077d30fb381a765329037,6af085431b4a5fe1d1fbfd5927740cca086e5dfdbb3f87b2706523e9d5cb7f09,2.6713679245179587,2.6223008028069996,-0.04906712171095906,global_only
3,1024,2,kid50k_full,q128-1024k-seed3-fixed,q128-1024k-seed3-global110,78f386d03701e57cc99776f7ed4138572f4acbce4f3077d30fb381a765329037,6af085431b4a5fe1d1fbfd5927740cca086e5dfdbb3f87b2706523e9d5cb7f09,0.000697905314154923,0.0006999487522989511,2.043438144028187e-06,fixed
4,1024,1,fid50k_full,q128-1024k-seed4-fixed,q128-1024k-seed4-global110,036f4876747e95332ad79525900b77a79f402512710b495dc0f75c9e3cf0ea28,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,5.835167354787582,5.243609864179344,-0.5915574906082375,global_only
4,1024,1,kid50k_full,q128-1024k-seed4-fixed,q128-1024k-seed4-global110,036f4876747e95332ad79525900b77a79f402512710b495dc0f75c9e3cf0ea28,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,0.002678920980542898,0.002406555227935314,-0.000272365752607584,global_only
4,1024,2,fid50k_full,q128-1024k-seed4-fixed,q128-1024k-seed4-global110,036f4876747e95332ad79525900b77a79f402512710b495dc0f75c9e3cf0ea28,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,2.7296688213611247,2.4294324241626413,-0.3002363971984834,global_only
4,1024,2,kid50k_full,q128-1024k-seed4-fixed,q128-1024k-seed4-global110,036f4876747e95332ad79525900b77a79f402512710b495dc0f75c9e3cf0ea28,ecf3f63cb0ec4b41a260d8873435fe02dfea43f574a07e23f5fa434b4e309380,0.0006890282966196537,0.0004897656035609543,-0.00019926269305869937,global_only
5,1024,1,fid50k_full,q128-1024k-seed5-fixed,q128-1024k-seed5-global110,18c9a3984a0ff37895b429e0d6069ea6f10b79088b5a9f45248bcacaaf03302e,cf599e475d7198aa2f90e5ee38912432f17a106195ee379c0336436b5416bc97,5.055956113653581,4.9734133308198185,-0.08254278283376237,global_only
5,1024,1,kid50k_full,q128-1024k-seed5-fixed,q128-1024k-seed5-global110,18c9a3984a0ff37895b429e0d6069ea6f10b79088b5a9f45248bcacaaf03302e,cf599e475d7198aa2f90e5ee38912432f17a106195ee379c0336436b5416bc97,0.002068317960947752,0.0020205785986036062,-4.7739362344145775e-05,global_only
5,1024,2,fid50k_full,q128-1024k-seed5-fixed,q128-1024k-seed5-global110,18c9a3984a0ff37895b429e0d6069ea6f10b79088b5a9f45248bcacaaf03302e,cf599e475d7198aa2f90e5ee38912432f17a106195ee379c0336436b5416bc97,2.7524323159134365,2.7214836580560435,-0.03094865785739298,global_only
5,1024,2,kid50k_full,q128-1024k-seed5-fixed,q128-1024k-seed5-global110,18c9a3984a0ff37895b429e0d6069ea6f10b79088b5a9f45248bcacaaf03302e,cf599e475d7198aa2f90e5ee38912432f17a106195ee379c0336436b5416bc97,0.0006649047718383372,0.0006578808533959091,-7.023918442428112e-06,global_only
