arm,nfe,aulc_mean,aulc_median,aulc_min,aulc_max,fid1024_mean,fid1024_median,fid1024_min,fid1024_max,kid1024_mean,kid1024_median,kid1024_min,kid1024_max
A,1,3.1796771763873597,3.191040968016072,3.1477888769326507,3.2002016842133565,8.798337079912766,8.766631767906897,8.16701217793773,9.46136729389367,0.005566366957791119,0.005642408145645605,0.005051615733233243,0.006005076994494507
A,2,1.8979562565552834,1.907224663407635,1.8629727857433822,1.923671320514833,2.9818329033213753,3.00435559067799,2.9170978657673303,3.024045253518805,0.0011047814431097943,0.0010962769444444757,0.0010394575275275155,0.0011786098573573918
Bsame,1,3.199707611011914,3.1894323877922006,3.1716421834406052,3.238048261802936,8.517854909322182,8.412190637104143,8.381098863863588,8.760275226998814,0.005372591343843853,0.0053275119619619685,0.005245519441941938,0.005544742627627652
Bsame,2,1.8727446191271688,1.8722619619634688,1.8497625695252082,1.8962093258928292,2.956492865684971,2.984276917133206,2.885186645701637,3.0000150342200698,0.0010852749149149472,0.0010985576276276517,0.0010327727077077452,0.0011244944094094445
Bmatch,1,3.261911057409112,3.1720632891571103,3.1640733295587036,3.4495965535115225,8.084147980631657,7.890400035321312,7.818081056388162,8.5439628501855,0.004928026365532187,0.004898058188188197,0.004781169592092083,0.005104851316316281
Bmatch,2,1.949156255454043,1.857950867178651,1.798755138836845,2.1907627603466326,2.7494469851766166,2.7557738889442924,2.7260878756227527,2.766479190962804,0.0009580647706039477,0.0009575834334334104,0.0009328737562562719,0.000983737122122161
Cmatch,1,3.129059725462909,3.1292192260654565,3.1135981231454113,3.14436182717786,7.4466703327727055,7.384654562821979,7.363846397111429,7.591510038384708,0.004426017460794133,0.00430929720720721,0.004302724036536557,0.004666031138638632
Cmatch,2,1.8466189914364968,1.8680650248361121,1.7911236553548673,1.880668294118511,2.816253725383536,2.8233130975724765,2.7856235619351692,2.839824516642962,0.000964629953286623,0.0009766465940941043,0.0009215274649649655,0.000995715800800799
Dmatch,1,3.4220464779572226,3.4537903306321702,3.289283092056013,3.5230660111834844,9.904375627368196,10.31284959353536,8.838234648644324,10.562042639924904,0.00631308156156156,0.006691634206706708,0.005529854379379376,0.006717756098598597
Dmatch,2,2.232635397432575,2.2587382839907857,1.9580886137566555,2.481079294550283,2.974715424021165,2.9574793402055057,2.941791256903316,3.0248756749546732,0.001134674739739753,0.0011556671796796854,0.0010821958458458675,0.0011661611936937062
