contrast,nfe,mean,median,min,max,negative_seeds,positive_seeds
Bmatch-Bsame,1,0.06220344639719825,0.0004211057165051102,-0.025359058233497045,0.2115482917085867,1,2
Bmatch-A,1,0.08223388102175244,0.024274412224459585,-0.02696763845736827,0.249394869298166,1,2
Bsame-A,1,0.02003043462455419,0.023853306507954475,-0.0016085802238712255,0.03784657758957932,1,2
Cmatch-A,1,-0.050617450924450434,-0.05583985703549654,-0.061821741950615294,-0.03419075378723946,3,0
Dmatch-A,1,0.24236930156986292,0.25358864641881373,0.09824212403994137,0.37527713425083364,0,3
interaction,1,-0.10951796962366005,-0.06338802054669435,-0.3168119682391346,0.05164607991484882,2,1
Bmatch-Bsame,2,0.07641163632687416,-0.0382584587141781,-0.05100743068836322,0.3185007983831638,2,1
Bmatch-A,2,0.05119999889875948,-0.0642176469065372,-0.06572045333618193,0.28353809693899756,2,1
Bsame-A,2,-0.02521163742811468,-0.027461994622003827,-0.034962701444166244,-0.013210216218173976,3,0
Cmatch-A,2,-0.05133726511878659,-0.04300302639632192,-0.1161010080527678,0.005092239092729933,2,1
Dmatch-A,2,0.33467914087729134,0.3957654982474035,0.03441729324182252,0.573854631142648,0,3
interaction,2,-0.2321418768597454,-0.17421552615088287,-0.46507538424667083,-0.05713472018168253,3,0
