seed,arm,nfe,aulc_log_fid
3,A,1,3.2002016842133565
3,A,2,1.907224663407635
3,Bsame,1,3.238048261802936
3,Bsame,2,1.8722619619634688
3,Bmatch,1,3.4495965535115225
3,Bmatch,2,2.1907627603466326
3,Cmatch,1,3.14436182717786
3,Cmatch,2,1.7911236553548673
3,Dmatch,1,3.4537903306321702
3,Dmatch,2,2.481079294550283
4,A,1,3.1477888769326507
4,A,2,1.8629727857433822
4,Bsame,1,3.1716421834406052
4,Bsame,2,1.8497625695252082
4,Bmatch,1,3.1720632891571103
4,Bmatch,2,1.798755138836845
4,Cmatch,1,3.1135981231454113
4,Cmatch,2,1.8680650248361121
4,Dmatch,1,3.5230660111834844
4,Dmatch,2,2.2587382839907857
5,A,1,3.191040968016072
5,A,2,1.923671320514833
5,Bsame,1,3.1894323877922006
5,Bsame,2,1.8962093258928292
5,Bmatch,1,3.1640733295587036
5,Bmatch,2,1.857950867178651
5,Cmatch,1,3.1292192260654565
5,Cmatch,2,1.880668294118511
5,Dmatch,1,3.289283092056013
5,Dmatch,2,1.9580886137566555
