contrast,nfe,seed,delta_aulc
Bmatch-Bsame,1,3,0.2115482917085867
Bmatch-Bsame,1,4,0.0004211057165051102
Bmatch-Bsame,1,5,-0.025359058233497045
Bmatch-A,1,3,0.249394869298166
Bmatch-A,1,4,0.024274412224459585
Bmatch-A,1,5,-0.02696763845736827
Bsame-A,1,3,0.03784657758957932
Bsame-A,1,4,0.023853306507954475
Bsame-A,1,5,-0.0016085802238712255
Cmatch-A,1,3,-0.05583985703549654
Cmatch-A,1,4,-0.03419075378723946
Cmatch-A,1,5,-0.061821741950615294
Dmatch-A,1,3,0.25358864641881373
Dmatch-A,1,4,0.37527713425083364
Dmatch-A,1,5,0.09824212403994137
interaction,1,3,0.05164607991484882
interaction,1,4,-0.3168119682391346
interaction,1,5,-0.06338802054669435
Bmatch-Bsame,2,3,0.3185007983831638
Bmatch-Bsame,2,4,-0.05100743068836322
Bmatch-Bsame,2,5,-0.0382584587141781
Bmatch-A,2,3,0.28353809693899756
Bmatch-A,2,4,-0.0642176469065372
Bmatch-A,2,5,-0.06572045333618193
Bsame-A,2,3,-0.034962701444166244
Bsame-A,2,4,-0.013210216218173976
Bsame-A,2,5,-0.027461994622003827
Cmatch-A,2,3,-0.1161010080527678
Cmatch-A,2,4,0.005092239092729933
Cmatch-A,2,5,-0.04300302639632192
Dmatch-A,2,3,0.573854631142648
Dmatch-A,2,4,0.3957654982474035
Dmatch-A,2,5,0.03441729324182252
interaction,2,3,-0.17421552615088287
interaction,2,4,-0.46507538424667083
interaction,2,5,-0.05713472018168253
