seed,arm,hostname,gpu_id,gpu_model,gpu_uuid,runtime_sif_sha256,dataset_sha256,transfer_sha256,config_sha256
3,A,wOypok,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,9d5f2c9e68f1f7dcaa20457bf6e0b6fa46f74a8605edaf5d49fdccf9f6bb62ea,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,4d5dcc1f1d0d41c8934ad21626eeddbdc0460182becf9fc059a0631b1eedb4da,6011b569f2d27835d575e73fbfe60d9bfc31436d5daea9c539bb1e4bff90550d
3,Bmatch,wmAvxL,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,9d5f2c9e68f1f7dcaa20457bf6e0b6fa46f74a8605edaf5d49fdccf9f6bb62ea,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,4d5dcc1f1d0d41c8934ad21626eeddbdc0460182becf9fc059a0631b1eedb4da,6011b569f2d27835d575e73fbfe60d9bfc31436d5daea9c539bb1e4bff90550d
3,Bsame,qglBjO,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,9d5f2c9e68f1f7dcaa20457bf6e0b6fa46f74a8605edaf5d49fdccf9f6bb62ea,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,4d5dcc1f1d0d41c8934ad21626eeddbdc0460182becf9fc059a0631b1eedb4da,6011b569f2d27835d575e73fbfe60d9bfc31436d5daea9c539bb1e4bff90550d
3,Cmatch,q193B1,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,9d5f2c9e68f1f7dcaa20457bf6e0b6fa46f74a8605edaf5d49fdccf9f6bb62ea,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,4d5dcc1f1d0d41c8934ad21626eeddbdc0460182becf9fc059a0631b1eedb4da,6011b569f2d27835d575e73fbfe60d9bfc31436d5daea9c539bb1e4bff90550d
3,Dmatch,ZAbLEK,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,9d5f2c9e68f1f7dcaa20457bf6e0b6fa46f74a8605edaf5d49fdccf9f6bb62ea,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,4d5dcc1f1d0d41c8934ad21626eeddbdc0460182becf9fc059a0631b1eedb4da,6011b569f2d27835d575e73fbfe60d9bfc31436d5daea9c539bb1e4bff90550d
4,A,ZDLx2Y,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,9d5f2c9e68f1f7dcaa20457bf6e0b6fa46f74a8605edaf5d49fdccf9f6bb62ea,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,4d5dcc1f1d0d41c8934ad21626eeddbdc0460182becf9fc059a0631b1eedb4da,4f27754a96fcaa8672042811c340346fa90fdd3d928ca86fc2eb1395abec2bd7
4,Bmatch,ZDLx2Y,2,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,9d5f2c9e68f1f7dcaa20457bf6e0b6fa46f74a8605edaf5d49fdccf9f6bb62ea,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,4d5dcc1f1d0d41c8934ad21626eeddbdc0460182becf9fc059a0631b1eedb4da,4f27754a96fcaa8672042811c340346fa90fdd3d928ca86fc2eb1395abec2bd7
4,Bsame,ZDLx2Y,1,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,9d5f2c9e68f1f7dcaa20457bf6e0b6fa46f74a8605edaf5d49fdccf9f6bb62ea,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,4d5dcc1f1d0d41c8934ad21626eeddbdc0460182becf9fc059a0631b1eedb4da,4f27754a96fcaa8672042811c340346fa90fdd3d928ca86fc2eb1395abec2bd7
4,Cmatch,ZDLx2Y,3,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,9d5f2c9e68f1f7dcaa20457bf6e0b6fa46f74a8605edaf5d49fdccf9f6bb62ea,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,4d5dcc1f1d0d41c8934ad21626eeddbdc0460182becf9fc059a0631b1eedb4da,4f27754a96fcaa8672042811c340346fa90fdd3d928ca86fc2eb1395abec2bd7
4,Dmatch,ZDLx2Y,4,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,9d5f2c9e68f1f7dcaa20457bf6e0b6fa46f74a8605edaf5d49fdccf9f6bb62ea,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,4d5dcc1f1d0d41c8934ad21626eeddbdc0460182becf9fc059a0631b1eedb4da,4f27754a96fcaa8672042811c340346fa90fdd3d928ca86fc2eb1395abec2bd7
