seed,arm,source_hostname,gpu_id,gpu_model,gpu_uuid,launch_utc_from_preserved_mtime,completion_utc_from_log_mtime,attempted_iterations,accepted_optimizer_steps,amp_skips,processed_kimg,max_stage,summary_rows,attempt_sequence_continuous,resume_markers,restart_resume_status,immutable_checkpoint_receipts,fresh_five_arm_cell,completion_status
3,A,wOypok,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T03:14:22.230292Z,2026-08-24T06:23:44.428241Z,8000,7989,11,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
3,Bmatch,wmAvxL,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T03:14:22.235037Z,2026-08-24T06:12:01.418488Z,8000,7988,12,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
3,Bsame,qglBjO,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T03:14:22.229256Z,2026-08-24T06:10:00.883632Z,8000,7988,12,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
3,Cmatch,q193B1,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T03:14:22.231250Z,2026-08-24T06:17:21.464978Z,8000,7989,11,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
3,Dmatch,ZAbLEK,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T03:14:22.235024Z,2026-08-24T06:16:35.308464Z,8000,7988,12,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
4,A,ZDLx2Y,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T05:09:24.999205Z,2026-08-24T08:24:37.812337Z,8000,7989,11,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
4,Bmatch,ZDLx2Y,2,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T05:09:24.999205Z,2026-08-24T08:17:09.037479Z,8000,7988,12,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
4,Bsame,ZDLx2Y,1,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T05:09:24.999205Z,2026-08-24T08:19:25.211919Z,8000,7989,11,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
4,Cmatch,ZDLx2Y,3,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T05:09:24.999205Z,2026-08-24T08:18:29.756554Z,8000,7989,11,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
4,Dmatch,ZDLx2Y,4,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T05:09:24.999205Z,2026-08-24T08:15:31.674595Z,8000,7988,12,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
5,A,ZDLx2Y,5,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T05:09:25.003205Z,2026-08-24T08:21:26.722526Z,8000,7988,12,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
5,Bmatch,qe7JBN,0,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T05:12:22.789755Z,2026-08-24T08:20:28.621693Z,8000,7987,13,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
5,Bsame,ZDLx2Y,6,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T05:09:25.003205Z,2026-08-24T08:15:24.538677Z,8000,7989,11,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
5,Cmatch,qe7JBN,1,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T05:12:22.789755Z,2026-08-24T08:13:21.277472Z,8000,7989,11,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
5,Dmatch,qe7JBN,2,"NVIDIA A100-PCIE-40GB, 40960 MiB",not_recorded_in_preflight_v1,2026-08-24T05:12:22.789755Z,2026-08-24T08:18:59.206484Z,8000,7987,13,1024.000000,0,8000,True,0,no_resume_marker_continuous_1_to_8000,7,True,PASS
