arm,seed,nfe,first_ttq_fid_le_10,sustained_ttq_fid_le_10,analysis_status
A,3,1,896,896,exploratory_not_preregistered_for_q128
A,3,2,512,512,exploratory_not_preregistered_for_q128
A,4,1,768,768,exploratory_not_preregistered_for_q128
A,4,2,512,512,exploratory_not_preregistered_for_q128
A,5,1,768,768,exploratory_not_preregistered_for_q128
A,5,2,512,512,exploratory_not_preregistered_for_q128
Bsame,3,1,896,896,exploratory_not_preregistered_for_q128
Bsame,3,2,512,512,exploratory_not_preregistered_for_q128
Bsame,4,1,768,768,exploratory_not_preregistered_for_q128
Bsame,4,2,512,512,exploratory_not_preregistered_for_q128
Bsame,5,1,768,768,exploratory_not_preregistered_for_q128
Bsame,5,2,512,512,exploratory_not_preregistered_for_q128
Bmatch,3,1,896,896,exploratory_not_preregistered_for_q128
Bmatch,3,2,640,640,exploratory_not_preregistered_for_q128
Bmatch,4,1,768,768,exploratory_not_preregistered_for_q128
Bmatch,4,2,512,512,exploratory_not_preregistered_for_q128
Bmatch,5,1,768,768,exploratory_not_preregistered_for_q128
Bmatch,5,2,512,512,exploratory_not_preregistered_for_q128
