evidence_class,phase,checkpoint_id,method,training_seed,budget_kimg,checkpoint_sha256,integrity_receipt_status,nfe,mid_t,metric_name,metric_value,generated_sample_count,generation_seed_range,metric_seed,dataset_sha256,evaluation_git_commit,run_id,completion_status
formal,formal,confirmatory-256k-seed3-fixed,fixed,3,256,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,passed,1,[],kid50k_full,0.3426688611507416,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed3-fixed/nfe1,completed
formal,formal,confirmatory-256k-seed3-fixed,fixed,3,256,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,passed,1,[],fid50k_full,320.58953603986095,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed3-fixed/nfe1,completed
formal,formal,confirmatory-256k-seed3-fixed,fixed,3,256,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,passed,2,[0.821],kid50k_full,0.29610782861709595,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed3-fixed/nfe2,completed
formal,formal,confirmatory-256k-seed3-fixed,fixed,3,256,09a41e1e7c03dcdf5ffb93bb68687390278b4b190183dfff92bacc1bf79738d9,passed,2,[0.821],fid50k_full,280.897620128423,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed3-fixed/nfe2,completed
formal,formal,confirmatory-256k-seed3-global110,global110,3,256,24875430eea4679a416ae921c3e9ae16142f6416d2a0edf970764384ef964bed,passed,1,[],kid50k_full,0.3191877007484436,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed3-global110/nfe1,completed
formal,formal,confirmatory-256k-seed3-global110,global110,3,256,24875430eea4679a416ae921c3e9ae16142f6416d2a0edf970764384ef964bed,passed,1,[],fid50k_full,308.50765801829095,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed3-global110/nfe1,completed
formal,formal,confirmatory-256k-seed3-global110,global110,3,256,24875430eea4679a416ae921c3e9ae16142f6416d2a0edf970764384ef964bed,passed,2,[0.821],kid50k_full,0.05582611635327339,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed3-global110/nfe2,completed
formal,formal,confirmatory-256k-seed3-global110,global110,3,256,24875430eea4679a416ae921c3e9ae16142f6416d2a0edf970764384ef964bed,passed,2,[0.821],fid50k_full,69.52364046943242,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed3-global110/nfe2,completed
formal,formal,confirmatory-256k-seed4-fixed,fixed,4,256,ac94e7b07e5b7628e6b14b26155fb3de09e42373497183d39aba4fe9863663c9,passed,1,[],kid50k_full,0.34022819995880127,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed4-fixed/nfe1,completed
formal,formal,confirmatory-256k-seed4-fixed,fixed,4,256,ac94e7b07e5b7628e6b14b26155fb3de09e42373497183d39aba4fe9863663c9,passed,1,[],fid50k_full,319.96557546099143,50000,0-49999,20260730,9fd64620e37bfc0c995535fa52701c9641bcd07635008bfda0c9fbddde1a4ed6,8375d46ca4c65e85ab399fcf1effe22ebb766790,formal-q256-six-8375d46/confirmatory-256k-seed4-fixed/nfe1,completed
