seed,cell,normalized_log_fid_aulc_512_1024
31,AA,3.7350986052963435
31,AB,3.732822906418691
31,BA,3.0997386243365135
31,BB,3.084855410085513
32,AA,2.7049352954041477
32,AB,2.7123466344695593
32,BA,2.7286725008039916
32,BB,2.729379178589439
33,AA,2.387394900552951
33,AB,2.3843753346201266
33,BA,2.35186756545729
33,BB,2.3615583329930905
34,AA,2.55818224893082
34,AB,2.5759651952827793
34,BA,2.54585795848811
34,BB,2.5634423440609515
35,AA,2.386190334018313
35,AB,2.4143564062164473
35,BA,2.6630162725541227
35,BB,2.673058111585211
36,AA,2.4549947357248847
36,AB,2.475249926508536
36,BA,2.4479950754379307
36,BB,2.450609736038465
37,AA,2.3091792545436043
37,AB,2.323869707631279
37,BA,2.2925766627333934
37,BB,2.3129941485739645
39,AA,2.3656890292680113
39,AB,2.3921299831612934
39,BA,2.4086482740916306
39,BB,2.427963577751723
40,AA,3.040976833165929
40,AB,3.1328913072514437
40,BA,2.7299293169526573
40,BB,2.753923193069708
41,AA,2.623364999094793
41,AB,2.6234826481336753
41,BA,2.6182616134556174
41,BB,2.61858623365621
42,AA,2.7049077649804967
42,AB,2.7215773992205463
42,BA,2.6231365198931065
42,BB,2.6605688040623434
