phase,label,gpu_index,elapsed_seconds,gpu_hours
training,seed31:AA,,6030.721900459379,1.675200527905383
training,seed31:AB,,6401.635167867877,1.7782319910744102
training,seed31:BA,,6219.301045353524,1.7275836237093123
training,seed31:BB,,6219.706222697161,1.7276961729714337
training,seed31:prefix_A,,5241.214857165702,1.4558930158793615
training,seed31:prefix_B,,5271.38154596556,1.4642726516570999
training,seed32:AA,,6431.3845292897895,1.786495702580497
training,seed32:AB,,6342.909408470616,1.7619192801307266
training,seed32:BA,,6248.812524082139,1.735781256689483
training,seed32:BB,,6189.017124154605,1.7191714233762792
training,seed32:prefix_A,,5309.001155531965,1.4747225432033237
training,seed32:prefix_B,,5376.226774056442,1.4933963261267895
training,seed33:AA,,6307.035145167261,1.751954206990906
training,seed33:AB,,6098.954848945141,1.6941541247069836
training,seed33:BA,,6551.311902012676,1.8198088616701877
training,seed33:BB,,6128.795233475976,1.7024431204099932
training,seed33:prefix_A,,5345.867047730833,1.4849630688141204
training,seed33:prefix_B,,5518.509954631329,1.5329194318420356
training,seed34:AA,,6098.099102655426,1.693916417404285
training,seed34:AB,,6341.803273620084,1.7616120204500234
training,seed34:BA,,6582.690473070368,1.8285251314084356
training,seed34:BB,,6221.613016022369,1.7282258377839914
training,seed34:prefix_A,,5248.038313682191,1.4577884204672753
training,seed34:prefix_B,,5467.420298797078,1.5187278607769663
training,seed35:AA,,6035.970591146499,1.6766584975406942
training,seed35:AB,,6370.029071217403,1.7694525197826119
training,seed35:BA,,6250.362394385971,1.7362117762183253
training,seed35:BB,,6218.892616011202,1.7274701711142229
training,seed35:prefix_A,,5436.90505764354,1.5102514049009834
training,seed35:prefix_B,,5669.7561699301,1.5749322694250278
training,seed36:AA,,6189.255239788443,1.7192375666079007
training,seed36:AB,,6312.524064370431,1.7534789067695642
training,seed36:BA,,6280.2000666595995,1.7445000185165553
training,seed36:BB,,6128.266371351667,1.7022962142643518
training,seed36:prefix_A,,5248.48830176238,1.4579134171562167
training,seed36:prefix_B,,5285.089853832498,1.4680805149534717
training,seed37:AA,,6347.42784604989,1.763174401680525
training,seed37:AB,,6308.453109208494,1.7523480858912484
training,seed37:BA,,6370.881545132026,1.7696893180922295
training,seed37:BB,,6218.429135660641,1.7273414265724003
training,seed37:prefix_A,,5427.53580551222,1.5076488348645054
training,seed37:prefix_B,,5368.282438546419,1.4911895662628942
training,seed39:AA,,6158.566386048682,1.7107128850135227
training,seed39:AB,,6164.397607428953,1.7123326687302647
training,seed39:BA,,6210.890357133001,1.7252473214258337
training,seed39:BB,,6335.565287196077,1.7598792464433548
training,seed39:prefix_A,,5396.551826070994,1.4990421739086095
training,seed39:prefix_B,,5368.538604855537,1.4912607235709827
training,seed40:AA,,6037.720450408757,1.677144569557988
training,seed40:AB,,6368.337825191207,1.7689827292197797
training,seed40:BA,,6303.507467527874,1.7509742965355206
training,seed40:BB,,6165.321526253596,1.712589312848221
training,seed40:prefix_A,,5398.366563018411,1.4995462675051143
training,seed40:prefix_B,,5394.96859242674,1.4986023867852054
training,seed41:AA,,6315.8568271314725,1.754404674203187
training,seed41:AB,,6065.855202335864,1.684959778426629
training,seed41:BA,,6310.369174011983,1.7528803261144397
training,seed41:BB,,6126.841314083897,1.7019003650233047
training,seed41:prefix_A,,5362.220352708362,1.4895056535301006
training,seed41:prefix_B,,5487.314744044095,1.5242540955678043
training,seed42:AA,,6333.012795152143,1.7591702208755953
training,seed42:AB,,6362.593870007433,1.7673871861131758
training,seed42:BA,,6407.180017364211,1.7797722270456142
training,seed42:BB,,6185.997761349194,1.718332711485887
training,seed42:prefix_A,,5336.640794006176,1.4824002205572713
training,seed42:prefix_B,,5425.9051243029535,1.5071958678619315
evaluation,01b3b077c038a952d67b88f7,0,243.2353276629001,0.06756536879525002
evaluation,03ec433c04008b7d0c98c432,4,364.46770538855344,0.10124102927459817
evaluation,04a1caf2d237c53e946de217,2,730.760775458999,0.2029891042941664
evaluation,05571cf6e195126492221516,0,761.1309332596138,0.2114252592387816
evaluation,05a470c0aaf942db2b58c2de,1,821.6351101137698,0.22823197503160272
evaluation,071b2c56376199160f5c579e,3,699.54026020132,0.19431673894481113
evaluation,079bef0ad6a67dc749946b07,0,242.32588460296392,0.06731274572304553
evaluation,083d8c9aed45d2c37a0f0d21,4,242.99032211489975,0.06749731169858326
evaluation,08f801802cebc276e52a7b16,3,274.5169737637043,0.07625471493436231
evaluation,09f9daa526bf8e8ae45b217d,4,549.3977488595992,0.15261048579433312
evaluation,0b77679c12c6c69b202615f2,5,242.668157489039,0.06740782152473306
evaluation,0bdb460f46f8d43564f65609,4,273.9743483066559,0.07610398564073774
evaluation,0be1e1c3656302bd242aa2a9,0,334.1277105016634,0.09281325291712872
evaluation,0cc50b6a50541bfff596474e,0,670.2668068092316,0.18618522411367547
evaluation,0ce9f7d0504e85f18d88d478,1,213.03661478869617,0.05917683744130449
evaluation,0dc46bb0ddd7596313199238,1,426.3450697334483,0.11842918603706898
evaluation,0e958bff27e986319d2d3694,0,425.6467812517658,0.11823521701437939
evaluation,0ec8f2cdf183ebdff88274d8,1,334.1685495264828,0.09282459709068967
evaluation,0fef71aa31ffcf5719e6b367,1,304.9852243848145,0.0847181178846707
evaluation,10f7870c82ca55696088cc9e,1,486.8461997359991,0.13523505548222198
evaluation,11eea76904850e5b82259680,2,273.92336119618267,0.07608982255449519
evaluation,130d2bb0e4884c2376bc9ca5,5,702.6841912698001,0.19519005313050003
evaluation,174150c8eee50d99f5ce7140,3,242.71350122150034,0.06742041700597232
evaluation,1a7c669a7d4f1a7d2e845691,4,394.92968043126166,0.1097026890086838
evaluation,1b8203c481a7933aa56c5897,4,791.720596156083,0.21992238782113419
evaluation,1c01371618d22d0f6eec0e65,4,273.72117925435305,0.07603366090398696
evaluation,1c3e06d1b8e8682e88ddeca4,1,243.14672113023698,0.06754075586951028
evaluation,1daae63f5ab81a2eeefb1b0d,1,242.89038634486496,0.06746955176246248
evaluation,1f0512b92058ce7aab452837,3,274.08158018346876,0.07613377227318577
evaluation,20473fd1179d6ba8506d4df0,5,242.80163166020066,0.06744489768338907
evaluation,2063ebc6284d2fb00714a99f,3,793.2467283438891,0.22034631342885808
evaluation,207334ba6bcef6c46672bc31,4,303.9709214847535,0.08443636707909818
evaluation,218b569632bbfce656f3b23e,5,335.34790545143187,0.09315219595873107
evaluation,23ff4f04cb5875432ea426ba,4,334.59623071551323,0.0929433974209759
evaluation,242f4e005cc9c5c557471473,4,640.1274959212169,0.17781319331144915
evaluation,249cc559af860da4c4cd601e,3,609.3010100489482,0.16925028056915228
evaluation,263cb76831c9271ae18a98ed,0,274.1984733454883,0.07616624259596898
evaluation,28286dfac113ce3d2e1b4cd4,4,609.3232412328944,0.1692564558980262
evaluation,292bb666d3267e8aead2cbaf,0,669.9782316507772,0.1861050643474381
evaluation,2a6fcffdbcf474ed8b5deb28,4,608.5599530376494,0.16904443139934705
evaluation,2a820c2287fe2d7988b57bb1,3,242.69420268572867,0.0674150563015913
evaluation,2d7f08b41c73da93c95a796b,1,638.7011531870812,0.17741698699641145
evaluation,2ddd0c192ef7ea1fb7c879da,2,640.4305910859257,0.17789738641275712
evaluation,2ec3df81b21b820b131dc9ca,1,638.7019709767774,0.17741721416021594
evaluation,30e70be63a30649ba4643d44,4,274.0334842046723,0.07612041227907564
evaluation,330d15bc931996c1ce1349a5,5,273.314167637378,0.07592060212149389
evaluation,3341b9ebe531eeacbd3932da,5,333.4063885761425,0.09261288571559513
evaluation,36611d8067f2da63852872f8,4,671.1706887623295,0.18643630243398043
evaluation,366b10bfb4423aa7e1809b61,1,914.8569663790986,0.25412693510530515
