schema,experiment_protocol,branch,origin_arm,continuation_arm,switch_relative_step,protocol,arm,target_gap_scale,denominator_gap_scale,attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,stage,loss,loss_nonfinite_count,raw_grad_norm,raw_grad_finite_norm,raw_grad_nonfinite_count,sanitized_grad_norm,sanitized_grad_nonfinite_count,update_norm,update_nonfinite_count,model_norm,model_nonfinite_count,ema_norm,ema_nonfinite_count,sample_count,batch_sha256,t_sha256,base_r_sha256,target_r_sha256,denominator_r_sha256,target_delta_sha256,denominator_delta_sha256,base_r_zero_count,target_r_zero_count,target_r_equal_t_count,target_scaled_to_zero_count,denominator_r_zero_count,denominator_r_equal_t_count,denominator_scaled_to_zero_count,target_delta_min,target_delta_max,target_delta_mean,denominator_delta_min,denominator_delta_max,denominator_delta_mean,factor_nonfinite_count,nonpositive_denominator_count,learning_rate,grad_scale_before,grad_scale_after,step_skipped,elapsed_sec,gpu_hours_cumulative,online_ema_distance,radam_first_moment_norm,radam_second_moment_norm
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,1,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4001,3990,512128,512.128000,0,16.770670652389526,0,2214.3249350665947,2214.3249350665947,0,2214.3249350665947,0,0.16992056045178525,0,3962.4063472798248,0,3962.2180757719607,0,128,5325bc4850174a857533298b8985a10b85057c1a0f92c78bf5a3b94d538a957d,06bea51976b92c63d7327e9663f8866ed3af6b3145f9b58287c94386753028a0,99fda887c2bb9f74c543f7049f2d97a2ad6af9a5dc8389e7847a2462294b41cf,941158dc2f5547e74b4e9c1bb6fa2aaa18d55363f3527931ffd4a543cc061327,941158dc2f5547e74b4e9c1bb6fa2aaa18d55363f3527931ffd4a543cc061327,5604d1d7b2844301f97360f6730c6fbf035bf159654691c2da448175ec7eafb2,5604d1d7b2844301f97360f6730c6fbf035bf159654691c2da448175ec7eafb2,0,0,0,0,0,0,0,1.26421800814569e-05,0.57135009765625,0.015078960568644106,1.26421800814569e-05,0.57135009765625,0.015078960568644106,0,0,0.0001,64,64,0,5365.447119,1.490401978,20.565701929686384,458.30183270118789,92469.82729643381
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,2,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4002,3991,512256,512.256000,0,14.974616169929504,0,2069.1608527454064,2069.1608527454064,0,2069.1608527454064,0,0.16425422461630371,0,3962.4066651117546,0,3962.2181704095005,0,128,e5ff3e0c394fa2d2c0812cb064c569d71725b14dff640c6c83c5160ea44869b3,077cc080b1c2f4c2111f9e1a3996322d0213851cae5d413db4fcb29490d67a71,d758a196384c70c0eada1e30904bf6e37621adb272b7630455437c4ab3398940,390e7fd6f4ba642b33a1abd4acc981a9345de683e732314c09b3c157d6e4cf9c,390e7fd6f4ba642b33a1abd4acc981a9345de683e732314c09b3c157d6e4cf9c,8a9e10fd865c5388836f1d4234dfb12227bcc32b96c92043cd127f6b352f69ae,8a9e10fd865c5388836f1d4234dfb12227bcc32b96c92043cd127f6b352f69ae,0,0,0,0,0,0,0,7.5697200372815132e-05,0.3632965087890625,0.011666138365399092,7.5697200372815132e-05,0.3632965087890625,0.011666138365399092,0,0,0.0001,64,64,0,5367.402389,1.490945108,20.564461825100235,437.96004961810996,92501.071669805839
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,3,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4003,3992,512384,512.384000,0,15.891008496284485,0,1666.1503117875627,1666.1503117875627,0,1666.1503117875627,0,0.15979407721740527,0,3962.4070752917046,0,3962.21826523871,0,128,4fe1e0482004c90ba79dbd8b3a4fd201c95c5c083d64d0520278704f0f7b1d8c,e451060b17e81372334002ba56d4563ce768ed96c0cee501c51a4026de59c938,bd45aba418f3d4a9e1dd890aba914406f2579e2605d224a69270a7182db4aeda,de7a9c5a37c79b00118bf1d37ea7fef64627952e3bc279bfbefd5efa285add6b,de7a9c5a37c79b00118bf1d37ea7fef64627952e3bc279bfbefd5efa285add6b,8418b894907695b10581a9cb9418bd7e78a6b0740784a4e9f55be81dc84a2a5d,8418b894907695b10581a9cb9418bd7e78a6b0740784a4e9f55be81dc84a2a5d,0,0,0,0,0,0,0,7.6139112934470177e-05,0.9469451904296875,0.019456099951639771,7.6139112934470177e-05,0.9469451904296875,0.019456099951639771,0,0,0.0001,64,64,0,5369.338061,1.491482795,20.56290767848007,447.63847339002109,92462.98203096322
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,4,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4004,3993,512512,512.512000,0,15.943617582321167,0,2099.7265124005348,2099.7265124005348,0,2099.7265124005348,0,0.1602339588407225,0,3962.4076289539717,0,3962.2183603821031,0,128,71ce68622ed371ce3021eee55a5bd7d6e79e86cc67154fa00a360acc576ffbc3,a145fe4e61d79f00d3ce58278f19f706450c6d80369a2bdbe127520c3cda148e,39783f12bd65b8c4fe40ca723db01f7a711478cf5e7616bfd2909f9e93bacb05,84326f7fbcc6488b94bb28aa996c20604837eacb8a0e64225b4e9b0fb24b604f,84326f7fbcc6488b94bb28aa996c20604837eacb8a0e64225b4e9b0fb24b604f,b8caf91f108c873481c6a81d4de8eeea133cf8e7db5e564093ec58bf44e9a074,b8caf91f108c873481c6a81d4de8eeea133cf8e7db5e564093ec58bf44e9a074,0,0,0,0,0,0,0,3.7030316889286041e-05,0.13223457336425781,0.011297555116470903,3.7030316889286041e-05,0.13223457336425781,0.011297555116470903,0,0,0.0001,64,64,0,5371.270826,1.492019674,20.56199159666815,503.27925151318743,92476.189275589524
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,5,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4005,3994,512640,512.640000,0,17.271661281585693,0,2007.328342701624,2007.328342701624,0,2007.328342701624,0,0.15931124719918446,0,3962.4081950913569,0,3962.2184559031812,0,128,b113793ea7b7580c61e663ed8e8dea31be0c0c6975b762f9afed68700a1416bf,ce44ce4b511a60c68e6a8568cff9f014d302456d9887ddb08ee1969f951dcf36,e55eaa6976deea65beeabc83f83e58711824839a2b3b71a9768bee888c01a617,5767ece3e8f070b1df496b7653139536a9181dc02a982dddb6f93fbb6fa3147c,5767ece3e8f070b1df496b7653139536a9181dc02a982dddb6f93fbb6fa3147c,8169581e3676892fb16873d72ca415f2f8b6a668ae8579d0a8cfd73f4e86496f,8169581e3676892fb16873d72ca415f2f8b6a668ae8579d0a8cfd73f4e86496f,0,0,0,0,0,0,0,2.5315792299807072e-05,0.25609207153320312,0.011632864538114518,2.5315792299807072e-05,0.25609207153320312,0.011632864538114518,0,0,0.0001,64,64,0,5373.210693,1.492558526,20.561181812670124,529.63852666514538,92474.353984505971
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,6,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4006,3995,512768,512.768000,0,15.765785574913025,0,1636.9939725520644,1636.9939725520644,0,1636.9939725520644,0,0.16007520638595421,0,3962.4087459558305,0,3962.2185517658622,0,128,2761db59c7c693fcb7e5df48ad64ba5c861e16c572ecb90007f068b5112bee07,b0fa9f0aadd6b3afeea87a06ef6afb65f84180e9be77512d90afaf26bdcbca5d,c31b19c77cd6a30f53c765850acdaf632972fcea776aee0da82243e300fb945d,9e74fea87c01f19b4dfe5c8f7f6e18abf8c8afb6e8b1b7f0c71bfa080b81afaa,9e74fea87c01f19b4dfe5c8f7f6e18abf8c8afb6e8b1b7f0c71bfa080b81afaa,08c4bfdc6ec3ab811cc2a4998421f56bb9ca755cac339fc8df0bdfac4f2a51f9,08c4bfdc6ec3ab811cc2a4998421f56bb9ca755cac339fc8df0bdfac4f2a51f9,0,0,0,0,0,0,0,2.457108348608017e-05,0.46865081787109375,0.019131811568513513,2.457108348608017e-05,0.46865081787109375,0.019131811568513513,0,0,0.0001,64,64,0,5375.156463,1.493099017,20.560737964025204,549.27040799367023,92425.195733403423
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,7,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4007,3996,512896,512.896000,0,15.627018213272095,0,1949.9424101354023,1949.9424101354023,0,1949.9424101354023,0,0.15717768270032362,0,3962.4092167570566,0,3962.2186478932904,0,128,6af977205533a00ba898fce4bb0c2c8098afc53995614db653e5b0d43d09637e,8f8c6f9e3407445a34e688b9bd202a06301439edcc6d7bb6c93a228b089e83b9,4a9ee233bc0d7e1837ffd9c39d8746a302c216d0aa22e80a013dfb5a6f2f1cfb,fbb48537fc23f7428e1b5561a6e6c2c3a0626ad27fcde4dce8edeebcc38eab76,fbb48537fc23f7428e1b5561a6e6c2c3a0626ad27fcde4dce8edeebcc38eab76,1ef5ad53d8d8946df16250778c8f5027a2feac93ae6643d576da979f8dbe5120,1ef5ad53d8d8946df16250778c8f5027a2feac93ae6643d576da979f8dbe5120,0,0,0,0,0,0,0,2.1227111574262381e-05,0.2333831787109375,0.019330100505612791,2.1227111574262381e-05,0.2333831787109375,0.019330100505612791,0,0,0.0001,64,64,0,5377.104386,1.493640107,20.560372023233729,591.15031014689339,92421.396985481668
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,8,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4008,3997,513024,513.024000,0,16.957653641700745,0,1643.2413951501412,1643.2413951501412,0,1643.2413951501412,0,0.15576423863729444,0,3962.4096439635596,0,3962.2187442129771,0,128,1c243939277291296f104ec2e2d10a458cb72e773b13f0eb881f29de65091bf3,b9894af0c6f521c13963f908440e33d06b8ce24f852f5d6db75b25bcf4ef20b9,3f4de8a0c5759c5a56c97e87eea363249d5b37311e7e1d933be9bd65f3904736,f1bea44117ca7fa7435ab9fe0bfcd403eeb0edd9151e001eb5c87a083e46922d,f1bea44117ca7fa7435ab9fe0bfcd403eeb0edd9151e001eb5c87a083e46922d,9ad6de6f60c225e7373eac1c3f9200c231fa33c37a1acea797f3efe561cf4a5a,9ad6de6f60c225e7373eac1c3f9200c231fa33c37a1acea797f3efe561cf4a5a,0,0,0,0,0,0,0,3.133536665700376e-06,0.16099166870117188,0.013952385692391545,3.133536665700376e-06,0.16099166870117188,0.013952385692391545,0,0,0.0001,64,64,0,5379.045963,1.494179434,20.559840581801193,569.82711336685668,92364.671117052538
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,9,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4009,3998,513152,513.152000,0,15.8914874792099,0,1846.4500446153008,1846.4500446153008,0,1846.4500446153008,0,0.15349971113786764,0,3962.4099363001696,0,3962.2188406664,0,128,918ce2a530ca5f3383ac0cdfa4e17aca2b9f6701495e2e6482f2750b2b4a6ab1,d824fcf25db83c438a9e65ea9bf48c5f87659963431bf02536b4a644e9930881,5f761bf52e9ccfad0c36c2ffe0087d474e5c7d9b3df4eee383a492d2d113d56e,eaba0a9c56a62b98b34fd3a587183c9ac2405b081037bd181b3d3fb93114431e,eaba0a9c56a62b98b34fd3a587183c9ac2405b081037bd181b3d3fb93114431e,0e3d08aac7c26fcfdfc98a56f3265c73e513c492d78cb914b9f59d04fcee5b0e,0e3d08aac7c26fcfdfc98a56f3265c73e513c492d78cb914b9f59d04fcee5b0e,0,0,0,0,0,0,0,1.5774858184158802e-05,0.21686935424804688,0.01491362857632339,1.5774858184158802e-05,0.21686935424804688,0.01491362857632339,0,0,0.0001,64,64,0,5380.983231,1.494717564,20.559080276745284,486.65724766523317,92340.995224881917
ect.q256.schedule-switch-training-telemetry/v1,q256_fresh_crossed_switch_n12_matpool_numeric_recovery_v2,AB,A,B,10,q256_target_weight_v1,B,1.1000000000000001,1.1000000000000001,4010,3999,513280,513.280000,0,17.302570223808289,0,2212.9905040661497,2212.9905040661497,0,2212.9905040661497,0,0.15304302354987648,0,3962.410026727202,0,3962.2189370980277,0,128,af18c435aee7adc1931b3fce5bb3354fd6ac06054449a6523cc6fa853badb30e,f17157a80a90c108c2d4a54664e790fa80c10115352e5b72aad9c0fde26cc9a6,b55a7e29cc52d554e619345f164cd73299f5b34b5eb9c3438b571d457d8950ef,50877b68a2b509a1b5b0abd7d1abe7cda17e93c123f1a691451dd5b68597b139,50877b68a2b509a1b5b0abd7d1abe7cda17e93c123f1a691451dd5b68597b139,08ddc1112a109a0ff91b52e0a18104e308fc1c40ccba2466594f4e2d6aeb9325,08ddc1112a109a0ff91b52e0a18104e308fc1c40ccba2466594f4e2d6aeb9325,0,0,0,0,0,0,0,2.4418812245130539e-05,0.14263153076171875,0.011187384021468461,2.4418812245130539e-05,0.14263153076171875,0.011187384021468461,0,0,0.0001,64,64,0,5382.917464,1.495254851,20.557698535212598,395.34565571964191,92347.297183284783
