cohort,nfe,arm,budget_kimg,n,fid_mean,fid_sd,fid_median,kid_mean,kid_sd
balanced_seed8_13,1,A,384,6,175.35498321612235,100.20713136070825,200.77251387926847,0.17855076359442776,0.11168999118807403
balanced_seed8_13,1,A,512,6,46.15463836444743,24.29907863805902,41.76481210707463,0.03786886961378045,0.022150044363506854
balanced_seed8_13,1,A,640,6,17.058635736552613,4.656597573985387,16.417778487588773,0.011534204235485485,0.003067120914900742
balanced_seed8_13,1,A,768,6,13.289654578624186,3.230777740794409,12.803532532460778,0.008668994617951275,0.0021557374806370857
balanced_seed8_13,1,A,896,6,11.502689175854664,2.8052081508162816,11.182946169879369,0.007359383316232901,0.0018522012394554773
balanced_seed8_13,1,A,1024,6,10.013420706913033,1.8429347606800046,9.80635724890212,0.00633432821821821,0.0011315893534711288
balanced_seed8_13,1,B,384,6,200.3313784052098,62.30760389975946,218.76450080560454,0.20107987007257258,0.0710570783338944
balanced_seed8_13,1,B,512,6,33.95658290026109,16.568476732016816,26.50255642850617,0.026700274209209212,0.01578080648080521
balanced_seed8_13,1,B,640,6,14.03015848378756,2.4777647881264175,13.119181982181587,0.009260952139639643,0.0021246581595477684
balanced_seed8_13,1,B,768,6,11.192264658787542,2.10651275330793,10.613405068898661,0.007086174717634311,0.0017261058713051733
balanced_seed8_13,1,B,896,6,9.639120057593267,1.6185105177848231,9.106183302174554,0.005994263341257915,0.0012302624256746613
balanced_seed8_13,1,B,1024,6,8.917379488671502,1.1747993172860454,8.720175976786983,0.005560382218051381,0.0008247154896728901
balanced_seed8_13,1,C,384,6,181.80860681294018,103.76469361156569,220.1522083241288,0.18593543011052724,0.1159500627988627
balanced_seed8_13,1,C,512,6,52.12536852967685,37.039119856709036,31.479501809472666,0.04438365089714714,0.03642128569849901
balanced_seed8_13,1,C,640,6,17.24063245234753,7.108295358550537,15.80329033613186,0.01152728707248916,0.005061321624015536
balanced_seed8_13,1,C,768,6,13.05471221367538,4.0419222482807,12.303408249722079,0.008412837830330344,0.0028004447071400167
balanced_seed8_13,1,C,896,6,11.175845466958618,3.0862922153102423,10.682621783354154,0.007053923322072067,0.0020685791974144494
balanced_seed8_13,1,C,1024,6,9.98137628062991,2.3496043624610228,9.478194287238738,0.006288737886636637,0.001495395017641257
balanced_seed8_13,1,D,384,6,205.94977376910188,71.70510850718775,230.6775594165495,0.20662840366324656,0.0822782086867314
balanced_seed8_13,1,D,512,6,33.29182148579269,21.336498053989434,24.05613845886776,0.02615343708291625,0.020101532131218656
balanced_seed8_13,1,D,640,6,13.249503189213087,2.2013631485944902,13.205211510979744,0.008542665086336323,0.0017494224661499427
balanced_seed8_13,1,D,768,6,11.031086646970644,2.0153229997857,11.307324335515936,0.006921176563646977,0.0014958906488187235
balanced_seed8_13,1,D,896,6,9.996213927320708,1.8384327473231614,9.95159281975402,0.006261775369536204,0.0013347366957053792
balanced_seed8_13,1,D,1024,6,9.186881364537077,1.445485770369215,9.177473358809896,0.005769891999082409,0.0009703549994866427
balanced_seed8_13,2,A,384,6,128.3811020574891,101.43880423856734,119.92502435367128,0.1333350500237738,0.11949385396736985
balanced_seed8_13,2,A,512,6,63.27425766682944,95.44881997193195,28.33942366249449,0.06275768019602936,0.10875721919594086
balanced_seed8_13,2,A,640,6,23.7045053382385,42.39605846730278,7.028035722117836,0.020545653423840512,0.04191279058796486
balanced_seed8_13,2,A,768,6,7.259478495346561,9.377629060904535,3.534092141686995,0.0043326473448448465,0.0073782572633040435
balanced_seed8_13,2,A,896,6,3.7467742295834667,1.6766374712977428,3.1351404706611,0.001671856855188526,0.0010563438589340287
balanced_seed8_13,2,A,1024,6,3.044831843929123,0.37563671033893875,2.9515978501535205,0.0012000785581414706,0.0002732958651876893
balanced_seed8_13,2,B,384,6,100.29085212786077,96.99241196512448,64.65490084432022,0.09962202214631298,0.11064300430539752
balanced_seed8_13,2,B,512,6,28.642496553104436,44.65693492332358,12.198542597238287,0.025398709820236908,0.04550638458860885
balanced_seed8_13,2,B,640,6,7.262046939745947,7.420266778231887,4.0221335760416554,0.004070344104938267,0.005332162862615838
balanced_seed8_13,2,B,768,6,3.7010617373333035,1.1059756785799926,3.2941498466454595,0.0015925224119953379,0.0005818998592680859
balanced_seed8_13,2,B,896,6,3.05006601339962,0.28606456394290597,2.95515400951033,0.0011926058867200466,0.00029825522253657357
balanced_seed8_13,2,B,1024,6,2.914237314103392,0.24048006681647532,2.8604914273655875,0.001118296212462464,0.00030471106558054977
balanced_seed8_13,2,C,384,6,120.21442021195833,99.45236374630385,96.31636919661585,0.12419789259843184,0.11764960727349782
balanced_seed8_13,2,C,512,6,60.56624258566611,97.03650900706499,22.179965457714403,0.06048955274274274,0.11025702272148437
balanced_seed8_13,2,C,640,6,25.389481043825167,48.572284881252585,5.5690414804651995,0.023000846988238247,0.04920507324263589
balanced_seed8_13,2,C,768,6,8.15344671414445,11.984735747125304,3.3673769632282395,0.0052426813013013,0.009649834717036001
balanced_seed8_13,2,C,896,6,3.9549699240700966,2.3000222295857298,3.0623666925188378,0.0018432508429262618,0.001477197801468511
balanced_seed8_13,2,C,1024,6,3.0816761488785587,0.543735845803075,2.9072983378951234,0.001187541665415413,0.0002950872691987964
balanced_seed8_13,2,D,384,6,115.67409897383743,98.43233542748874,102.79857814897402,0.11773927461586588,0.11279306989782008
balanced_seed8_13,2,D,512,6,31.432106997817716,47.711460239257825,14.600246151153502,0.027894235399983324,0.04977656578369011
balanced_seed8_13,2,D,640,6,8.4049986567828,9.794694557483908,4.70644474873966,0.004927156878545219,0.007350201631778442
balanced_seed8_13,2,D,768,6,3.877553827169138,1.61862595574891,3.2880230751689155,0.0016817871896896706,0.0009377463289153194
balanced_seed8_13,2,D,896,6,3.0862652630495924,0.3127628326869278,3.006394617945748,0.0011892993305805785,0.00025966005336843206
balanced_seed8_13,2,D,1024,6,2.929757632140225,0.2388829435258326,2.891006237385434,0.0011084261269602945,0.0002244544987922173
