phase,seed,cell,gpu_index,elapsed_seconds,gpu_hours
training,19,source,0,5636,1.5655555555555556
training,19,Early-switch,0,3755,1.0430555555555556
training,19,Late-switch,0,3768,1.0466666666666666
training,20,source,0,5576,1.548888888888889
training,20,Early-switch,0,3802,1.056111111111111
training,20,Late-switch,0,3773,1.0480555555555555
training,21,source,0,5633,1.5647222222222221
training,21,Early-switch,0,3801,1.0558333333333334
training,21,Late-switch,0,3735,1.0375
training,22,source,0,5841,1.6225
training,22,Early-switch,0,3916,1.0877777777777777
training,22,Late-switch,0,3892,1.0811111111111111
training,23,source,0,5722,1.5894444444444444
training,23,Early-switch,0,3886,1.0794444444444444
training,23,Late-switch,0,3940,1.0944444444444446
training,24,source,1,5580,1.55
training,24,Early-switch,1,3714,1.0316666666666667
training,24,Late-switch,1,3747,1.0408333333333333
training,25,source,1,5681,1.5780555555555555
training,25,Early-switch,1,3742,1.0394444444444444
training,25,Late-switch,1,3776,1.048888888888889
training,26,source,1,5603,1.5563888888888888
training,26,Early-switch,1,3728,1.0355555555555556
training,26,Late-switch,1,3796,1.0544444444444445
training,27,source,1,5677,1.5769444444444445
training,27,Early-switch,1,3898,1.0827777777777778
training,27,Late-switch,1,3892,1.0811111111111111
training,28,source,1,5793,1.6091666666666666
training,28,Early-switch,1,3780,1.05
training,28,Late-switch,1,3822,1.0616666666666668
evaluation,19,Early-switch-kimg512-nfe1,0,226,0.06277777777777778
evaluation,19,Early-switch-kimg640-nfe1,1,191,0.05305555555555556
evaluation,19,Early-switch-kimg640-nfe2,0,305,0.08472222222222223
evaluation,19,Late-switch-kimg512-nfe1,1,185,0.05138888888888889
evaluation,19,Late-switch-kimg640-nfe1,0,232,0.06444444444444444
evaluation,19,Late-switch-kimg640-nfe2,1,254,0.07055555555555555
evaluation,20,Early-switch-kimg512-nfe1,0,226,0.06277777777777778
evaluation,20,Early-switch-kimg640-nfe1,1,183,0.050833333333333335
evaluation,20,Early-switch-kimg640-nfe2,0,308,0.08555555555555555
evaluation,20,Late-switch-kimg512-nfe1,1,186,0.051666666666666666
evaluation,20,Late-switch-kimg640-nfe1,0,214,0.059444444444444446
evaluation,20,Late-switch-kimg640-nfe2,1,254,0.07055555555555555
evaluation,21,Early-switch-kimg512-nfe1,0,216,0.06
evaluation,21,Early-switch-kimg640-nfe1,1,184,0.051111111111111114
evaluation,21,Early-switch-kimg640-nfe2,0,295,0.08194444444444444
evaluation,21,Late-switch-kimg512-nfe1,1,186,0.051666666666666666
evaluation,21,Late-switch-kimg640-nfe1,0,217,0.06027777777777778
evaluation,21,Late-switch-kimg640-nfe2,1,251,0.06972222222222223
evaluation,22,Early-switch-kimg512-nfe1,0,211,0.058611111111111114
evaluation,22,Early-switch-kimg640-nfe1,1,185,0.05138888888888889
evaluation,22,Early-switch-kimg640-nfe2,0,278,0.07722222222222222
evaluation,22,Late-switch-kimg512-nfe1,1,185,0.05138888888888889
evaluation,22,Late-switch-kimg640-nfe1,0,199,0.05527777777777778
evaluation,22,Late-switch-kimg640-nfe2,1,254,0.07055555555555555
evaluation,23,Early-switch-kimg512-nfe1,0,203,0.05638888888888889
evaluation,23,Early-switch-kimg640-nfe1,1,192,0.05333333333333334
evaluation,23,Early-switch-kimg640-nfe2,0,278,0.07722222222222222
evaluation,23,Late-switch-kimg512-nfe1,1,194,0.05388888888888889
evaluation,23,Late-switch-kimg640-nfe1,0,197,0.05472222222222222
evaluation,23,Late-switch-kimg640-nfe2,1,253,0.07027777777777777
evaluation,24,Early-switch-kimg512-nfe1,0,202,0.05611111111111111
evaluation,24,Early-switch-kimg640-nfe1,1,187,0.051944444444444446
evaluation,24,Early-switch-kimg640-nfe2,0,270,0.075
evaluation,24,Late-switch-kimg512-nfe1,1,184,0.051111111111111114
evaluation,24,Late-switch-kimg640-nfe1,0,199,0.05527777777777778
evaluation,24,Late-switch-kimg640-nfe2,1,256,0.07111111111111111
evaluation,25,Early-switch-kimg512-nfe1,0,199,0.05527777777777778
evaluation,25,Early-switch-kimg640-nfe1,1,184,0.051111111111111114
evaluation,25,Early-switch-kimg640-nfe2,0,274,0.07611111111111112
evaluation,25,Late-switch-kimg512-nfe1,1,184,0.051111111111111114
evaluation,25,Late-switch-kimg640-nfe1,0,198,0.055
evaluation,25,Late-switch-kimg640-nfe2,1,250,0.06944444444444445
evaluation,26,Early-switch-kimg512-nfe1,0,200,0.05555555555555555
evaluation,26,Early-switch-kimg640-nfe1,1,183,0.050833333333333335
evaluation,26,Early-switch-kimg640-nfe2,0,280,0.07777777777777778
evaluation,26,Late-switch-kimg512-nfe1,1,185,0.05138888888888889
evaluation,26,Late-switch-kimg640-nfe1,0,199,0.05527777777777778
