job_index,seed,branch,budget_kimg,nfe,mid_t,fid50k_full,kid50k_full,generated_feature_sha256,receipt_sha256
0,19,Early-switch,512,1,,31.158813016298623,0.019588294009009,fb07fa19fcf5dd43eaa346d6cfb4fd23b962defebe514f6b0604fce070bf1e92,bfc2601bbf4077ea7097863631980dac49b8c5baddb2ccf79ee6e9e6773bd1da
1,19,Early-switch,640,1,,18.17307652779065,0.011301172489989972,dfb5e2e7e71a44201ebf7dd818b231f812c9df1bed6f011f64686b126b4ccd1e,997860ab994f29af026470413bd282af68dd73f5ef5d7c5c98f89ad14cfe4d9b
2,19,Early-switch,640,2,0.821,73.83619986181316,0.06554899359609602,8e6203bb5fa13ed8649be735e43a242fc5a6a02bd80e203899f774072c69d38e,895e34be1946d6046b2d6820be74ee06a5471c9736f569d742dd915240b067e6
3,19,Late-switch,512,1,,32.38008942478671,0.020700482464965014,64b017e53bcfb14c44bd07e2254041f1a45743a3398de4cc0214fbe796761f4e,31bffbc31ca2965aff03c3489ec9a354021661327016d03dfe5ae98ff188773a
4,19,Late-switch,640,1,,17.947250044542308,0.011060452892892899,b14f714dbb8c222ff62d719030a4dcc4ae34e3f98e519d6f2cb869ccaadf57aa,87b9bedd21dbd8387b1f391dea976abeee4a8a02aecac274ab894125918ca209
5,19,Late-switch,640,2,0.821,76.02698085842084,0.06767134564564566,2fa7dc98f622f9b591f05ddddd4581980c0913e460ef7aeb677ba9ed92a8e280,87a6e82b5bde702f16d518a9c7fc0f51a6a9bf6fbd2be1066a098e1e6a02ae58
6,20,Early-switch,512,1,,29.391150545021894,0.021530800655655657,0f4695b5263649748a6beb6e3ba606d7f939c6b4d2a976c1e90b84475d6f4cde,dba554efea1c089c0f443297ae17cad1ca7696377c8eeb86601849095a4cb618
7,20,Early-switch,640,1,,19.501526553367288,0.013174345968468488,403698998affff9d1e69fe83296a25c69057e5dd23510c532373ef84d7654584,c526fc7dba881d0986961d95d3f8303b4af9a9c138ffe19b6130c241462ca7a3
8,20,Early-switch,640,2,0.821,17.481359620932245,0.01097918400650649,fa2f0e5ce2d9e3ac880316d060ddde70ec98dcdc060ff34622d6cfe07ee84183,ee47c98c682aa156b426534caf18856bb85f23a63a2081dab5cf78f1be8f1cf9
9,20,Late-switch,512,1,,28.659024485150997,0.020732741456456448,97ba00afba2a2be1a60d0cf45b73d5ee62fbc9f85b709cee0d99f556d0ecab8c,025fc4acca2981e3bc506b5bb56b529c9d0c4489eff6020830e78e9aea9a5d04
10,20,Late-switch,640,1,,18.028353347876088,0.011804180027527542,b245b0a7b54f486c89700130f513231227f21714800f198cfb7e78c84c7d3428,c4098bb7f1b0bbd649563f7c4f5d67f33a5f8cb4a95c8810daa08230a63ffc8b
11,20,Late-switch,640,2,0.821,17.436180649718032,0.010889077697697716,6f1fd25ee4fbef9c1286fddee080d344ff641f0dad2c2809bcce711487d80275,4dab780b8c0efb82eb5a48ebebd76a10ec911bb35f8a2aeea459e49e944fed4f
