seed,horizon,space,block,contrast,value
3,0,observable,feature,target_effect_denominator_1p0,0.0
3,0,observable,feature,target_effect_denominator_1p1,0.0
3,0,observable,feature,denominator_effect_target_1p0,0.0
3,0,observable,feature,denominator_effect_target_1p1,0.0
3,0,observable,feature,conditional_interaction,0.0
3,0,observable,residual,target_effect_denominator_1p0,0.0
3,0,observable,residual,target_effect_denominator_1p1,0.0
3,0,observable,residual,denominator_effect_target_1p0,0.0
3,0,observable,residual,denominator_effect_target_1p1,0.0
3,0,observable,residual,conditional_interaction,0.0
3,0,state,EMA,target_effect_denominator_1p0,0.0
3,0,state,EMA,target_effect_denominator_1p1,0.0
3,0,state,EMA,denominator_effect_target_1p0,0.0
3,0,state,EMA,denominator_effect_target_1p1,0.0
3,0,state,EMA,conditional_interaction,0.0
3,0,state,m,target_effect_denominator_1p0,0.0
3,0,state,m,target_effect_denominator_1p1,0.0
3,0,state,m,denominator_effect_target_1p0,0.0
3,0,state,m,denominator_effect_target_1p1,0.0
3,0,state,m,conditional_interaction,0.0
3,0,state,net_buffer,target_effect_denominator_1p0,0.0
3,0,state,net_buffer,target_effect_denominator_1p1,0.0
3,0,state,net_buffer,denominator_effect_target_1p0,0.0
3,0,state,net_buffer,denominator_effect_target_1p1,0.0
3,0,state,net_buffer,conditional_interaction,0.0
3,0,state,scaler,target_effect_denominator_1p0,0.0
3,0,state,scaler,target_effect_denominator_1p1,0.0
3,0,state,scaler,denominator_effect_target_1p0,0.0
3,0,state,scaler,denominator_effect_target_1p1,0.0
3,0,state,scaler,conditional_interaction,0.0
3,0,state,theta,target_effect_denominator_1p0,0.0
3,0,state,theta,target_effect_denominator_1p1,0.0
3,0,state,theta,denominator_effect_target_1p0,0.0
3,0,state,theta,denominator_effect_target_1p1,0.0
3,0,state,theta,conditional_interaction,0.0
3,0,state,v,target_effect_denominator_1p0,0.0
3,0,state,v,target_effect_denominator_1p1,0.0
3,0,state,v,denominator_effect_target_1p0,0.0
3,0,state,v,denominator_effect_target_1p1,0.0
3,0,state,v,conditional_interaction,0.0
3,1,observable,feature,target_effect_denominator_1p0,0.0006616722841812361
3,1,observable,feature,target_effect_denominator_1p1,0.0027983615705977627
3,1,observable,feature,denominator_effect_target_1p0,0.003006215446909266
3,1,observable,feature,denominator_effect_target_1p1,0.005142904733325793
3,1,observable,feature,conditional_interaction,0.0021366892864165266
3,1,observable,residual,target_effect_denominator_1p0,0.035945801565375524
3,1,observable,residual,target_effect_denominator_1p1,-0.004470848413466344
3,1,observable,residual,denominator_effect_target_1p0,0.02522593146181107
3,1,observable,residual,denominator_effect_target_1p1,-0.015190718517030799
3,1,observable,residual,conditional_interaction,-0.04041664997884187
3,1,state,EMA,target_effect_denominator_1p0,-8.216375135816634e-09
3,1,state,EMA,target_effect_denominator_1p1,-1.6371359379263595e-08
3,1,state,EMA,denominator_effect_target_1p0,1.8349055608268827e-09
3,1,state,EMA,denominator_effect_target_1p1,-6.320078682620078e-09
3,1,state,EMA,conditional_interaction,-8.154984243446961e-09
3,1,state,m,target_effect_denominator_1p0,1.3284076038778494
3,1,state,m,target_effect_denominator_1p1,1.176758074309987
3,1,state,m,denominator_effect_target_1p0,-8.78588880328789
3,1,state,m,denominator_effect_target_1p1,-8.937538332855752
3,1,state,m,conditional_interaction,-0.15164952956786237
3,1,state,net_buffer,target_effect_denominator_1p0,0.0
3,1,state,net_buffer,target_effect_denominator_1p1,0.0
3,1,state,net_buffer,denominator_effect_target_1p0,0.0
3,1,state,net_buffer,denominator_effect_target_1p1,0.0
3,1,state,net_buffer,conditional_interaction,0.0
3,1,state,scaler,target_effect_denominator_1p0,0.0
3,1,state,scaler,target_effect_denominator_1p1,0.0
3,1,state,scaler,denominator_effect_target_1p0,0.0
3,1,state,scaler,denominator_effect_target_1p1,0.0
3,1,state,scaler,conditional_interaction,0.0
3,1,state,theta,target_effect_denominator_1p0,1.2084451554983389e-06
3,1,state,theta,target_effect_denominator_1p1,1.1012284630851354e-06
3,1,state,theta,denominator_effect_target_1p0,1.7254983504244592e-06
3,1,state,theta,denominator_effect_target_1p1,1.6182816580112558e-06
3,1,state,theta,conditional_interaction,-1.0721669241320342e-07
3,1,state,v,target_effect_denominator_1p0,-0.6655003872729139
3,1,state,v,target_effect_denominator_1p1,-0.5689837627141969
3,1,state,v,denominator_effect_target_1p0,-19.7371880197461
3,1,state,v,denominator_effect_target_1p1,-19.640671395187383
3,1,state,v,conditional_interaction,0.09651662455871701
3,4,observable,feature,target_effect_denominator_1p0,-0.0010622075744919357
3,4,observable,feature,target_effect_denominator_1p1,-0.001709425329728731
3,4,observable,feature,denominator_effect_target_1p0,-0.0006983002475422495
3,4,observable,feature,denominator_effect_target_1p1,-0.0013455180027790448
3,4,observable,feature,conditional_interaction,-0.0006472177552367953
3,4,observable,residual,target_effect_denominator_1p0,0.04116960206646203
3,4,observable,residual,target_effect_denominator_1p1,0.03787361225778629
3,4,observable,residual,denominator_effect_target_1p0,0.011911797260007795
3,4,observable,residual,denominator_effect_target_1p1,0.008615807451332058
3,4,observable,residual,conditional_interaction,-0.0032959898086757367
3,4,state,EMA,target_effect_denominator_1p0,4.1481143853161484e-08
3,4,state,EMA,target_effect_denominator_1p1,1.177795638795942e-09
3,4,state,EMA,denominator_effect_target_1p0,7.297012416529469e-08
3,4,state,EMA,denominator_effect_target_1p1,3.266677595092915e-08
3,4,state,EMA,conditional_interaction,-4.030334821436554e-08
3,4,state,m,target_effect_denominator_1p0,0.32955287550578305
3,4,state,m,target_effect_denominator_1p1,6.553586975514236
3,4,state,m,denominator_effect_target_1p0,-17.869964345100755
3,4,state,m,denominator_effect_target_1p1,-11.645930245092302
3,4,state,m,conditional_interaction,6.224034100008453
3,4,state,net_buffer,target_effect_denominator_1p0,0.0
3,4,state,net_buffer,target_effect_denominator_1p1,0.0
3,4,state,net_buffer,denominator_effect_target_1p0,0.0
3,4,state,net_buffer,denominator_effect_target_1p1,0.0
3,4,state,net_buffer,conditional_interaction,0.0
3,4,state,scaler,target_effect_denominator_1p0,0.0
3,4,state,scaler,target_effect_denominator_1p1,0.0
3,4,state,scaler,denominator_effect_target_1p0,0.0
3,4,state,scaler,denominator_effect_target_1p1,0.0
3,4,state,scaler,conditional_interaction,0.0
3,4,state,theta,target_effect_denominator_1p0,7.274467452589306e-05
3,4,state,theta,target_effect_denominator_1p1,6.04741749157256e-05
3,4,state,theta,denominator_effect_target_1p0,5.175746628083289e-05
3,4,state,theta,denominator_effect_target_1p1,3.9486966670665424e-05
3,4,state,theta,conditional_interaction,-1.2270499610167462e-05
3,4,state,v,target_effect_denominator_1p0,21.29788637252932
3,4,state,v,target_effect_denominator_1p1,7.651750094679301
3,4,state,v,denominator_effect_target_1p0,-36.43700593757967
3,4,state,v,denominator_effect_target_1p1,-50.08314221542969
3,4,state,v,conditional_interaction,-13.646136277850019
3,16,observable,feature,target_effect_denominator_1p0,0.0025406205313807106
3,16,observable,feature,target_effect_denominator_1p1,-3.890995424526977e-05
3,16,observable,feature,denominator_effect_target_1p0,-0.003128323078506412
3,16,observable,feature,denominator_effect_target_1p1,-0.005707853564132392
3,16,observable,feature,conditional_interaction,-0.0025795304856259804
3,16,observable,residual,target_effect_denominator_1p0,-0.07024881197164645
3,16,observable,residual,target_effect_denominator_1p1,0.012987793627520783
3,16,observable,residual,denominator_effect_target_1p0,-0.048105746034823205
3,16,observable,residual,denominator_effect_target_1p1,0.03513085956434403
3,16,observable,residual,conditional_interaction,0.08323660559916723
3,16,state,EMA,target_effect_denominator_1p0,5.928337031946285e-06
3,16,state,EMA,target_effect_denominator_1p1,2.991023393406067e-06
3,16,state,EMA,denominator_effect_target_1p0,4.364440883364296e-06
3,16,state,EMA,denominator_effect_target_1p1,1.427127244824078e-06
3,16,state,EMA,conditional_interaction,-2.9373136385402177e-06
3,16,state,m,target_effect_denominator_1p0,-29.70210671648806
3,16,state,m,target_effect_denominator_1p1,-24.975175037691372
3,16,state,m,denominator_effect_target_1p0,-34.36441005637204
3,16,state,m,denominator_effect_target_1p1,-29.63747837757535
3,16,state,m,conditional_interaction,4.726931678796689
3,16,state,net_buffer,target_effect_denominator_1p0,0.0
3,16,state,net_buffer,target_effect_denominator_1p1,0.0
3,16,state,net_buffer,denominator_effect_target_1p0,0.0
3,16,state,net_buffer,denominator_effect_target_1p1,0.0
3,16,state,net_buffer,conditional_interaction,0.0
3,16,state,scaler,target_effect_denominator_1p0,0.0
3,16,state,scaler,target_effect_denominator_1p1,0.0
3,16,state,scaler,denominator_effect_target_1p0,0.0
3,16,state,scaler,denominator_effect_target_1p1,0.0
3,16,state,scaler,conditional_interaction,0.0
3,16,state,theta,target_effect_denominator_1p0,0.000808144658094534
3,16,state,theta,target_effect_denominator_1p1,0.0008101602070382796
3,16,state,theta,denominator_effect_target_1p0,5.184692781767808e-06
3,16,state,theta,denominator_effect_target_1p1,7.200241725513479e-06
3,16,state,theta,conditional_interaction,2.015548943745671e-06
3,16,state,v,target_effect_denominator_1p0,-59.111289832828334
3,16,state,v,target_effect_denominator_1p1,-62.24422758538276
3,16,state,v,denominator_effect_target_1p0,-186.45049687975552
3,16,state,v,denominator_effect_target_1p1,-189.58343463230995
3,16,state,v,conditional_interaction,-3.132937752554426
3,64,observable,feature,target_effect_denominator_1p0,-0.011273459263051677
3,64,observable,feature,target_effect_denominator_1p1,-0.011017700418513243
3,64,observable,feature,denominator_effect_target_1p0,-0.004242474432437859
3,64,observable,feature,denominator_effect_target_1p1,-0.003986715587899425
3,64,observable,feature,conditional_interaction,0.000255758844538434
3,64,observable,residual,target_effect_denominator_1p0,0.004227495055543873
3,64,observable,residual,target_effect_denominator_1p1,0.06985506005303965
3,64,observable,residual,denominator_effect_target_1p0,0.011879114747458397
3,64,observable,residual,denominator_effect_target_1p1,0.07750667974495418
3,64,observable,residual,conditional_interaction,0.06562756499749578
3,64,state,EMA,target_effect_denominator_1p0,5.852848516951781e-07
3,64,state,EMA,target_effect_denominator_1p1,1.4243706573324744e-05
3,64,state,EMA,denominator_effect_target_1p0,4.832789727515774e-06
3,64,state,EMA,denominator_effect_target_1p1,1.849121144914534e-05
3,64,state,EMA,conditional_interaction,1.3658421721629566e-05
3,64,state,m,target_effect_denominator_1p0,-37.02352558328778
3,64,state,m,target_effect_denominator_1p1,-4.169005677010659
3,64,state,m,denominator_effect_target_1p0,-101.77785196416227
3,64,state,m,denominator_effect_target_1p1,-68.92333205788515
3,64,state,m,conditional_interaction,32.85451990627712
3,64,state,net_buffer,target_effect_denominator_1p0,0.0
3,64,state,net_buffer,target_effect_denominator_1p1,0.0
3,64,state,net_buffer,denominator_effect_target_1p0,0.0
3,64,state,net_buffer,denominator_effect_target_1p1,0.0
3,64,state,net_buffer,conditional_interaction,0.0
3,64,state,scaler,target_effect_denominator_1p0,0.0
3,64,state,scaler,target_effect_denominator_1p1,0.0
3,64,state,scaler,denominator_effect_target_1p0,0.0
3,64,state,scaler,denominator_effect_target_1p1,0.0
3,64,state,scaler,conditional_interaction,0.0
3,64,state,theta,target_effect_denominator_1p0,0.0002218680228907033
3,64,state,theta,target_effect_denominator_1p1,0.0008493539826304186
3,64,state,theta,denominator_effect_target_1p0,-0.0007235229104480823
3,64,state,theta,denominator_effect_target_1p1,-9.603695070836693e-05
3,64,state,theta,conditional_interaction,0.0006274859597397153
3,64,state,v,target_effect_denominator_1p0,-928.4168989641039
3,64,state,v,target_effect_denominator_1p1,-616.9464978514006
3,64,state,v,denominator_effect_target_1p0,-1059.9966913624376
3,64,state,v,denominator_effect_target_1p1,-748.5262902497343
3,64,state,v,conditional_interaction,311.47040111270326
3,128,observable,feature,target_effect_denominator_1p0,-0.024583872637730764
3,128,observable,feature,target_effect_denominator_1p1,-0.020898693732004148
3,128,observable,feature,denominator_effect_target_1p0,-0.02442427241635059
3,128,observable,feature,denominator_effect_target_1p1,-0.020739093510623974
3,128,observable,feature,conditional_interaction,0.003685178905726616
3,128,observable,residual,target_effect_denominator_1p0,0.08296403010796327
