seed,horizon,arm,k,next_k,space,block,coordinate_count,delta_k_norm,b_norm,R_norm,delta_norm,feedback_gain_G,cos_R_delta_k,cos_b_R,cos_b_delta,cos_R_delta,R_over_b_diagnostic,carryover_rule,carryover_retention_min,carryover_retention_max,carryover_norm,corrected_R_norm,corrected_R_over_delta_k,corrected_R_over_b,cos_corrected_R_delta_k,cos_corrected_R_b,cos_corrected_R_R,closure_l2,closure_relative,closure_max_abs,closure_pass
3,0,B,0,1,state,theta,55732739,0.0,0.001991526268000631,0.0,0.001991526268000631,0.0,,,0.9999999999999998,,0.0,identity_parameter_carryover,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
3,0,B,0,1,state,EMA,55732771,0.0,1.5848805670117916e-05,0.0,1.5848805670117916e-05,0.0,,,1.0,,0.0,ema_transition_carryover_counterfactual_map,0.9993,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
3,0,B,0,1,state,m,55732739,0.0,5.273685362413186,0.0,5.273685362413186,0.0,,,0.9999999999999999,,0.0,radam_beta1_per_parameter_group,0.9,0.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
3,0,B,0,1,state,v,55732739,0.0,0.5461689179671555,0.0,0.5461689179671555,0.0,,,0.9999999999999998,,0.0,radam_beta2_per_parameter_group,0.999,0.999,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
3,0,B,0,1,state,net_buffer,32,0.0,0.0,0.0,0.0,0.0,,,,,,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
3,0,B,0,1,state,scaler,1,0.0,0.0,0.0,0.0,0.0,,,,,,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
3,0,B,0,1,observable,residual,393216,0.0,0.191840803567493,0.0,0.191840803567493,0.0,,,1.0,,0.0,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
3,0,B,0,1,observable,feature,49152,0.0,0.03054261528963929,0.0,0.03054261528963929,0.0,,,1.0,,0.0,not_declared_for_this_readout,,,,,,,,,,0.0,0.0,0.0,True
3,0,C,0,1,state,theta,55732739,0.0,0.0019138941018669,0.0,0.0019138941018669,0.0,,,1.0,,0.0,identity_parameter_carryover,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
3,0,C,0,1,state,EMA,55732771,0.0,1.5403636575660963e-05,0.0,1.5403636575660963e-05,0.0,,,1.0,,0.0,ema_transition_carryover_counterfactual_map,0.9993,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True
