seed,horizon,arm,branch_label,space,block,value_norm
3,0,A,B384_to_A,state,theta,3962.242617387497
3,0,A,B384_to_A,state,EMA,3962.085596681551
3,0,A,B384_to_A,state,m,538.5000441012521
3,0,A,B384_to_A,state,v,67216.4288943967
3,0,A,B384_to_A,state,net_buffer,1.4142135623730951
3,0,A,B384_to_A,state,scaler,64.0
3,0,A,B384_to_A,observable,residual,1.4125841711640692
3,0,A,B384_to_A,observable,feature,26.654429334031448
3,0,B,B384_to_B,state,theta,3962.242617387497
3,0,B,B384_to_B,state,EMA,3962.085596681551
3,0,B,B384_to_B,state,m,538.5000441012521
3,0,B,B384_to_B,state,v,67216.4288943967
3,0,B,B384_to_B,state,net_buffer,1.4142135623730951
3,0,B,B384_to_B,state,scaler,64.0
3,0,B,B384_to_B,observable,residual,1.4125841711640692
3,0,B,B384_to_B,observable,feature,26.654429334031448
3,0,C,B384_to_C,state,theta,3962.242617387497
3,0,C,B384_to_C,state,EMA,3962.085596681551
3,0,C,B384_to_C,state,m,538.5000441012521
3,0,C,B384_to_C,state,v,67216.4288943967
3,0,C,B384_to_C,state,net_buffer,1.4142135623730951
3,0,C,B384_to_C,state,scaler,64.0
3,0,C,B384_to_C,observable,residual,1.4125841711640692
3,0,C,B384_to_C,observable,feature,26.654429334031448
3,0,D,B384_to_D,state,theta,3962.242617387497
3,0,D,B384_to_D,state,EMA,3962.085596681551
3,0,D,B384_to_D,state,m,538.5000441012521
3,0,D,B384_to_D,state,v,67216.4288943967
3,0,D,B384_to_D,state,net_buffer,1.4142135623730951
3,0,D,B384_to_D,state,scaler,64.0
3,0,D,B384_to_D,observable,residual,1.4125841711640692
3,0,D,B384_to_D,observable,feature,26.654429334031448
3,1,A,B384_to_A,state,theta,3962.2427008585846
3,1,A,B384_to_A,state,EMA,3962.085668044499
3,1,A,B384_to_A,state,m,535.3737935043608
3,1,A,B384_to_A,state,v,67263.29035817455
3,1,A,B384_to_A,state,net_buffer,1.4142135623730951
3,1,A,B384_to_A,state,scaler,64.0
3,1,A,B384_to_A,observable,residual,1.2928113346259809
3,1,A,B384_to_A,observable,feature,44.09880093370597
3,1,B,B384_to_B,state,theta,3962.2427036853114
3,1,B,B384_to_B,state,EMA,3962.0856680299626
3,1,B,B384_to_B,state,m,527.7646627753829
3,1,B,B384_to_B,state,v,67242.98418639209
3,1,B,B384_to_B,state,net_buffer,1.4142135623730951
3,1,B,B384_to_B,state,scaler,64.0
3,1,B,B384_to_B,observable,residual,1.3135664176743256
3,1,B,B384_to_B,observable,feature,44.104605510723474
3,1,C,B384_to_C,state,theta,3962.2427020670298
3,1,C,B384_to_C,state,EMA,3962.0856680362826
3,1,C,B384_to_C,state,m,536.7022011082387
3,1,C,B384_to_C,state,v,67262.62485778728
3,1,C,B384_to_C,state,net_buffer,1.4142135623730951
3,1,C,B384_to_C,state,scaler,64.0
3,1,C,B384_to_C,observable,residual,1.3287571361913564
3,1,C,B384_to_C,observable,feature,44.09946260599015
3,1,D,B384_to_D,state,theta,3962.242702584083
3,1,D,B384_to_D,state,EMA,3962.085668046334
3,1,D,B384_to_D,state,m,526.587904701073
3,1,D,B384_to_D,state,v,67243.5531701548
3,1,D,B384_to_D,state,net_buffer,1.4142135623730951
3,1,D,B384_to_D,state,scaler,64.0
