seed,branch_label,attempted_iterations,additional_kimg,elapsed_seconds,a100_gpu_hours,gpu_uuid,scope
3,B384_to_A,500,64,987.504717,0.274306866,GPU-d79117bb-8d91-4f2e-d7bb-718e347ce859,formal
3,B384_to_B,1000,128,1882.085016,0.522801393,GPU-d79117bb-8d91-4f2e-d7bb-718e347ce859,parity+formal-control
3,B384_to_C,500,64,943.485574,0.262079326,GPU-d79117bb-8d91-4f2e-d7bb-718e347ce859,formal
3,B384_to_D,500,64,940.864644,0.261351290,GPU-d79117bb-8d91-4f2e-d7bb-718e347ce859,formal
4,B384_to_A,500,64,947.534008,0.263203891,GPU-ef9edaf6-d661-e143-efd1-154c1ad29f10,formal
4,B384_to_B,1000,128,1867.279972,0.518688881,GPU-ef9edaf6-d661-e143-efd1-154c1ad29f10,parity+formal-control
4,B384_to_C,500,64,942.068902,0.261685806,GPU-ef9edaf6-d661-e143-efd1-154c1ad29f10,formal
4,B384_to_D,500,64,962.999660,0.267499906,GPU-ef9edaf6-d661-e143-efd1-154c1ad29f10,formal
5,B384_to_A,500,64,971.983099,0.269995305,GPU-d79117bb-8d91-4f2e-d7bb-718e347ce859,formal
5,B384_to_B,1000,128,1866.991026,0.518608618,GPU-d79117bb-8d91-4f2e-d7bb-718e347ce859,parity+formal-control
5,B384_to_C,500,64,946.092492,0.262803470,GPU-d79117bb-8d91-4f2e-d7bb-718e347ce859,formal
5,B384_to_D,500,64,969.912507,0.269420141,GPU-d79117bb-8d91-4f2e-d7bb-718e347ce859,formal
