nfe,metric,budget_kimg,contrast,mean,median,n_seeds
1,kid50k_full,512,S_A,0.0,0.0,5
1,kid50k_full,512,S_B,0.0,0.0,5
1,kid50k_full,512,H_A,0.007616292757257274,0.004799339369369403,5
1,kid50k_full,512,H_B,0.007616292757257274,0.004799339369369403,5
1,kid50k_full,512,I_switch,0.0,0.0,5
1,kid50k_full,640,S_A,0.00010846817467466494,0.00013347408658658487,5
1,kid50k_full,640,S_B,9.012182682683784e-05,9.110753503505792e-05,5
1,kid50k_full,640,H_A,-0.0016630292057056976,-0.001993850610610585,5
1,kid50k_full,640,H_B,-0.0016813755535535248,-0.002118758368368348,5
1,kid50k_full,640,I_switch,-1.8346347847826918e-05,-0.000100757732732654,5
1,kid50k_full,768,S_A,0.00017737879779777428,4.7795900900855434e-05,5
1,kid50k_full,768,S_B,0.00010983730530531293,0.00020779247247249694,5
1,kid50k_full,768,H_A,-0.0009931495940941107,-0.001141701726726797,5
1,kid50k_full,768,H_B,-0.001060691086586572,-0.0014703028078077787,5
1,kid50k_full,768,I_switch,-6.754149249246135e-05,-0.00010914227727719557,5
1,kid50k_full,896,S_A,0.00013621942092093014,0.00013311974224224782,5
1,kid50k_full,896,S_B,0.00019191786436437603,0.00019403479229233248,5
1,kid50k_full,896,H_A,-0.0005775761046045973,-0.0006471543093092896,5
1,kid50k_full,896,H_B,-0.0005218776611611515,-0.0007284022822822544,5
1,kid50k_full,896,I_switch,5.5698443443445884e-05,6.0915050050084664e-05,5
1,kid50k_full,1024,S_A,0.00016077980330330403,0.00015160241241243908,5
1,kid50k_full,1024,S_B,0.00014150847697698126,0.00017271586336334646,5
1,kid50k_full,1024,H_A,-0.0003906604009008935,-0.0003401493143142956,5
1,kid50k_full,1024,H_B,-0.0004099317272272163,-0.0005211648823823046,5
1,kid50k_full,1024,I_switch,-1.927132632632278e-05,-5.411788288291024e-05,5
1,fid50k_full,512,S_A,0.0,0.0,5
1,fid50k_full,512,S_B,0.0,0.0,5
1,fid50k_full,512,H_A,7.280075816517666,0.8986697884250745,5
1,fid50k_full,512,H_B,7.280075816517666,0.8986697884250745,5
1,fid50k_full,512,I_switch,0.0,0.0,5
1,fid50k_full,640,S_A,0.11460311689548205,0.12142860526946464,5
1,fid50k_full,640,S_B,0.09702270253926777,0.09933886632473943,5
1,fid50k_full,640,H_A,-2.130017136626285,-2.298837228528887,5
1,fid50k_full,640,H_B,-2.147597550982499,-2.5120149967302297,5
1,fid50k_full,640,I_switch,-0.01758041435621429,-0.11327463682275152,5
1,fid50k_full,768,S_A,0.21782990886559936,0.11499259291063169,5
1,fid50k_full,768,S_B,0.11294507025749959,0.2500355882785339,5
1,fid50k_full,768,H_A,-1.3350734018697357,-1.6190339734204624,5
1,fid50k_full,768,H_B,-1.4399582404778353,-1.9575554087948248,5
1,fid50k_full,768,I_switch,-0.10488483860809979,-0.15645681809881218,5
1,fid50k_full,896,S_A,0.18110702221242575,0.1782590594948168,5
1,fid50k_full,896,S_B,0.1885926300953617,0.2346157104997424,5
1,fid50k_full,896,H_A,-0.8378389437583159,-0.962738748795724,5
1,fid50k_full,896,H_B,-0.83035333587538,-1.152429252231082,5
1,fid50k_full,896,I_switch,0.007485607882935952,0.056356651004925595,5
1,fid50k_full,1024,S_A,0.19446554015720602,0.21464908992938447,5
1,fid50k_full,1024,S_B,0.1415525715556864,0.07493450633243803,5
1,fid50k_full,1024,H_A,-0.6191517756183709,-0.6711737711416967,5
1,fid50k_full,1024,H_B,-0.6720647442198905,-0.7049938749886246,5
1,fid50k_full,1024,I_switch,-0.052912968601519596,-0.03382010384692791,5
2,kid50k_full,512,S_A,0.0,0.0,5
2,kid50k_full,512,S_B,0.0,0.0,5
2,kid50k_full,512,H_A,-0.0009352166691691534,-0.00016081505255251087,5
2,kid50k_full,512,H_B,-0.0009352166691691534,-0.00016081505255251087,5
2,kid50k_full,512,I_switch,0.0,0.0,5
2,kid50k_full,640,S_A,1.2026748748776183e-05,5.190317817846228e-06,5
2,kid50k_full,640,S_B,5.753309309288086e-06,-3.1402052052221727e-06,5
2,kid50k_full,640,H_A,-0.000164225088588568,-0.00028506379879874666,5
2,kid50k_full,640,H_B,-0.0001704985280280561,-0.00035357405155158174,5
2,kid50k_full,640,I_switch,-6.273439439488183e-06,-8.3305230230684e-06,5
2,kid50k_full,768,S_A,3.1088286786799425e-05,5.674856606612596e-05,5
2,kid50k_full,768,S_B,2.1656151651651283e-05,3.4883816316319104e-05,5
2,kid50k_full,768,H_A,-0.00023382581981980282,-0.0002517552227227315,5
2,kid50k_full,768,H_B,-0.00024325795495495095,-0.0002941354979980133,5
2,kid50k_full,768,I_switch,-9.43213513514814e-06,-1.2572572572621668e-05,5
2,kid50k_full,896,S_A,1.499964264265784e-05,-1.6270060060096306e-05,5
2,kid50k_full,896,S_B,2.042354604605682e-05,2.2638350850884108e-05,5
2,kid50k_full,896,H_A,-0.00013219322122120413,-0.00015386727227226856,5
2,kid50k_full,896,H_B,-0.00012676931781780513,-0.00010932722472475659,5
2,kid50k_full,896,I_switch,5.42390340339898e-06,2.823887137136361e-05,5
2,kid50k_full,1024,S_A,-7.457590090077272e-06,-6.134361861854804e-06,5
2,kid50k_full,1024,S_B,2.354394544545268e-05,1.9240650650645136e-05,5
2,kid50k_full,1024,H_A,-5.938728028026981e-05,-6.696602102101686e-05,5
2,kid50k_full,1024,H_B,-2.8385744744739857e-05,-4.3187337337326345e-05,5
2,kid50k_full,1024,I_switch,3.1001535535529954e-05,2.8377962962995154e-05,5
2,fid50k_full,512,S_A,0.0,0.0,5
2,fid50k_full,512,S_B,0.0,0.0,5
2,fid50k_full,512,H_A,-1.308178365387923,0.28116647304878484,5
2,fid50k_full,512,H_B,-1.308178365387923,0.28116647304878484,5
2,fid50k_full,512,I_switch,0.0,0.0,5
2,fid50k_full,640,S_A,0.022581463029952342,0.005723053088100727,5
2,fid50k_full,640,S_B,-0.0016596340677764055,-0.0158152859681433,5
2,fid50k_full,640,H_A,-0.43294380418151635,-0.3853205807757969,5
2,fid50k_full,640,H_B,-0.4571849012792451,-0.453157487366207,5
2,fid50k_full,640,I_switch,-0.024241097097728658,-0.021538339056244027,5
2,fid50k_full,768,S_A,0.05436906640095227,0.043887783436480365,5
2,fid50k_full,768,S_B,0.001841545484148721,-0.0002395821971790113,5
2,fid50k_full,768,H_A,-0.18138476613576948,-0.2213654524619053,5
2,fid50k_full,768,H_B,-0.23391228705257303,-0.3220068476167963,5
2,fid50k_full,768,I_switch,-0.05252752091680355,-0.051427509013391326,5
2,fid50k_full,896,S_A,0.030410998015317502,-0.005136076752881635,5
2,fid50k_full,896,S_B,0.024386742575935205,0.008011130292202573,5
2,fid50k_full,896,H_A,-0.10803024789369794,-0.1181786373237137,5
2,fid50k_full,896,H_B,-0.11405450333308025,-0.11421938434579104,5
2,fid50k_full,896,I_switch,-0.006024255439382298,0.0073743085215975945,5
2,fid50k_full,1024,S_A,0.0030327239949701655,0.03631092151432824,5
2,fid50k_full,1024,S_B,0.026641149370066942,0.019508828974125425,5
2,fid50k_full,1024,H_A,-0.07861166066298857,-0.07618018479363453,5
2,fid50k_full,1024,H_B,-0.05500323528789179,-0.013516402650370019,5
2,fid50k_full,1024,I_switch,0.023608425375096775,0.043348132878856305,5
