seed,arm,kimg,nfe,fid50k,kid50k
81,BA128,640,1,19.269296026301085,0.011794534524524548
81,BA256,768,1,15.074201161960758,0.009337834672172163
81,BA384,896,1,13.87981042073454,0.008566837772772761
81,BA512,1024,1,11.682262851259441,0.00698010915665664
81,CTRL,640,1,22.556509718061132,0.014415466586586627
81,CTRL,768,1,19.63449435472919,0.013035533325825823
81,CTRL,896,1,17.019593331128817,0.011086049817317303
81,CTRL,1024,1,13.483846744438154,0.00839138145145148
82,BA128,640,1,11.762844472012919,0.007372021061061059
82,BA256,768,1,10.76934468402845,0.006857556609109106
82,BA384,896,1,9.040751685298225,0.00554366963963962
82,BA512,1024,1,8.002703364988388,0.004708037007006992
82,CTRL,640,1,13.273407390255812,0.008921488043043036
82,CTRL,768,1,11.622780201417456,0.007688474144144152
82,CTRL,896,1,10.112412445661164,0.006479322194694691
82,CTRL,1024,1,9.005659586945104,0.0055542329279279195
83,BA128,640,1,16.358186619292045,0.01101862379379379
83,BA256,768,1,12.764166324207178,0.008274103683683667
83,BA384,896,1,11.24754429650127,0.0070186997622622765
83,BA512,1024,1,10.13274947570752,0.006123808781281264
83,CTRL,640,1,13.736962720171205,0.009152214879879904
83,CTRL,768,1,11.647439763973733,0.0075313327902902525
83,CTRL,896,1,10.144624585795748,0.006364570427927915
83,CTRL,1024,1,9.319389103532034,0.005667156744244249
84,BA128,640,1,15.953593804754362,0.011458605825825818
84,BA256,768,1,12.240682629827788,0.008293719031531527
84,BA384,896,1,10.654164427110913,0.006985181524024024
84,BA512,1024,1,9.797720363762462,0.006431250262762737
84,CTRL,640,1,20.327210976513683,0.014443726521521517
84,CTRL,768,1,14.672103738501953,0.009828866714214226
84,CTRL,896,1,11.960710138182453,0.007706078115615624
84,CTRL,1024,1,10.174342534204204,0.006424661689189202
85,BA128,640,1,15.932743797430968,0.009741556048548514
85,BA256,768,1,13.392742095388865,0.008284691746746734
85,BA384,896,1,11.974669120158481,0.0074833020695695765
85,BA512,1024,1,10.746945521884966,0.0066319788838838985
85,CTRL,640,1,27.5164342826641,0.017762034992492466
85,CTRL,768,1,21.310906097663946,0.014364018843843843
85,CTRL,896,1,19.745308519261528,0.01349380004004006
85,CTRL,1024,1,16.880535356003026,0.011254143553553522
86,BA128,640,1,16.68366157899172,0.011331990295295287
86,BA256,768,1,14.331135506451215,0.009476395442942957
86,BA384,896,1,11.460407509446675,0.00737393709459459
86,BA512,1024,1,10.196543222431075,0.006422864309309298
86,CTRL,640,1,15.70101685289763,0.009374007074574574
86,CTRL,768,1,12.523167695154825,0.007494412282282297
86,CTRL,896,1,10.91182266328137,0.006438671063563556
86,CTRL,1024,1,10.471851032161009,0.006369592917917926
