seed,arm,source_kimg,final_kimg,final_attempts,accepted_updates,amp_skips,continuation_elapsed,final_state_sha256,network_snapshot_sha256,archive_final_state_path,archive_snapshot_path,status
3,A,256,1024.0,8000,7988,12,2h 18m 58s,9e392b51ead9896a24f49160dcd9a087547a3582cb513adea867c289dcc4c816,e39c197cad28c9b7cb7028aba303fde842f566935ede6da0dc9899684899ba89,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed3/armA/training-state-latest.pt,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed3/armA/network-snapshot-latest.pkl,PASS
3,B,256,1024.0,8000,7988,12,2h 16m 01s,46175ea1fe2cd6c0675ce342dd94101001915fdc053759a198fcf229a3924f73,862bb0262706421e8d06c26215b7904b4f95d8a0c90d7eebd2b849cb5bea0d76,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed3/armB/training-state-latest.pt,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed3/armB/network-snapshot-latest.pkl,PASS
3,C,256,1024.0,8000,7987,13,2h 19m 28s,9aa5adc4e7db62dbc166c58c575d8963add978dcf91243f6f49812fe3f2c7988,b29e4d4436ec4840c329ef44de74ab5432e0f48c57eeb1ad6d2f67374d6840f6,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed3/armC/training-state-latest.pt,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed3/armC/network-snapshot-latest.pkl,PASS
3,D,256,1024.0,8000,7988,12,2h 18m 19s,24c3e57a5298d1fa0173507d971b89415606dfbb6a1aa2cc35fab5cf11388d3d,1272665c2ed0722fe734aedbd6b9df6f2b44a5c9b8ef2cd552bd32b89a989e2b,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed3/armD/training-state-latest.pt,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed3/armD/network-snapshot-latest.pkl,PASS
4,A,256,1024.0,8000,7987,13,2h 12m 32s,16640d40baa55d4d0e2c4a2002f968c587e95e53f15407b37248110d18d0749d,76376e0f995a483526cc473fce2283202890be6c415377f5c6eb16809af66fc5,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed4/armA/training-state-latest.pt,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed4/armA/network-snapshot-latest.pkl,PASS
4,B,256,1024.0,8000,7988,12,2h 13m 00s,dc760b019be5825e2ef95aa3679334c2c9fc86f3eb6717f4fc76dedd3365f9d2,efdc47f640bd1a175342576c3c81b64bd04a3e78a52673e7f5c1a4828143f2fd,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed4/armB/training-state-latest.pt,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed4/armB/network-snapshot-latest.pkl,PASS
4,C,256,1024.0,8000,7987,13,2h 11m 54s,f482866f2ea9c8d87fa06b06dd646320fe50754a102cdbd85e2f617604640280,b2c7a9f9ff8628520a6977f3b7e142f623a22cedb6153f35cdec380a9a066ed7,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed4/armC/training-state-latest.pt,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed4/armC/network-snapshot-latest.pkl,PASS
4,D,256,1024.0,8000,7988,12,2h 09m 57s,9d3f8e8390c8d3d5325c71ec0522c641fb1931b837897f9ced89978819a7c117,a8fc7d91dfd61efdcbe7da543ab5dd227bc6f8db14072782d7b15a997929dd1f,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed4/armD/training-state-latest.pt,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed4/armD/network-snapshot-latest.pkl,PASS
5,A,256,1024.0,8000,7987,13,2h 14m 08s,a5ebe0125988aa6826f0c87376fa0719e86880acfef25410c7d2b952bfe1e446,e6d346a4a6285896c0df486a1dc26eb5b00884a3fe80ceb694f1cd2b460f5321,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed5/armA/training-state-latest.pt,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed5/armA/network-snapshot-latest.pkl,PASS
5,B,256,1024.0,8000,7988,12,2h 14m 53s,e57c8628171fb3894425335799ec4dff03de0cfd51e9b4fad4b3aa6d1c6014c5,a076a75d4ff5a7c9f24c74cdcd11f782407a1206934f71eccb69c0112dc78303,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed5/armB/training-state-latest.pt,/mnt/ect_project/q256_target_weight_1024k/runs/q256-target-weight-1024k/seed5/armB/network-snapshot-latest.pkl,PASS
