arm,git_commit,gpu_hours,replay_elapsed_seconds,runtime_identity,seed,status
A,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.180604004263878,7850.17441534996,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,PASS
B,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.1984640697638196,7914.47065114975,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,PASS
C,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.1997191486093732,7918.988934993744,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,PASS
D,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.207562920384937,7947.226513385773,"host=ZDLJGL,gpu=GPU-459d54b6-5d7a-6ef8-1b3a-aa30085660e0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",3,PASS
A,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.384366659919421,8583.719975709915,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,PASS
B,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.3646475760804284,8512.731273889542,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,PASS
C,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.3007488946119943,8282.69602060318,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,PASS
D,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.300029054085414,8280.104594707489,"host=w05AnQ,gpu=GPU-cdbf6827-dda0-1a50-8b17-1decc354048b,pytorch=2.2.0a0+81ea7a4,cuda=12.3",4,PASS
A,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.3424925951162976,8432.97334241867,"host=w05AnQ,gpu=GPU-ffc2ca94-dcb4-83f4-b80a-867d69515be0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",5,PASS
B,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.32622264875306,8374.401535511017,"host=w05AnQ,gpu=GPU-ffc2ca94-dcb4-83f4-b80a-867d69515be0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",5,PASS
C,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.2880748787853453,8237.069563627243,"host=w05AnQ,gpu=GPU-ffc2ca94-dcb4-83f4-b80a-867d69515be0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",5,PASS
D,c8721a05227f3ff171f8dc1f559a64d58281c0ae,2.282833164996571,8218.199393987656,"host=w05AnQ,gpu=GPU-ffc2ca94-dcb4-83f4-b80a-867d69515be0,pytorch=2.2.0a0+81ea7a4,cuda=12.3",5,PASS
