seed,budget_kimg,nfe,metric,contrast,value,lower_is_better,status
3,256,1,fid50k_full,B-A,-21.37705394180972,True,PASS
3,256,1,fid50k_full,C-A,-13.709687650785497,True,PASS
3,256,1,fid50k_full,B-D,-18.727054737798767,True,PASS
3,256,1,fid50k_full,D-A,-2.6499992040109532,True,PASS
3,256,1,fid50k_full,B-C,-7.667366291024223,True,PASS
3,256,1,fid50k_full,interaction_B-C-D+A,-5.01736708701327,True,PASS
3,256,1,kid50k_full,B-A,-0.03989483709209213,True,PASS
3,256,1,kid50k_full,C-A,-0.009809544609609588,True,PASS
3,256,1,kid50k_full,B-D,-0.03137989272272279,True,PASS
3,256,1,kid50k_full,D-A,-0.008514944369369337,True,PASS
3,256,1,kid50k_full,B-C,-0.03008529248248254,True,PASS
3,256,1,kid50k_full,interaction_B-C-D+A,-0.021570348113113202,True,PASS
3,256,2,fid50k_full,B-A,-138.27692421923075,True,PASS
3,256,2,fid50k_full,C-A,55.32908956912871,True,PASS
3,256,2,fid50k_full,B-D,-94.17272554826828,True,PASS
3,256,2,fid50k_full,D-A,-44.10419867096246,True,PASS
3,256,2,fid50k_full,B-C,-193.60601378835946,True,PASS
3,256,2,fid50k_full,interaction_B-C-D+A,-149.50181511739703,True,PASS
3,256,2,kid50k_full,B-A,-0.1645552772147147,True,PASS
3,256,2,kid50k_full,C-A,0.059442136531531575,True,PASS
3,256,2,kid50k_full,B-D,-0.11454905690690693,True,PASS
3,256,2,kid50k_full,D-A,-0.05000622030780774,True,PASS
3,256,2,kid50k_full,B-C,-0.22399741374624627,True,PASS
3,256,2,kid50k_full,interaction_B-C-D+A,-0.1739911934384385,True,PASS
3,384,1,fid50k_full,B-A,-13.40191182937366,True,PASS
3,384,1,fid50k_full,C-A,-213.14226085093844,True,PASS
3,384,1,fid50k_full,B-D,-23.77214052992889,True,PASS
3,384,1,fid50k_full,D-A,10.37022870055523,True,PASS
3,384,1,fid50k_full,B-C,199.74034902156478,True,PASS
3,384,1,fid50k_full,interaction_B-C-D+A,189.37012032100955,True,PASS
